,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2021년09월_계_총인구수,"1,080,787","481,890","14,657","23,628","48,469","21,838","11,388","13,902","24,311","22,954","29,948","36,748","15,488","37,617","32,911","18,855","21,717","31,917","45,414","27,677","2,451","299,928","37,065","46,839","23,464","38,904","30,519","20,908","24,077","16,316","11,494","27,093","23,249","298,969","27,098","18,413","35,390","51,701","27,932","28,916","36,340","21,602","51,577"
2021년09월_계_연령구간인구수,"1,080,787","481,890","14,657","23,628","48,469","21,838","11,388","13,902","24,311","22,954","29,948","36,748","15,488","37,617","32,911","18,855","21,717","31,917","45,414","27,677","2,451","299,928","37,065","46,839","23,464","38,904","30,519","20,908","24,077","16,316","11,494","27,093","23,249","298,969","27,098","18,413","35,390","51,701","27,932","28,916","36,340","21,602","51,577"
2021년09월_계_0~9세,"79,202","37,639",520,"2,910","5,345","1,251",584,"2,046","2,462","2,712","2,032","2,005",838,"1,860","2,427",692,"1,254","2,172","2,513","3,940",76,"20,154","3,573","3,262","1,227","3,034","1,930",870,"1,361","1,152","1,400","1,015","1,330","21,409","1,831",839,"2,476","4,436","1,716","1,916","2,216","1,614","4,365"
2021년09월_계_10~19세,"102,715","41,193","1,101","2,084","4,348","1,779","1,008","1,020","1,599","1,654","3,108","2,782","1,189","3,520","3,598","1,137","1,955","2,678","4,672","1,828",133,"28,783","4,850","4,277","2,063","4,354","2,632","1,261","3,213","2,169",937,"1,537","1,490","32,739","2,593","1,439","5,668","5,405","3,134","3,127","2,937","2,237","6,199"
2021년09월_계_20~29세,"148,191","62,335","2,019","2,188","5,537","2,960","1,460","1,633","2,737","2,469","3,517","4,301","2,101","6,087","4,582","2,826","3,011","4,781","6,783","2,924",419,"44,398","4,994","6,743","3,813","5,367","4,807","3,458","3,687","2,203","1,327","5,079","2,920","41,458","3,836","2,648","4,580","7,244","3,728","3,697","6,169","2,926","6,630"
2021년09월_계_30~39세,"142,605","68,591","1,535","3,790","8,170","2,552","1,281","2,976","4,604","5,232","3,090","3,980","1,777","4,320","4,205","2,279","2,682","4,876","5,062","5,916",264,"38,285","4,088","5,388","2,940","4,586","4,489","3,350","2,253","1,523","1,843","4,866","2,959","35,729","3,169","1,885","3,446","6,895","3,267","3,307","5,354","2,824","5,582"
2021년09월_계_40~49세,"178,775","78,590","1,991","4,383","9,121","3,339","1,679","2,478","4,083","4,079","5,091","5,631","2,187","5,519","5,955","2,552","3,383","4,779","7,078","4,971",291,"50,069","7,214","7,122","3,493","6,653","4,858","3,589","3,995","2,852","2,135","4,710","3,448","50,116","4,084","2,472","6,886","8,937","4,494","4,645","5,500","3,629","9,469"
2021년09월_계_50~59세,"196,508","83,694","3,134","3,302","6,840","4,263","2,080","1,699","3,513","2,875","5,190","7,038","3,114","7,501","5,865","3,932","4,224","5,899","9,295","3,486",444,"56,501","6,721","9,172","4,455","6,998","5,802","3,934","4,764","3,125","1,946","4,961","4,623","56,313","5,194","4,100","6,599","9,703","5,053","5,155","6,816","4,037","9,656"
2021년09월_계_60~69세,"131,027","61,419","2,476","2,980","5,209","3,138","1,715","1,236","2,998","2,340","4,215","6,165","2,462","4,529","3,319","3,134","2,968","3,718","5,600","2,763",454,"35,492","3,399","6,160","3,129","4,602","3,601","2,480","2,788","1,684","1,243","2,697","3,709","34,116","3,518","2,956","3,352","5,048","3,327","3,418","4,314","2,514","5,669"
2021년09월_계_70~79세,"61,546","30,281","1,170","1,364","2,619","1,582",929,523,"1,542","1,063","2,423","3,124","1,143","2,489","1,694","1,413","1,352","1,807","2,595","1,203",246,"15,483","1,377","2,713","1,454","2,015","1,477","1,148","1,149",808,442,"1,237","1,663","15,782","1,763","1,242","1,372","2,316","1,681","1,933","1,846","1,100","2,529"
