,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020년10월_계_총인구수,"16,670","7,291","2,139","1,733","1,773","1,690","2,044"
2020년10월_계_연령구간인구수,"16,670","7,291","2,139","1,733","1,773","1,690","2,044"
2020년10월_계_0~9세,742,449,78,57,42,53,63
2020년10월_계_10~19세,951,559,79,57,83,96,77
2020년10월_계_20~29세,"1,127",649,97,74,106,90,111
2020년10월_계_30~39세,"1,037",634,112,61,71,66,93
2020년10월_계_40~49세,"1,734",960,177,127,139,166,165
2020년10월_계_50~59세,"2,994","1,247",383,296,350,319,399
2020년10월_계_60~69세,"3,406","1,271",499,417,382,372,465
2020년10월_계_70~79세,"2,701",901,418,375,311,295,401
2020년10월_계_80~89세,"1,703",516,259,234,260,195,239
2020년10월_계_90~99세,249,97,35,31,27,33,26
2020년10월_계_100세 이상,26,8,2,4,2,5,5
2020년10월_남_총인구수,"8,236","3,580","1,032",878,873,848,"1,025"
2020년10월_남_연령구간인구수,"8,236","3,580","1,032",878,873,848,"1,025"
2020년10월_남_0~9세,395,248,38,32,19,32,26
2020년10월_남_10~19세,489,279,46,29,43,48,44
2020년10월_남_20~29세,654,367,56,42,62,57,70
2020년10월_남_30~39세,553,327,60,39,42,37,48
2020년10월_남_40~49세,"1,023",536,118,85,78,104,102
2020년10월_남_50~59세,"1,632",643,207,183,197,176,226
2020년10월_남_60~69세,"1,694",620,239,198,196,190,251
2020년10월_남_70~79세,"1,174",378,176,192,137,121,170
2020년10월_남_80~89세,555,162,82,69,90,70,82
2020년10월_남_90~99세,61,18,8,8,9,12,6
2020년10월_남_100세 이상,6,2,2,1,0,1,0
2020년10월_여_총인구수,"8,434","3,711","1,107",855,900,842,"1,019"
2020년10월_여_연령구간인구수,"8,434","3,711","1,107",855,900,842,"1,019"
2020년10월_여_0~9세,347,201,40,25,23,21,37
2020년10월_여_10~19세,462,280,33,28,40,48,33
2020년10월_여_20~29세,473,282,41,32,44,33,41
2020년10월_여_30~39세,484,307,52,22,29,29,45
2020년10월_여_40~49세,711,424,59,42,61,62,63
2020년10월_여_50~59세,"1,362",604,176,113,153,143,173
2020년10월_여_60~69세,"1,712",651,260,219,186,182,214
2020년10월_여_70~79세,"1,527",523,242,183,174,174,231
2020년10월_여_80~89세,"1,148",354,177,165,170,125,157
2020년10월_여_90~99세,188,79,27,23,18,21,20
2020년10월_여_100세 이상,20,6,0,3,2,4,5
