,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2021년08월_계_총인구수,"26,475","9,511","1,691","1,168","1,019","1,511","1,520","1,425","1,812",746,"2,809",980,"1,130","1,153"
2021년08월_계_연령구간인구수,"26,475","9,511","1,691","1,168","1,019","1,511","1,520","1,425","1,812",746,"2,809",980,"1,130","1,153"
2021년08월_계_0~9세,"1,026",663,31,16,31,27,34,41,36,16,78,28,10,15
2021년08월_계_10~19세,"1,459",891,48,30,26,54,54,35,50,30,154,32,29,26
2021년08월_계_20~29세,"1,919",978,94,72,63,104,81,77,105,29,202,41,35,38
2021년08월_계_30~39세,"1,659",912,87,57,43,63,89,55,67,30,131,51,34,40
2021년08월_계_40~49세,"2,721","1,451",116,80,61,125,121,108,140,49,269,67,53,81
2021년08월_계_50~59세,"4,476","1,625",307,205,177,274,273,239,298,104,494,129,176,175
2021년08월_계_60~69세,"5,760","1,520",448,315,244,367,383,357,492,216,598,230,287,303
2021년08월_계_70~79세,"3,860",865,276,206,184,244,235,254,330,139,491,205,219,212
2021년08월_계_80~89세,"3,112",535,242,157,164,222,214,220,266,115,337,169,249,222
2021년08월_계_90~99세,477,70,40,30,26,31,36,39,28,17,55,28,38,39
2021년08월_계_100세 이상,6,1,2,0,0,0,0,0,0,1,0,0,0,2
2021년08월_남_총인구수,"13,039","4,713",844,577,488,751,757,685,924,353,"1,352",511,526,558
2021년08월_남_연령구간인구수,"13,039","4,713",844,577,488,751,757,685,924,353,"1,352",511,526,558
2021년08월_남_0~9세,532,347,17,11,12,15,16,20,20,9,36,18,5,6
2021년08월_남_10~19세,774,468,24,16,16,27,25,14,30,20,82,20,18,14
2021년08월_남_20~29세,"1,097",524,51,47,40,73,43,43,62,17,122,28,25,22
2021년08월_남_30~39세,889,441,51,38,25,32,58,33,33,21,80,35,14,28
2021년08월_남_40~49세,"1,560",764,79,49,39,73,72,67,83,32,166,53,32,51
2021년08월_남_50~59세,"2,504",889,177,107,106,157,155,139,163,57,275,71,103,105
2021년08월_남_60~69세,"3,062",743,256,164,128,205,218,193,286,108,294,145,155,167
2021년08월_남_70~79세,"1,613",365,114,87,77,90,100,103,160,54,203,83,86,91
2021년08월_남_80~89세,906,154,65,51,41,74,63,59,82,34,88,52,82,61
2021년08월_남_90~99세,101,18,10,7,4,5,7,14,5,1,6,6,6,12
2021년08월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021년08월_여_총인구수,"13,436","4,798",847,591,531,760,763,740,888,393,"1,457",469,604,595
2021년08월_여_연령구간인구수,"13,436","4,798",847,591,531,760,763,740,888,393,"1,457",469,604,595
2021년08월_여_0~9세,494,316,14,5,19,12,18,21,16,7,42,10,5,9
2021년08월_여_10~19세,685,423,24,14,10,27,29,21,20,10,72,12,11,12
2021년08월_여_20~29세,822,454,43,25,23,31,38,34,43,12,80,13,10,16
2021년08월_여_30~39세,770,471,36,19,18,31,31,22,34,9,51,16,20,12
2021년08월_여_40~49세,"1,161",687,37,31,22,52,49,41,57,17,103,14,21,30
2021년08월_여_50~59세,"1,972",736,130,98,71,117,118,100,135,47,219,58,73,70
2021년08월_여_60~69세,"2,698",777,192,151,116,162,165,164,206,108,304,85,132,136
2021년08월_여_70~79세,"2,247",500,162,119,107,154,135,151,170,85,288,122,133,121
2021년08월_여_80~89세,"2,206",381,177,106,123,148,151,161,184,81,249,117,167,161
2021년08월_여_90~99세,376,52,30,23,22,26,29,25,23,16,49,22,32,27
2021년08월_여_100세 이상,5,1,2,0,0,0,0,0,0,1,0,0,0,1
