,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020년06월_계_총인구수,"43,203","6,527","4,528","6,071","13,796","3,957","3,536","2,640","2,148"
2020년06월_계_연령구간인구수,"43,203","6,527","4,528","6,071","13,796","3,957","3,536","2,640","2,148"
2020년06월_계_0~9세,"2,728",517,201,414,"1,178",167,129,79,43
2020년06월_계_10~19세,"3,912",581,321,515,"1,689",273,236,187,110
2020년06월_계_20~29세,"3,690",617,348,400,"1,435",284,306,161,139
2020년06월_계_30~39세,"3,986",641,315,579,"1,610",292,269,156,124
2020년06월_계_40~49세,"6,542",953,614,940,"2,618",534,396,285,202
2020년06월_계_50~59세,"7,506","1,132",838,983,"2,189",777,760,439,388
2020년06월_계_60~69세,"7,585","1,099",988,"1,078","1,718",891,707,609,495
2020년06월_계_70~79세,"4,881",658,638,776,940,511,463,484,411
2020년06월_계_80~89세,"2,051",274,219,333,369,201,237,215,203
2020년06월_계_90~99세,260,41,38,45,42,22,26,21,25
2020년06월_계_100세 이상,62,14,8,8,8,5,7,4,8
2020년06월_남_총인구수,"21,839","3,237","2,323","3,064","6,982","1,991","1,749","1,375","1,118"
2020년06월_남_연령구간인구수,"21,839","3,237","2,323","3,064","6,982","1,991","1,749","1,375","1,118"
2020년06월_남_0~9세,"1,412",270,102,219,598,85,67,48,23
2020년06월_남_10~19세,"2,036",312,176,256,884,124,111,115,58
2020년06월_남_20~29세,"2,101",365,205,241,792,149,168,98,83
2020년06월_남_30~39세,"2,082",326,173,284,812,167,159,85,76
2020년06월_남_40~49세,"3,479",482,341,534,"1,339",291,204,172,116
2020년06월_남_50~59세,"4,014",566,461,557,"1,158",402,399,249,222
2020년06월_남_60~69세,"3,716",513,499,494,836,445,361,311,257
2020년06월_남_70~79세,"2,183",289,274,348,429,237,200,214,192
2020년06월_남_80~89세,735,98,82,117,122,86,76,76,78
2020년06월_남_90~99세,55,9,7,11,7,3,2,5,11
2020년06월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년06월_여_총인구수,"21,364","3,290","2,205","3,007","6,814","1,966","1,787","1,265","1,030"
2020년06월_여_연령구간인구수,"21,364","3,290","2,205","3,007","6,814","1,966","1,787","1,265","1,030"
2020년06월_여_0~9세,"1,316",247,99,195,580,82,62,31,20
2020년06월_여_10~19세,"1,876",269,145,259,805,149,125,72,52
2020년06월_여_20~29세,"1,589",252,143,159,643,135,138,63,56
2020년06월_여_30~39세,"1,904",315,142,295,798,125,110,71,48
2020년06월_여_40~49세,"3,063",471,273,406,"1,279",243,192,113,86
2020년06월_여_50~59세,"3,492",566,377,426,"1,031",375,361,190,166
2020년06월_여_60~69세,"3,869",586,489,584,882,446,346,298,238
2020년06월_여_70~79세,"2,698",369,364,428,511,274,263,270,219
2020년06월_여_80~89세,"1,316",176,137,216,247,115,161,139,125
2020년06월_여_90~99세,205,32,31,34,35,19,24,16,14
2020년06월_여_100세 이상,36,7,5,5,3,3,5,2,6
