카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2021년04월_계_총인구수,"93,289","6,853","11,996","4,972","2,938","27,154","25,309","8,749","5,318"
2021년04월_계_연령구간인구수,"93,289","6,853","11,996","4,972","2,938","27,154","25,309","8,749","5,318"
2021년04월_계_0~9세,"6,057",478,746,141,138,"1,841","2,057",403,253
2021년04월_계_10~19세,"8,511",579,"1,236",205,200,"2,583","2,915",511,282
2021년04월_계_20~29세,"11,157",745,"1,333",489,323,"3,453","3,317",904,593
2021년04월_계_30~39세,"9,993",764,"1,189",423,284,"2,926","3,001",789,617
2021년04월_계_40~49세,"14,050",922,"1,910",547,369,"4,081","4,452","1,140",629
2021년04월_계_50~59세,"16,338","1,219","2,028","1,013",548,"4,870","4,103","1,582",975
2021년04월_계_60~69세,"13,466","1,115","1,694","1,077",524,"3,798","2,620","1,667",971
2021년04월_계_70~79세,"8,617",635,"1,147",629,356,"2,302","1,834","1,104",610
2021년04월_계_80~89세,"4,491",360,647,364,179,"1,153",888,572,328
2021년04월_계_90~99세,582,35,65,77,17,143,120,68,57
2021년04월_계_100세 이상,27,1,1,7,0,4,2,9,3
2021년04월_남_총인구수,"46,610","3,426","5,892","2,608","1,427","13,394","12,471","4,556","2,836"
2021년04월_남_연령구간인구수,"46,610","3,426","5,892","2,608","1,427","13,394","12,471","4,556","2,836"
2021년04월_남_0~9세,"3,122",254,401,79,61,929,"1,048",207,143
2021년04월_남_10~19세,"4,285",279,629,107,91,"1,294","1,474",270,141
2021년04월_남_20~29세,"6,077",411,730,274,195,"1,843","1,762",528,334
2021년04월_남_30~39세,"5,186",397,588,239,149,"1,490","1,523",434,366
2021년04월_남_40~49세,"7,253",486,970,331,190,"2,034","2,220",658,364
2021년04월_남_50~59세,"8,627",638,"1,065",589,266,"2,505","2,141",866,557
2021년04월_남_60~69세,"6,640",554,785,581,274,"1,884","1,192",848,522
2021년04월_남_70~79세,"3,620",263,457,271,140,956,729,525,279
2021년04월_남_80~89세,"1,639",131,250,111,57,419,353,201,117
2021년04월_남_90~99세,158,13,17,25,4,39,29,19,12
2021년04월_남_100세 이상,3,0,0,1,0,1,0,0,1
2021년04월_여_총인구수,"46,679","3,427","6,104","2,364","1,511","13,760","12,838","4,193","2,482"
2021년04월_여_연령구간인구수,"46,679","3,427","6,104","2,364","1,511","13,760","12,838","4,193","2,482"
2021년04월_여_0~9세,"2,935",224,345,62,77,912,"1,009",196,110
2021년04월_여_10~19세,"4,226",300,607,98,109,"1,289","1,441",241,141
2021년04월_여_20~29세,"5,080",334,603,215,128,"1,610","1,555",376,259
2021년04월_여_30~39세,"4,807",367,601,184,135,"1,436","1,478",355,251
2021년04월_여_40~49세,"6,797",436,940,216,179,"2,047","2,232",482,265
2021년04월_여_50~59세,"7,711",581,963,424,282,"2,365","1,962",716,418
2021년04월_여_60~69세,"6,826",561,909,496,250,"1,914","1,428",819,449
2021년04월_여_70~79세,"4,997",372,690,358,216,"1,346","1,105",579,331
2021년04월_여_80~89세,"2,852",229,397,253,122,734,535,371,211
2021년04월_여_90~99세,424,22,48,52,13,104,91,49,45
2021년04월_여_100세 이상,24,1,1,6,0,3,2,9,2
