,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020년06월_계_총인구수,"31,764","10,201","1,457","1,898","2,624","8,553","1,975","1,601","3,455"
2020년06월_계_연령구간인구수,"31,764","10,201","1,457","1,898","2,624","8,553","1,975","1,601","3,455"
2020년06월_계_0~9세,"1,472",609,37,48,67,520,43,28,120
2020년06월_계_10~19세,"2,118",942,47,49,81,797,45,53,104
2020년06월_계_20~29세,"2,609",990,100,125,221,760,138,71,204
2020년06월_계_30~39세,"2,401",853,73,113,182,800,118,70,192
2020년06월_계_40~49세,"3,977","1,585",104,154,258,"1,281",158,140,297
2020년06월_계_50~59세,"6,023","1,871",264,359,565,"1,630",414,294,626
2020년06월_계_60~69세,"6,128","1,636",350,441,594,"1,463",470,356,818
2020년06월_계_70~79세,"4,107","1,058",245,353,378,833,341,318,581
2020년06월_계_80~89세,"2,621",595,215,227,248,427,216,250,443
2020년06월_계_90~99세,301,62,20,28,29,42,32,20,68
2020년06월_계_100세 이상,7,0,2,1,1,0,0,1,2
2020년06월_남_총인구수,"16,267","5,134",728,941,"1,432","4,435","1,062",815,"1,720"
2020년06월_남_연령구간인구수,"16,267","5,134",728,941,"1,432","4,435","1,062",815,"1,720"
2020년06월_남_0~9세,746,310,21,23,32,261,25,14,60
2020년06월_남_10~19세,"1,139",513,26,30,42,425,27,23,53
2020년06월_남_20~29세,"1,499",563,58,66,129,437,86,45,115
2020년06월_남_30~39세,"1,327",440,48,68,114,428,75,46,108
2020년06월_남_40~49세,"2,239",830,56,96,170,699,110,90,188
2020년06월_남_50~59세,"3,374","1,040",143,195,331,890,255,172,348
2020년06월_남_60~69세,"3,194",791,197,229,338,767,254,182,436
2020년06월_남_70~79세,"1,809",441,98,153,178,370,162,154,253
2020년06월_남_80~89세,868,196,74,73,92,148,60,84,141
2020년06월_남_90~99세,68,10,6,7,6,10,8,4,17
2020년06월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년06월_여_총인구수,"15,497","5,067",729,957,"1,192","4,118",913,786,"1,735"
2020년06월_여_연령구간인구수,"15,497","5,067",729,957,"1,192","4,118",913,786,"1,735"
2020년06월_여_0~9세,726,299,16,25,35,259,18,14,60
2020년06월_여_10~19세,979,429,21,19,39,372,18,30,51
2020년06월_여_20~29세,"1,110",427,42,59,92,323,52,26,89
2020년06월_여_30~39세,"1,074",413,25,45,68,372,43,24,84
2020년06월_여_40~49세,"1,738",755,48,58,88,582,48,50,109
2020년06월_여_50~59세,"2,649",831,121,164,234,740,159,122,278
2020년06월_여_60~69세,"2,934",845,153,212,256,696,216,174,382
2020년06월_여_70~79세,"2,298",617,147,200,200,463,179,164,328
2020년06월_여_80~89세,"1,753",399,141,154,156,279,156,166,302
2020년06월_여_90~99세,233,52,14,21,23,32,24,16,51
2020년06월_여_100세 이상,3,0,1,0,1,0,0,0,1
