,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2020년10월_계_총인구수,"69,163","34,859","4,675","2,438","2,384","3,760","3,944","6,207","3,778","3,890","3,228"
2020년10월_계_연령구간인구수,"69,163","34,859","4,675","2,438","2,384","3,760","3,944","6,207","3,778","3,890","3,228"
2020년10월_계_0~9세,"3,793","2,652",122,43,50,129,104,363,96,117,117
2020년10월_계_10~19세,"5,246","3,617",170,126,102,200,152,410,133,190,146
2020년10월_계_20~29세,"6,895","4,175",391,145,122,277,251,824,238,278,194
2020년10월_계_30~39세,"6,141","3,929",313,107,92,205,208,597,246,248,196
2020년10월_계_40~49세,"8,299","5,324",387,155,195,322,345,564,364,351,292
2020년10월_계_50~59세,"12,849","6,075",837,459,493,813,770,"1,030",743,850,779
2020년10월_계_60~69세,"13,609","4,950","1,231",679,695,959,"1,086","1,192","1,044",947,826
2020년10월_계_70~79세,"7,306","2,541",706,415,372,482,603,697,552,517,421
2020년10월_계_80~89세,"4,353","1,374",427,259,238,330,378,468,304,352,223
2020년10월_계_90~99세,629,204,87,48,25,39,41,61,55,36,33
2020년10월_계_100세 이상,43,18,4,2,0,4,6,1,3,4,1
2020년10월_남_총인구수,"35,608","17,610","2,466","1,228","1,249","1,908","2,032","3,370","1,981","2,049","1,715"
2020년10월_남_연령구간인구수,"35,608","17,610","2,466","1,228","1,249","1,908","2,032","3,370","1,981","2,049","1,715"
2020년10월_남_0~9세,"1,900","1,314",59,27,32,68,46,186,48,58,62
2020년10월_남_10~19세,"2,727","1,884",93,76,59,101,87,180,68,104,75
2020년10월_남_20~29세,"4,174","2,402",258,87,67,173,148,621,136,166,116
2020년10월_남_30~39세,"3,360","2,077",191,53,60,102,121,349,160,140,107
2020년10월_남_40~49세,"4,452","2,684",243,91,126,179,208,327,218,211,165
2020년10월_남_50~59세,"6,785","3,155",464,240,254,419,412,552,383,465,441
2020년10월_남_60~69세,"7,055","2,477",641,354,363,499,559,646,566,516,434
2020년10월_남_70~79세,"3,439","1,089",354,189,199,242,302,332,264,249,219
2020년10월_남_80~89세,"1,534",471,138,99,80,113,137,162,118,130,86
2020년10월_남_90~99세,174,56,24,11,9,11,11,15,20,8,9
2020년10월_남_100세 이상,8,1,1,1,0,1,1,0,0,2,1
2020년10월_여_총인구수,"33,555","17,249","2,209","1,210","1,135","1,852","1,912","2,837","1,797","1,841","1,513"
2020년10월_여_연령구간인구수,"33,555","17,249","2,209","1,210","1,135","1,852","1,912","2,837","1,797","1,841","1,513"
2020년10월_여_0~9세,"1,893","1,338",63,16,18,61,58,177,48,59,55
2020년10월_여_10~19세,"2,519","1,733",77,50,43,99,65,230,65,86,71
2020년10월_여_20~29세,"2,721","1,773",133,58,55,104,103,203,102,112,78
2020년10월_여_30~39세,"2,781","1,852",122,54,32,103,87,248,86,108,89
2020년10월_여_40~49세,"3,847","2,640",144,64,69,143,137,237,146,140,127
2020년10월_여_50~59세,"6,064","2,920",373,219,239,394,358,478,360,385,338
2020년10월_여_60~69세,"6,554","2,473",590,325,332,460,527,546,478,431,392
2020년10월_여_70~79세,"3,867","1,452",352,226,173,240,301,365,288,268,202
2020년10월_여_80~89세,"2,819",903,289,160,158,217,241,306,186,222,137
2020년10월_여_90~99세,455,148,63,37,16,28,30,46,35,28,24
2020년10월_여_100세 이상,35,17,3,1,0,3,5,1,3,2,0
