카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2021년07월_계_총인구수,"106,314","5,546","7,372","7,688","13,690","8,428","7,802","7,640","6,750","4,379","9,894","4,915","9,284","12,926"
2021년07월_계_연령구간인구수,"106,314","5,546","7,372","7,688","13,690","8,428","7,802","7,640","6,750","4,379","9,894","4,915","9,284","12,926"
2021년07월_계_0~9세,"5,489",339,289,420,"1,125",577,621,422,99,108,465,128,320,576
2021년07월_계_10~19세,"7,192",366,485,508,"1,081",835,767,544,283,164,515,190,490,964
2021년07월_계_20~29세,"13,302",691,763,"1,209","1,714",977,891,"1,551",749,401,"1,395",427,841,"1,693"
2021년07월_계_30~39세,"10,878",677,604,856,"1,793",882,832,931,507,327,"1,136",430,713,"1,190"
2021년07월_계_40~49세,"14,361",744,951,"1,042","2,151","1,296","1,211","1,019",763,558,"1,271",575,"1,158","1,622"
2021년07월_계_50~59세,"17,269",907,"1,251","1,108","2,058","1,367","1,252","1,074","1,143",774,"1,673",883,"1,615","2,164"
2021년07월_계_60~69세,"19,301",907,"1,449","1,303","1,897","1,332","1,203","1,142","1,540",963,"1,766","1,151","2,061","2,587"
2021년07월_계_70~79세,"12,253",566,"1,006",799,"1,234",750,658,621,"1,055",693,"1,165",773,"1,459","1,474"
2021년07월_계_80~89세,"5,558",308,512,384,556,358,316,288,549,353,460,320,564,590
2021년07월_계_90~99세,683,37,61,57,81,52,46,45,58,38,47,38,60,63
2021년07월_계_100세 이상,28,4,1,2,0,2,5,3,4,0,1,0,3,3
2021년07월_남_총인구수,"51,476","2,686","3,603","3,599","6,463","3,865","3,762","3,624","3,428","2,220","4,739","2,502","4,643","6,342"
2021년07월_남_연령구간인구수,"51,476","2,686","3,603","3,599","6,463","3,865","3,762","3,624","3,428","2,220","4,739","2,502","4,643","6,342"
2021년07월_남_0~9세,"2,876",189,152,214,596,301,343,213,48,53,236,67,167,297
2021년07월_남_10~19세,"3,655",180,242,248,554,390,393,280,155,82,265,100,267,499
2021년07월_남_20~29세,"6,498",352,404,532,815,458,460,688,385,221,613,232,464,874
2021년07월_남_30~39세,"5,598",358,329,454,837,416,382,461,291,190,585,245,399,651
2021년07월_남_40~49세,"7,447",389,497,518,"1,053",607,578,514,448,328,667,346,633,869
2021년07월_남_50~59세,"8,865",462,626,549,"1,009",631,609,534,655,443,872,486,898,"1,091"
2021년07월_남_60~69세,"9,009",396,684,599,847,608,575,543,769,476,815,549,980,"1,168"
2021년07월_남_70~79세,"5,346",245,441,333,538,327,288,275,468,311,490,345,631,654
2021년07월_남_80~89세,"2,042",107,218,138,197,116,124,109,196,109,183,124,195,226
2021년07월_남_90~99세,134,8,10,14,17,11,9,6,10,7,13,8,9,12
2021년07월_남_100세 이상,6,0,0,0,0,0,1,1,3,0,0,0,0,1
2021년07월_여_총인구수,"54,838","2,860","3,769","4,089","7,227","4,563","4,040","4,016","3,322","2,159","5,155","2,413","4,641","6,584"
2021년07월_여_연령구간인구수,"54,838","2,860","3,769","4,089","7,227","4,563","4,040","4,016","3,322","2,159","5,155","2,413","4,641","6,584"
2021년07월_여_0~9세,"2,613",150,137,206,529,276,278,209,51,55,229,61,153,279
2021년07월_여_10~19세,"3,537",186,243,260,527,445,374,264,128,82,250,90,223,465
2021년07월_여_20~29세,"6,804",339,359,677,899,519,431,863,364,180,782,195,377,819
2021년07월_여_30~39세,"5,280",319,275,402,956,466,450,470,216,137,551,185,314,539
2021년07월_여_40~49세,"6,914",355,454,524,"1,098",689,633,505,315,230,604,229,525,753
2021년07월_여_50~59세,"8,404",445,625,559,"1,049",736,643,540,488,331,801,397,717,"1,073"
2021년07월_여_60~69세,"10,292",511,765,704,"1,050",724,628,599,771,487,951,602,"1,081","1,419"
2021년07월_여_70~79세,"6,907",321,565,466,696,423,370,346,587,382,675,428,828,820
2021년07월_여_80~89세,"3,516",201,294,246,359,242,192,179,353,244,277,196,369,364
2021년07월_여_90~99세,549,29,51,43,64,41,37,39,48,31,34,30,51,51
2021년07월_여_100세 이상,22,4,1,2,0,2,4,2,1,0,1,0,3,2
