카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년10월_계_총인구수,"1,596,948","848,878","193,772","192,953","267,811","194,342","209,499","131,902","31,863","50,194","45,938","36,371","85,051","36,843","92,004","28,405"
2021년10월_계_연령구간인구수,"1,596,948","848,878","193,772","192,953","267,811","194,342","209,499","131,902","31,863","50,194","45,938","36,371","85,051","36,843","92,004","28,405"
2021년10월_계_0~9세,"117,903","71,597","15,995","12,867","23,605","19,130","13,858","8,245","1,346","2,443","2,141","2,989","7,484","1,197","5,499","1,104"
2021년10월_계_10~19세,"146,758","84,970","19,701","19,534","26,382","19,353","18,537","11,372","2,028","3,770","3,209","3,361","8,369","1,865","7,387","1,890"
2021년10월_계_20~29세,"195,227","119,401","24,547","28,161","40,796","25,897","23,791","14,415","2,243","4,149","3,892","4,395","9,271","2,506","9,102","2,062"
2021년10월_계_30~39세,"191,363","118,233","23,470","22,255","41,515","30,993","22,955","12,458","2,016","3,728","2,985","4,390","11,427","2,217","9,107","1,847"
2021년10월_계_40~49세,"236,996","135,679","30,406","29,757","43,163","32,353","30,163","17,743","3,130","6,054","5,001","5,454","13,749","3,586","13,341","3,096"
2021년10월_계_50~59세,"270,478","137,803","33,394","33,691","43,025","27,693","37,015","23,512","5,634","8,804","8,082","6,033","13,857","7,005","17,386","5,347"
2021년10월_계_60~69세,"239,916","105,022","26,218","26,882","29,948","21,974","34,206","24,274","7,286","10,406","9,703","5,322","11,279","9,212","16,444","6,762"
2021년10월_계_70~79세,"119,853","47,768","12,403","12,526","12,381","10,458","17,134","12,320","4,475","6,356","6,392","2,691","5,515","5,290","8,133","3,779"
