,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2021년11월_계_총인구수,"340,339","23,020","19,633","15,497","21,476","16,175","28,609","11,311","34,764","22,345","24,684","28,123","17,908","21,594","26,547","28,653"
2021년11월_계_연령구간인구수,"340,339","23,020","19,633","15,497","21,476","16,175","28,609","11,311","34,764","22,345","24,684","28,123","17,908","21,594","26,547","28,653"
2021년11월_계_0~9세,"17,886",356,813,700,"1,065",701,"1,297",502,"2,965",889,"1,489","2,183",684,775,"1,686","1,781"
2021년11월_계_10~19세,"24,899",708,978,713,"1,326",877,"1,839",529,"5,466","1,480","1,779","2,554",852,"1,093","2,259","2,446"
2021년11월_계_20~29세,"61,717","10,057","4,493","2,819","3,744","2,600","4,322","2,318","4,024","4,235","3,650","3,802","2,871","4,661","3,661","4,460"
2021년11월_계_30~39세,"54,722","4,505","3,599","2,954","3,874","2,672","4,199","2,535","3,572","3,710","3,711","4,082","2,764","4,250","3,757","4,538"
2021년11월_계_40~49세,"50,498","2,111","2,517","2,072","2,973","2,188","3,935","1,603","7,386","3,309","3,844","4,463","2,375","3,105","4,231","4,386"
2021년11월_계_50~59세,"53,833","2,066","2,807","2,457","3,451","2,828","5,218","1,460","5,707","3,558","4,105","4,687","3,014","3,100","4,556","4,819"
2021년11월_계_60~69세,"44,120","1,728","2,485","2,178","2,974","2,456","4,581","1,291","3,204","2,935","3,729","3,688","3,066","2,552","3,610","3,643"
2021년11월_계_70~79세,"21,959",999,"1,319","1,129","1,461","1,269","2,282",723,"1,438","1,499","1,649","1,624","1,579","1,378","1,913","1,697"
2021년11월_계_80~89세,"9,406",431,562,428,533,511,828,310,850,654,634,898,629,594,775,769
2021년11월_계_90~99세,"1,238",56,58,46,73,69,100,38,147,75,90,139,72,70,95,110
2021년11월_계_100세 이상,61,3,2,1,2,4,8,2,5,1,4,3,2,16,4,4
2021년11월_남_총인구수,"164,212","10,978","9,716","7,501","10,129","8,020","14,018","5,211","16,818","10,851","11,960","13,453","8,918","10,275","12,803","13,561"
2021년11월_남_연령구간인구수,"164,212","10,978","9,716","7,501","10,129","8,020","14,018","5,211","16,818","10,851","11,960","13,453","8,918","10,275","12,803","13,561"
2021년11월_남_0~9세,"9,204",177,423,362,542,387,683,266,"1,546",450,749,"1,097",350,399,877,896
2021년11월_남_10~19세,"12,614",326,512,371,664,443,984,269,"2,797",781,954,"1,228",407,537,"1,136","1,205"
2021년11월_남_20~29세,"28,888","4,327","2,164","1,231","1,632","1,283","2,152",988,"2,005","2,021","1,781","1,904","1,404","2,118","1,806","2,072"
2021년11월_남_30~39세,"27,139","2,359","1,827","1,484","1,891","1,411","2,148","1,154","1,557","1,892","1,816","1,914","1,498","2,116","1,872","2,200"
2021년11월_남_40~49세,"24,872","1,188","1,323","1,080","1,467","1,115","1,995",818,"3,350","1,659","1,892","2,111","1,241","1,547","2,059","2,027"
2021년11월_남_50~59세,"26,381","1,116","1,423","1,252","1,612","1,395","2,467",667,"2,921","1,748","1,941","2,240","1,578","1,506","2,214","2,301"
2021년11월_남_60~69세,"20,977",822,"1,209","1,006","1,394","1,203","2,177",582,"1,582","1,372","1,790","1,814","1,469","1,183","1,632","1,742"
2021년11월_남_70~79세,"10,046",464,606,522,686,575,"1,062",325,668,636,761,745,713,617,880,786
2021년11월_남_80~89세,"3,745",183,220,186,228,190,321,126,346,269,251,350,241,232,307,295
2021년11월_남_90~99세,330,16,9,6,11,17,25,16,44,23,24,49,16,18,20,36
2021년11월_남_100세 이상,16,0,0,1,2,1,4,0,2,0,1,1,1,2,0,1
2021년11월_여_총인구수,"176,127","12,042","9,917","7,996","11,347","8,155","14,591","6,100","17,946","11,494","12,724","14,670","8,990","11,319","13,744","15,092"
2021년11월_여_연령구간인구수,"176,127","12,042","9,917","7,996","11,347","8,155","14,591","6,100","17,946","11,494","12,724","14,670","8,990","11,319","13,744","15,092"
2021년11월_여_0~9세,"8,682",179,390,338,523,314,614,236,"1,419",439,740,"1,086",334,376,809,885
2021년11월_여_10~19세,"12,285",382,466,342,662,434,855,260,"2,669",699,825,"1,326",445,556,"1,123","1,241"
2021년11월_여_20~29세,"32,829","5,730","2,329","1,588","2,112","1,317","2,170","1,330","2,019","2,214","1,869","1,898","1,467","2,543","1,855","2,388"
2021년11월_여_30~39세,"27,583","2,146","1,772","1,470","1,983","1,261","2,051","1,381","2,015","1,818","1,895","2,168","1,266","2,134","1,885","2,338"
2021년11월_여_40~49세,"25,626",923,"1,194",992,"1,506","1,073","1,940",785,"4,036","1,650","1,952","2,352","1,134","1,558","2,172","2,359"
2021년11월_여_50~59세,"27,452",950,"1,384","1,205","1,839","1,433","2,751",793,"2,786","1,810","2,164","2,447","1,436","1,594","2,342","2,518"
2021년11월_여_60~69세,"23,143",906,"1,276","1,172","1,580","1,253","2,404",709,"1,622","1,563","1,939","1,874","1,597","1,369","1,978","1,901"
2021년11월_여_70~79세,"11,913",535,713,607,775,694,"1,220",398,770,863,888,879,866,761,"1,033",911
2021년11월_여_80~89세,"5,661",248,342,242,305,321,507,184,504,385,383,548,388,362,468,474
2021년11월_여_90~99세,908,40,49,40,62,52,75,22,103,52,66,90,56,52,75,74
2021년11월_여_100세 이상,45,3,2,0,0,3,4,2,3,1,3,2,1,14,4,3
