,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2020년05월_계_총인구수,"47,832","21,222","3,386","4,348","2,272","1,935","2,393","3,263",971,"2,840","1,883","3,319"
2020년05월_계_연령구간인구수,"47,832","21,222","3,386","4,348","2,272","1,935","2,393","3,263",971,"2,840","1,883","3,319"
2020년05월_계_0~9세,"2,468","1,598",116,177,44,56,74,111,34,97,49,112
2020년05월_계_10~19세,"3,519","2,200",169,266,120,96,110,187,50,99,86,136
2020년05월_계_20~29세,"4,512","2,755",235,312,152,114,113,334,49,157,99,192
2020년05월_계_30~39세,"3,464","2,057",186,284,112,82,114,180,39,133,80,197
2020년05월_계_40~49세,"5,530","3,094",339,449,203,157,198,288,73,214,195,320
2020년05월_계_50~59세,"8,578","3,557",681,821,454,359,418,645,181,531,335,596
2020년05월_계_60~69세,"8,829","2,904",747,931,499,461,569,657,221,672,406,762
2020년05월_계_70~79세,"6,486","1,958",504,684,394,322,461,502,186,512,362,601
2020년05월_계_80~89세,"3,865",969,351,376,251,260,282,322,122,357,224,351
2020년05월_계_90~99세,546,117,53,43,42,27,51,36,15,64,47,51
2020년05월_계_100세 이상,35,13,5,5,1,1,3,1,1,4,0,1
2020년05월_남_총인구수,"23,762","10,472","1,714","2,182","1,121",948,"1,161","1,651",483,"1,434",942,"1,654"
2020년05월_남_연령구간인구수,"23,762","10,472","1,714","2,182","1,121",948,"1,161","1,651",483,"1,434",942,"1,654"
2020년05월_남_0~9세,"1,275",816,62,101,21,28,31,49,19,61,30,57
2020년05월_남_10~19세,"1,788","1,090",84,136,58,52,68,105,30,50,45,70
2020년05월_남_20~29세,"2,541","1,492",133,188,95,66,65,210,25,96,62,109
2020년05월_남_30~39세,"1,826","1,048",110,144,62,49,60,105,24,74,48,102
2020년05월_남_40~49세,"3,018","1,568",189,260,121,98,119,166,45,143,112,197
2020년05월_남_50~59세,"4,533","1,824",374,441,241,192,229,351,102,285,180,314
2020년05월_남_60~69세,"4,476","1,452",394,478,247,240,283,329,117,333,215,388
2020년05월_남_70~79세,"2,829",826,238,291,174,126,202,214,78,242,162,276
2020년05월_남_80~89세,"1,336",329,118,133,92,91,93,114,38,132,73,123
2020년05월_남_90~99세,130,22,11,9,9,6,10,8,5,17,15,18
2020년05월_남_100세 이상,10,5,1,1,1,0,1,0,0,1,0,0
2020년05월_여_총인구수,"24,070","10,750","1,672","2,166","1,151",987,"1,232","1,612",488,"1,406",941,"1,665"
2020년05월_여_연령구간인구수,"24,070","10,750","1,672","2,166","1,151",987,"1,232","1,612",488,"1,406",941,"1,665"
2020년05월_여_0~9세,"1,193",782,54,76,23,28,43,62,15,36,19,55
2020년05월_여_10~19세,"1,731","1,110",85,130,62,44,42,82,20,49,41,66
2020년05월_여_20~29세,"1,971","1,263",102,124,57,48,48,124,24,61,37,83
2020년05월_여_30~39세,"1,638","1,009",76,140,50,33,54,75,15,59,32,95
2020년05월_여_40~49세,"2,512","1,526",150,189,82,59,79,122,28,71,83,123
2020년05월_여_50~59세,"4,045","1,733",307,380,213,167,189,294,79,246,155,282
2020년05월_여_60~69세,"4,353","1,452",353,453,252,221,286,328,104,339,191,374
2020년05월_여_70~79세,"3,657","1,132",266,393,220,196,259,288,108,270,200,325
2020년05월_여_80~89세,"2,529",640,233,243,159,169,189,208,84,225,151,228
2020년05월_여_90~99세,416,95,42,34,33,21,41,28,10,47,32,33
2020년05월_여_100세 이상,25,8,4,4,0,1,2,1,1,3,0,1
