,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년05월_계_총인구수,"458,181","31,918","31,011","22,725","26,357","42,628","21,192","21,569","16,207","18,657","15,243","11,441","20,998","21,124","20,312","47,218","34,131","25,169","30,281"
2020년05월_계_연령구간인구수,"458,181","31,918","31,011","22,725","26,357","42,628","21,192","21,569","16,207","18,657","15,243","11,441","20,998","21,124","20,312","47,218","34,131","25,169","30,281"
2020년05월_계_0~9세,"33,083","3,076","1,850","1,451","1,495","3,557","1,083","1,563",977,"1,596","1,047","1,202","1,167","1,872","1,386","3,689","1,864","2,140","2,068"
2020년05월_계_10~19세,"51,664","5,166","2,648","1,563","3,514","7,666","1,397","1,823","1,195","1,691","1,363","1,075","1,472","3,096","2,974","5,401","2,384","3,710","3,526"
2020년05월_계_20~29세,"60,666","3,487","5,138","3,649","4,192","4,666","2,709","2,682","2,128","2,187","2,133","1,306","2,742","2,529","2,682","6,057","5,346","3,247","3,786"
2020년05월_계_30~39세,"59,527","3,517","5,450","4,083","2,966","4,168","2,790","3,119","2,137","2,609","2,211","2,078","2,750","2,166","1,891","5,959","5,381","2,897","3,355"
2020년05월_계_40~49세,"80,275","7,055","4,717","3,302","4,709","9,392","3,232","3,401","2,352","3,071","2,366","1,829","3,068","4,168","3,902","8,289","5,339","4,772","5,311"
2020년05월_계_50~59세,"77,067","4,966","5,039","3,756","4,864","6,728","4,029","3,423","3,061","2,919","2,607","1,693","3,693","3,538","3,666","7,889","5,507","4,371","5,318"
2020년05월_계_60~69세,"55,794","2,785","3,725","2,928","2,589","3,916","3,491","3,272","2,521","2,670","2,050","1,366","3,417","2,116","2,185","5,614","4,734","2,546","3,869"
2020년05월_계_70~79세,"27,799","1,305","1,665","1,326","1,428","1,651","1,812","1,659","1,315","1,357","1,055",644,"1,824","1,099","1,074","3,017","2,625",953,"1,990"
2020년05월_계_80~89세,"10,481",467,661,575,526,714,548,543,455,493,362,202,767,437,468,"1,109",825,435,894
2020년05월_계_90~99세,"1,652",88,106,76,67,165,89,76,54,55,42,36,96,97,69,183,111,96,146
2020년05월_계_100세 이상,173,6,12,16,7,5,12,8,12,9,7,10,2,6,15,11,15,2,18
2020년05월_남_총인구수,"225,084","15,323","15,097","10,921","12,915","21,107","10,878","10,584","8,560","9,158","7,575","5,665","10,313","10,326","9,949","23,043","16,742","12,251","14,677"
