카테고리,제주특별자치도 서귀포시,제주특별자치도 서귀포시 대정읍,제주특별자치도 서귀포시 남원읍,제주특별자치도 서귀포시 성산읍,제주특별자치도 서귀포시 안덕면,제주특별자치도 서귀포시 표선면,제주특별자치도 서귀포시 송산동,제주특별자치도 서귀포시 정방동,제주특별자치도 서귀포시 중앙동,제주특별자치도 서귀포시 천지동,제주특별자치도 서귀포시 효돈동,제주특별자치도 서귀포시 영천동,제주특별자치도 서귀포시 동홍동,제주특별자치도 서귀포시 서홍동,제주특별자치도 서귀포시 대륜동,제주특별자치도 서귀포시 대천동,제주특별자치도 서귀포시 중문동,제주특별자치도 서귀포시 예래동
2020년02월_계_총인구수,"181,420","21,329","18,854","15,434","12,044","12,252","4,263","2,259","3,662","3,535","5,270","5,281","23,136","10,470","14,492","13,790","11,371","3,978"
2020년02월_계_연령구간인구수,"181,420","21,329","18,854","15,434","12,044","12,252","4,263","2,259","3,662","3,535","5,270","5,281","23,136","10,470","14,492","13,790","11,371","3,978"
2020년02월_계_0~9세,"14,997","1,777","1,208",937,899,811,246,130,206,178,366,314,"2,209","1,204","1,549","1,696","1,006",261
2020년02월_계_10~19세,"17,498","2,441","1,623","1,067",965,941,372,146,272,264,425,460,"3,191","1,389","1,271","1,250","1,152",269
2020년02월_계_20~29세,"19,382","1,813","1,958","1,500","1,456","1,271",438,203,365,353,555,599,"2,800","1,221","1,534","1,478","1,321",517
2020년02월_계_30~39세,"20,349","2,087","1,700","1,512","1,290","1,155",397,236,318,377,560,454,"2,591","1,200","2,179","2,287","1,525",481
2020년02월_계_40~49세,"29,794","3,956","2,766","2,167","1,959","1,966",645,344,517,558,752,797,"3,997","1,906","2,499","2,424","1,981",560
2020년02월_계_50~59세,"31,511","3,517","3,592","3,143","2,143","2,407",789,455,764,702,929,996,"3,851","1,515","2,183","2,011","1,813",701
2020년02월_계_60~69세,"23,419","2,583","2,681","2,499","1,533","1,838",661,404,656,561,772,712,"2,451","1,063","1,763","1,419","1,270",553
2020년02월_계_70~79세,"15,244","1,847","1,992","1,520","1,073","1,174",465,220,375,368,544,578,"1,429",669,"1,032",797,801,360
2020년02월_계_80~89세,"7,944","1,117","1,170",931,603,607,211,94,173,151,325,312,536,264,419,367,436,228
2020년02월_계_90~99세,"1,183",174,155,151,116,74,32,24,13,21,35,54,78,37,57,59,59,44
2020년02월_계_100세 이상,99,17,9,7,7,8,7,3,3,2,7,5,3,2,6,2,7,4
2020년02월_남_총인구수,"91,749","10,417","9,716","8,075","6,224","6,311","2,246","1,137","1,735","1,804","2,673","2,691","11,336","5,193","7,317","7,015","5,838","2,021"
2020년02월_남_연령구간인구수,"91,749","10,417","9,716","8,075","6,224","6,311","2,246","1,137","1,735","1,804","2,673","2,691","11,336","5,193","7,317","7,015","5,838","2,021"
2020년02월_남_0~9세,"7,674",939,641,470,445,416,134,71,94,93,181,146,"1,093",605,816,894,502,134
2020년02월_남_10~19세,"9,136","1,256",857,563,526,503,207,78,139,140,229,242,"1,645",691,679,654,589,138
2020년02월_남_20~29세,"10,356",974,"1,094",840,797,719,238,109,204,190,274,325,"1,464",642,789,746,689,262
2020년02월_남_30~39세,"10,299",948,886,826,688,578,208,127,162,206,299,243,"1,283",573,"1,090","1,127",796,259
2020년02월_남_40~49세,"16,117","1,985","1,559","1,284","1,098","1,138",387,195,278,304,432,439,"1,989",961,"1,345","1,308","1,096",319
2020년02월_남_50~59세,"16,802","1,843","2,002","1,742","1,202","1,282",429,219,375,379,506,542,"1,921",802,"1,118","1,077",980,383
2020년02월_남_60~69세,"11,649","1,278","1,335","1,345",793,924,354,195,255,263,388,361,"1,132",512,857,710,651,296
2020년02월_남_70~79세,"6,914",809,911,701,484,548,209,103,160,167,239,276,628,312,466,374,370,157
2020년02월_남_80~89세,"2,607",359,399,280,176,195,72,33,64,54,119,112,172,89,147,114,155,67
2020년02월_남_90~99세,184,23,32,24,13,8,6,6,4,8,6,4,8,6,10,11,9,6
2020년02월_남_100세 이상,11,3,0,0,2,0,2,1,0,0,0,1,1,0,0,0,1,0
