카테고리,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020년05월_계_총인구수,"394,982","25,364","19,381","9,539","35,231","22,452","26,005","25,161","19,731","20,549","26,237","35,763","19,557","30,489","17,439","40,517","21,567"
2020년05월_계_연령구간인구수,"394,982","25,364","19,381","9,539","35,231","22,452","26,005","25,161","19,731","20,549","26,237","35,763","19,557","30,489","17,439","40,517","21,567"
2020년05월_계_0~9세,"23,795","1,378","1,137",518,"1,777","1,255","1,249","1,948",826,"1,358","1,130","2,592","1,166","1,523",866,"3,613","1,459"
2020년05월_계_10~19세,"27,667","1,689","1,265",655,"2,109","1,321","1,613","2,065",875,"1,405","1,288","3,220","1,277","1,951","1,256","3,867","1,811"
2020년05월_계_20~29세,"56,090","3,470","2,542","1,261","5,304","3,099","3,819","3,681","3,876","2,980","3,887","4,956","2,788","4,245","2,384","5,121","2,677"
2020년05월_계_30~39세,"58,501","3,490","2,813","1,416","5,559","3,468","3,749","3,738","4,084","3,309","3,797","5,167","3,134","4,096","2,243","5,412","3,026"
2020년05월_계_40~49세,"58,487","3,874","3,047","1,433","5,245","3,224","3,678","3,664","2,647","2,894","3,672","5,983","2,943","4,214","2,512","6,140","3,317"
2020년05월_계_50~59세,"70,294","5,020","3,339","1,788","6,531","4,013","4,749","4,540","3,138","3,478","5,189","5,641","3,235","5,846","3,425","6,718","3,644"
2020년05월_계_60~69세,"56,229","3,570","2,840","1,391","4,802","3,430","3,935","3,194","2,413","2,991","4,050","4,559","2,909","4,900","2,670","5,398","3,177"
2020년05월_계_70~79세,"30,871","2,023","1,807",789,"2,821","1,891","2,290","1,606","1,344","1,495","2,266","2,541","1,515","2,580","1,452","2,827","1,624"
2020년05월_계_80~89세,"11,289",731,499,256,948,657,809,637,448,562,846,964,518,966,533,"1,188",727
2020년05월_계_90~99세,"1,562",108,82,28,109,82,104,86,69,72,95,118,60,150,83,217,99
2020년05월_계_100세 이상,197,11,10,4,26,12,10,2,11,5,17,22,12,18,15,16,6
2020년05월_남_총인구수,"195,693","12,680","9,676","4,852","17,528","11,255","12,966","12,319","9,619","10,073","13,498","17,391","9,611","15,391","8,777","19,772","10,285"
2020년05월_남_연령구간인구수,"195,693","12,680","9,676","4,852","17,528","11,255","12,966","12,319","9,619","10,073","13,498","17,391","9,611","15,391","8,777","19,772","10,285"
2020년05월_남_0~9세,"12,289",708,606,241,923,676,619,"1,026",423,710,603,"1,334",598,777,454,"1,850",741
2020년05월_남_10~19세,"14,135",836,681,336,"1,036",686,843,"1,081",458,699,683,"1,633",656,981,597,"2,007",922
2020년05월_남_20~29세,"27,989","1,730","1,307",681,"2,718","1,597","1,953","1,831","1,673","1,476","1,910","2,392","1,345","2,208","1,212","2,590","1,366"
2020년05월_남_30~39세,"30,269","1,870","1,452",757,"2,924","1,780","1,979","1,892","2,081","1,704","2,056","2,583","1,670","2,143","1,227","2,666","1,485"
2020년05월_남_40~49세,"30,134","2,047","1,626",764,"2,701","1,722","1,957","1,769","1,377","1,504","1,975","2,970","1,473","2,271","1,265","3,097","1,616"
2020년05월_남_50~59세,"34,739","2,568","1,671",929,"3,263","1,924","2,325","2,206","1,587","1,630","2,755","2,713","1,577","2,938","1,770","3,175","1,708"
2020년05월_남_60~69세,"27,292","1,717","1,335",682,"2,307","1,692","1,885","1,554","1,159","1,435","2,105","2,144","1,370","2,458","1,349","2,612","1,488"
2020년05월_남_70~79세,"14,084",899,789,348,"1,259",907,"1,050",704,652,675,"1,029","1,190",696,"1,209",684,"1,305",688
2020년05월_남_80~89세,"4,354",274,183,110,367,251,322,240,190,226,339,401,206,365,203,429,248
2020년05월_남_90~99세,363,30,25,3,23,18,30,16,17,13,37,24,16,37,13,39,22
2020년05월_남_100세 이상,45,1,1,1,7,2,3,0,2,1,6,7,4,4,3,2,1
2020년05월_여_총인구수,"199,289","12,684","9,705","4,687","17,703","11,197","13,039","12,842","10,112","10,476","12,739","18,372","9,946","15,098","8,662","20,745","11,282"
2020년05월_여_연령구간인구수,"199,289","12,684","9,705","4,687","17,703","11,197","13,039","12,842","10,112","10,476","12,739","18,372","9,946","15,098","8,662","20,745","11,282"
2020년05월_여_0~9세,"11,506",670,531,277,854,579,630,922,403,648,527,"1,258",568,746,412,"1,763",718
2020년05월_여_10~19세,"13,532",853,584,319,"1,073",635,770,984,417,706,605,"1,587",621,970,659,"1,860",889
2020년05월_여_20~29세,"28,101","1,740","1,235",580,"2,586","1,502","1,866","1,850","2,203","1,504","1,977","2,564","1,443","2,037","1,172","2,531","1,311"
2020년05월_여_30~39세,"28,232","1,620","1,361",659,"2,635","1,688","1,770","1,846","2,003","1,605","1,741","2,584","1,464","1,953","1,016","2,746","1,541"
2020년05월_여_40~49세,"28,353","1,827","1,421",669,"2,544","1,502","1,721","1,895","1,270","1,390","1,697","3,013","1,470","1,943","1,247","3,043","1,701"
2020년05월_여_50~59세,"35,555","2,452","1,668",859,"3,268","2,089","2,424","2,334","1,551","1,848","2,434","2,928","1,658","2,908","1,655","3,543","1,936"
2020년05월_여_60~69세,"28,937","1,853","1,505",709,"2,495","1,738","2,050","1,640","1,254","1,556","1,945","2,415","1,539","2,442","1,321","2,786","1,689"
2020년05월_여_70~79세,"16,787","1,124","1,018",441,"1,562",984,"1,240",902,692,820,"1,237","1,351",819,"1,371",768,"1,522",936
2020년05월_여_80~89세,"6,935",457,316,146,581,406,487,397,258,336,507,563,312,601,330,759,479
2020년05월_여_90~99세,"1,199",78,57,25,86,64,74,70,52,59,58,94,44,113,70,178,77
2020년05월_여_100세 이상,152,10,9,3,19,10,7,2,9,4,11,15,8,14,12,14,5
