,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2021년10월_계_총인구수,"518,662","31,482","35,524","30,058","14,585","21,519","21,968","27,596","28,893","17,209","24,395","17,698","21,080","15,319","24,359","19,924","39,545","21,104","32,090","32,939","41,375"
2021년10월_계_연령구간인구수,"518,662","31,482","35,524","30,058","14,585","21,519","21,968","27,596","28,893","17,209","24,395","17,698","21,080","15,319","24,359","19,924","39,545","21,104","32,090","32,939","41,375"
2021년10월_계_0~9세,"38,604","2,946","3,408","1,612",570,"1,049","1,490","1,455","1,702",804,"1,631","1,267","1,364",584,"1,320","1,486","5,584","1,202","2,683","2,321","4,126"
2021년10월_계_10~19세,"48,711","3,068","4,364","1,785",940,"1,521","2,044","2,011","2,268","1,056","2,451","1,589","1,820",971,"2,185","2,172","3,958","1,839","3,505","3,275","5,889"
2021년10월_계_20~29세,"69,073","4,070","4,281","6,464","2,122","3,046","2,857","3,930","4,161","2,211","3,198","2,488","2,734","2,119","3,323","2,283","3,609","2,803","4,095","4,590","4,689"
2021년10월_계_30~39세,"69,347","4,440","4,295","5,776","1,584","3,028","2,678","3,597","3,971","2,166","2,821","2,162","2,750","1,757","2,754","2,259","7,008","2,252","4,358","4,571","5,120"
2021년10월_계_40~49세,"86,830","5,615","6,572","4,812","2,120","3,215","3,723","4,103","4,485","2,354","4,092","2,818","3,208","1,978","3,548","3,339","7,764","3,224","5,755","5,514","8,591"
2021년10월_계_50~59세,"89,012","4,973","5,705","4,485","2,904","3,755","3,839","5,154","5,179","3,224","4,312","3,133","3,760","2,953","4,780","3,401","4,987","4,244","5,557","5,696","6,971"
2021년10월_계_60~69세,"70,324","3,971","4,352","3,139","2,462","3,250","3,082","4,320","4,300","2,963","3,593","2,617","3,282","2,830","3,803","3,106","4,314","3,339","3,817","3,984","3,800"
2021년10월_계_70~79세,"31,293","1,603","1,770","1,378","1,261","1,783","1,554","2,027","1,885","1,516","1,601","1,155","1,412","1,483","1,629","1,262","1,664","1,445","1,529","1,898","1,438"
2021년10월_계_80~89세,"13,325",666,659,540,539,752,598,887,796,809,593,402,652,553,862,536,565,643,670,948,655
2021년10월_계_90~99세,"2,060",126,111,66,80,116,100,105,139,104,100,64,91,89,148,78,86,110,121,133,93
2021년10월_계_100세 이상,83,4,7,1,3,4,3,7,7,2,3,3,7,2,7,2,6,3,0,9,3
2021년10월_남_총인구수,"257,616","15,318","17,470","14,968","7,366","10,606","10,969","13,759","14,401","8,411","11,955","8,970","10,301","7,624","11,833","9,919","19,640","10,838","16,204","16,634","20,430"
2021년10월_남_연령구간인구수,"257,616","15,318","17,470","14,968","7,366","10,606","10,969","13,759","14,401","8,411","11,955","8,970","10,301","7,624","11,833","9,919","19,640","10,838","16,204","16,634","20,430"
2021년10월_남_0~9세,"19,895","1,533","1,809",841,302,546,764,733,860,405,833,661,694,303,692,742,"2,865",636,"1,356","1,215","2,105"
2021년10월_남_10~19세,"24,937","1,482","2,240",928,521,794,"1,062","1,019","1,145",537,"1,207",803,957,483,"1,093","1,135","2,106",977,"1,822","1,690","2,936"
2021년10월_남_20~29세,"35,679","2,018","2,247","2,878","1,090","1,578","1,490","2,001","2,120","1,167","1,686","1,323","1,468","1,109","1,748","1,243","1,805","1,558","2,217","2,489","2,444"
2021년10월_남_30~39세,"35,792","2,125","2,004","3,123",899,"1,650","1,362","1,891","2,092","1,175","1,454","1,147","1,419","1,007","1,451","1,151","3,369","1,204","2,306","2,556","2,407"
2021년10월_남_40~49세,"44,254","2,932","3,172","2,607","1,167","1,662","1,895","2,178","2,305","1,226","2,047","1,487","1,580","1,066","1,693","1,698","4,057","1,697","2,906","2,785","4,094"
2021년10월_남_50~59세,"43,901","2,348","2,819","2,240","1,466","1,814","1,952","2,577","2,559","1,610","2,066","1,541","1,776","1,449","2,279","1,636","2,364","2,140","2,810","2,837","3,618"
2021년10월_남_60~69세,"33,969","1,892","2,073","1,520","1,176","1,526","1,493","2,093","2,116","1,415","1,669","1,311","1,531","1,332","1,875","1,507","2,077","1,699","1,858","1,878","1,928"
2021년10월_남_70~79세,"14,211",751,836,613,552,759,707,913,904,617,758,545,657,650,714,582,801,676,676,837,663
2021년10월_남_80~89세,"4,582",218,250,202,183,264,212,326,272,241,214,138,200,211,266,207,185,231,230,317,215
2021년10월_남_90~99세,385,19,18,16,10,13,32,25,28,18,20,14,17,14,22,18,10,20,23,28,20
2021년10월_남_100세 이상,11,0,2,0,0,0,0,3,0,0,1,0,2,0,0,0,1,0,0,2,0
2021년10월_여_총인구수,"261,046","16,164","18,054","15,090","7,219","10,913","10,999","13,837","14,492","8,798","12,440","8,728","10,779","7,695","12,526","10,005","19,905","10,266","15,886","16,305","20,945"
2021년10월_여_연령구간인구수,"261,046","16,164","18,054","15,090","7,219","10,913","10,999","13,837","14,492","8,798","12,440","8,728","10,779","7,695","12,526","10,005","19,905","10,266","15,886","16,305","20,945"
2021년10월_여_0~9세,"18,709","1,413","1,599",771,268,503,726,722,842,399,798,606,670,281,628,744,"2,719",566,"1,327","1,106","2,021"
2021년10월_여_10~19세,"23,774","1,586","2,124",857,419,727,982,992,"1,123",519,"1,244",786,863,488,"1,092","1,037","1,852",862,"1,683","1,585","2,953"
2021년10월_여_20~29세,"33,394","2,052","2,034","3,586","1,032","1,468","1,367","1,929","2,041","1,044","1,512","1,165","1,266","1,010","1,575","1,040","1,804","1,245","1,878","2,101","2,245"
2021년10월_여_30~39세,"33,555","2,315","2,291","2,653",685,"1,378","1,316","1,706","1,879",991,"1,367","1,015","1,331",750,"1,303","1,108","3,639","1,048","2,052","2,015","2,713"
2021년10월_여_40~49세,"42,576","2,683","3,400","2,205",953,"1,553","1,828","1,925","2,180","1,128","2,045","1,331","1,628",912,"1,855","1,641","3,707","1,527","2,849","2,729","4,497"
2021년10월_여_50~59세,"45,111","2,625","2,886","2,245","1,438","1,941","1,887","2,577","2,620","1,614","2,246","1,592","1,984","1,504","2,501","1,765","2,623","2,104","2,747","2,859","3,353"
2021년10월_여_60~69세,"36,355","2,079","2,279","1,619","1,286","1,724","1,589","2,227","2,184","1,548","1,924","1,306","1,751","1,498","1,928","1,599","2,237","1,640","1,959","2,106","1,872"
2021년10월_여_70~79세,"17,082",852,934,765,709,"1,024",847,"1,114",981,899,843,610,755,833,915,680,863,769,853,"1,061",775
2021년10월_여_80~89세,"8,743",448,409,338,356,488,386,561,524,568,379,264,452,342,596,329,380,412,440,631,440
2021년10월_여_90~99세,"1,675",107,93,50,70,103,68,80,111,86,80,50,74,75,126,60,76,90,98,105,73
2021년10월_여_100세 이상,72,4,5,1,3,4,3,4,7,2,2,3,5,2,7,2,5,3,0,7,3
