카테고리,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020년07월_계_총인구수,"3,347,637","1,039,595","263,373","216,658","174,791","192,132","192,641","347,317","129,558","111,401","542,655","105,099","246,660","351,651","26,902","64,600","61,646","51,737","43,021","45,412","35,097","39,274","61,578","44,434"
2020년07월_계_연령구간인구수,"3,347,637","1,039,595","263,373","216,658","174,791","192,132","192,641","347,317","129,558","111,401","542,655","105,099","246,660","351,651","26,902","64,600","61,646","51,737","43,021","45,412","35,097","39,274","61,578","44,434"
2020년07월_계_0~9세,"276,630","85,473","22,052","17,168","12,585","13,770","19,898","28,888","10,157","8,441","50,708","5,762","27,709","35,569","1,123","4,312","3,403","2,713","1,594","1,985","1,418","1,866","3,839","1,670"
2020년07월_계_10~19세,"326,862","100,901","23,920","23,621","13,827","18,544","20,989","35,581","12,921","10,359","61,858","7,980","27,923","34,238","1,566","5,991","4,202","4,123","2,969","2,943","2,142","3,010","5,654","2,501"
2020년07월_계_20~29세,"380,381","131,368","36,472","32,869","19,065","22,587","20,375","44,771","11,407","10,872","69,095","9,201","24,558","40,854","2,055","5,556","5,019","3,974","3,275","3,621","2,492","3,179","5,980","3,104"
2020년07월_계_30~39세,"409,959","136,737","35,932","30,038","20,572","22,359","27,836","42,066","14,560","12,243","71,200","9,051","38,220","50,654","1,807","5,898","5,266","4,083","2,515","2,896","2,255","2,691","5,135","2,682"
2020년07월_계_40~49세,"539,798","169,023","41,378","36,456","25,639","30,511","35,039","54,580","21,598","17,854","99,255","13,154","47,552","60,387","2,947","9,508","7,164","6,556","4,668","5,197","3,561","4,491","7,892","4,411"
2020년07월_계_50~59세,"582,963","187,324","50,845","43,745","29,606","34,889","28,239","57,796","22,694","18,495","95,837","19,038","38,843","58,469","4,653","11,376","11,079","9,222","7,451","8,575","6,671","6,972","10,590","7,878"
2020년07월_계_60~69세,"447,142","137,022","33,220","22,649","29,230","29,133","22,790","44,186","19,844","15,986","56,071","20,567","25,443","41,183","5,260","10,718","11,821","9,456","8,071","8,665","7,062","7,116","9,858","8,813"
2020년07월_계_70~79세,"244,205","62,561","13,140","6,759","16,430","14,569","11,663","25,532","11,106","10,724","26,013","12,551","10,703","20,690","4,060","6,706","8,086","6,823","6,818","6,447","5,333","5,575","7,110","7,367"
2020년07월_계_80~89세,"122,355","25,727","5,623","2,900","6,833","5,175","5,196","12,136","4,634","5,619","11,185","6,868","4,894","8,515","2,987","3,990","4,937","4,162","4,822","4,361","3,620","3,795","4,798","5,305"
2020년07월_계_90~99세,"16,555","3,282",757,432,939,557,597,"1,687",610,778,"1,356",881,771,"1,033",435,534,640,608,821,698,524,548,681,668
2020년07월_계_100세 이상,787,177,34,21,65,38,19,94,27,30,77,46,44,59,9,11,29,17,17,24,19,31,41,35
2020년07월_남_총인구수,"1,685,427","526,732","134,031","110,694","87,011","96,379","98,617","171,907","65,125","56,194","274,482","51,484","129,586","176,482","13,154","32,748","30,641","25,971","20,711","22,621","17,216","18,927","30,078","21,368"
2020년07월_남_연령구간인구수,"1,685,427","526,732","134,031","110,694","87,011","96,379","98,617","171,907","65,125","56,194","274,482","51,484","129,586","176,482","13,154","32,748","30,641","25,971","20,711","22,621","17,216","18,927","30,078","21,368"
2020년07월_남_0~9세,"142,316","44,200","11,344","8,814","6,550","7,144","10,348","15,008","5,107","4,415","25,873","2,939","14,293","18,189",570,"2,160","1,763","1,370",853,"1,039",746,947,"1,982",862
2020년07월_남_10~19세,"171,277","52,891","12,596","12,476","7,203","9,723","10,893","18,759","6,711","5,339","32,262","4,198","14,712","17,633",845,"3,197","2,272","2,251","1,587","1,571","1,157","1,555","3,037","1,300"
2020년07월_남_20~29세,"211,161","72,943","20,209","18,255","10,567","12,413","11,499","24,700","6,283","6,498","37,470","5,308","13,802","21,876","1,165","3,219","2,889","2,347","1,991","2,146","1,422","1,807","3,508","1,787"
2020년07월_남_30~39세,"214,141","72,196","18,965","15,981","10,893","11,814","14,543","21,469","7,504","6,529","36,606","4,784","20,336","25,955",957,"3,003","2,903","2,244","1,314","1,606","1,224","1,402","2,624","1,485"
2020년07월_남_40~49세,"278,104","85,712","20,842","17,414","13,476","15,444","18,536","27,200","11,674","9,538","49,332","6,959","25,946","30,727","1,710","5,169","3,997","3,669","2,533","2,903","1,978","2,462","4,078","2,517"
2020년07월_남_50~59세,"297,364","93,186","25,102","21,466","14,701","17,412","14,505","28,458","11,578","9,736","49,394","9,627","20,636","29,468","2,545","6,242","5,857","4,997","3,953","4,661","3,576","3,686","5,448","4,316"
2020년07월_남_60~69세,"222,280","67,891","16,885","12,179","13,862","13,853","11,112","21,158","9,718","7,719","28,564","9,990","13,246","20,227","2,758","5,537","5,919","4,723","3,926","4,468","3,639","3,540","4,820","4,437"
2020년07월_남_70~79세,"107,422","28,634","6,212","3,203","7,328","6,638","5,253","11,149","4,994","4,565","11,222","5,417","5,017","9,254","1,651","2,904","3,458","2,984","2,963","2,755","2,307","2,261","2,924","2,963"
