카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동
2020년09월_계_총인구수,"380,980","19,931","21,115","17,546","20,363","21,625","16,854","25,394","26,027","18,803","18,960","36,540","36,506","48,808","52,508"
2020년09월_계_연령구간인구수,"380,980","19,931","21,115","17,546","20,363","21,625","16,854","25,394","26,027","18,803","18,960","36,540","36,506","48,808","52,508"
2020년09월_계_0~9세,"37,905","1,451","1,575",929,"1,005","1,428","1,045","1,332","2,356","1,410","1,620","3,158","4,837","7,160","8,599"
2020년09월_계_10~19세,"42,122","1,931","2,267","1,107","1,671","1,744","1,287","1,811","2,707","2,034","2,860","5,316","6,266","5,922","5,199"
2020년09월_계_20~29세,"51,533","2,756","3,083","2,537","3,214","3,406","2,302","3,571","3,698","2,790","2,578","6,006","3,689","6,132","5,771"
2020년09월_계_30~39세,"56,861","2,387","2,541","2,347","2,678","3,273","2,297","3,090","3,969","2,592","1,886","4,239","4,519","9,535","11,508"
2020년09월_계_40~49세,"67,475","3,220","3,407","2,367","3,365","3,113","2,299","3,773","4,247","3,051","3,436","6,596","8,532","9,880","10,189"
2020년09월_계_50~59세,"63,796","3,759","4,048","3,543","4,085","3,957","3,158","5,316","4,755","3,533","3,415","6,135","5,379","5,982","6,731"
2020년09월_계_60~69세,"37,421","2,424","2,386","2,833","2,618","2,751","2,453","3,774","2,812","2,119","1,856","3,269","2,125","2,750","3,251"
2020년09월_계_70~79세,"15,393","1,323","1,159","1,259","1,167","1,185","1,157","1,744",923,789,839,"1,185",749,"1,025",889
2020년09월_계_80~89세,"7,150",597,546,538,479,649,705,846,447,433,381,518,343,357,311
2020년09월_계_90~99세,"1,266",80,99,82,77,115,145,128,100,48,88,117,64,65,58
2020년09월_계_100세 이상,58,3,4,4,4,4,6,9,13,4,1,1,3,0,2
2020년09월_남_총인구수,"189,440","9,897","10,460","9,092","11,159","10,636","8,037","13,130","12,773","9,190","9,241","17,979","17,908","23,930","26,008"
2020년09월_남_연령구간인구수,"189,440","9,897","10,460","9,092","11,159","10,636","8,037","13,130","12,773","9,190","9,241","17,979","17,908","23,930","26,008"
2020년09월_남_0~9세,"19,324",758,795,491,525,742,528,684,"1,195",718,813,"1,629","2,456","3,619","4,371"
2020년09월_남_10~19세,"21,635","1,019","1,162",577,925,891,679,938,"1,351","1,045","1,461","2,715","3,219","3,012","2,641"
2020년09월_남_20~29세,"26,689","1,494","1,629","1,415","1,811","1,806","1,137","1,997","1,911","1,439","1,343","3,021","1,879","2,946","2,861"
2020년09월_남_30~39세,"28,052","1,227","1,259","1,350","1,606","1,723","1,207","1,773","1,965","1,318",833,"1,995","1,881","4,454","5,461"
2020년09월_남_40~49세,"33,266","1,578","1,681","1,328","1,926","1,524","1,092","2,012","2,031","1,408","1,571","3,034","4,002","4,896","5,183"
2020년09월_남_50~59세,"31,550","1,824","1,959","1,670","2,212","1,856","1,448","2,701","2,237","1,684","1,702","3,088","2,878","3,016","3,275"
2020년09월_남_60~69세,"19,256","1,198","1,217","1,477","1,421","1,385","1,235","1,925","1,458","1,080",977,"1,713","1,123","1,388","1,659"
2020년09월_남_70~79세,"7,065",576,546,578,563,501,489,786,457,349,387,581,334,468,450
2020년09월_남_80~89세,"2,300",201,185,187,152,178,197,282,141,135,132,176,122,113,99
2020년09월_남_90~99세,288,22,25,19,18,29,23,28,23,13,22,27,13,18,8
2020년09월_남_100세 이상,15,0,2,0,0,1,2,4,4,1,0,0,1,0,0
2020년09월_여_총인구수,"191,540","10,034","10,655","8,454","9,204","10,989","8,817","12,264","13,254","9,613","9,719","18,561","18,598","24,878","26,500"
2020년09월_여_연령구간인구수,"191,540","10,034","10,655","8,454","9,204","10,989","8,817","12,264","13,254","9,613","9,719","18,561","18,598","24,878","26,500"
2020년09월_여_0~9세,"18,581",693,780,438,480,686,517,648,"1,161",692,807,"1,529","2,381","3,541","4,228"
2020년09월_여_10~19세,"20,487",912,"1,105",530,746,853,608,873,"1,356",989,"1,399","2,601","3,047","2,910","2,558"
2020년09월_여_20~29세,"24,844","1,262","1,454","1,122","1,403","1,600","1,165","1,574","1,787","1,351","1,235","2,985","1,810","3,186","2,910"
2020년09월_여_30~39세,"28,809","1,160","1,282",997,"1,072","1,550","1,090","1,317","2,004","1,274","1,053","2,244","2,638","5,081","6,047"
2020년09월_여_40~49세,"34,209","1,642","1,726","1,039","1,439","1,589","1,207","1,761","2,216","1,643","1,865","3,562","4,530","4,984","5,006"
2020년09월_여_50~59세,"32,246","1,935","2,089","1,873","1,873","2,101","1,710","2,615","2,518","1,849","1,713","3,047","2,501","2,966","3,456"
2020년09월_여_60~69세,"18,165","1,226","1,169","1,356","1,197","1,366","1,218","1,849","1,354","1,039",879,"1,556","1,002","1,362","1,592"
2020년09월_여_70~79세,"8,328",747,613,681,604,684,668,958,466,440,452,604,415,557,439
2020년09월_여_80~89세,"4,850",396,361,351,327,471,508,564,306,298,249,342,221,244,212
2020년09월_여_90~99세,978,58,74,63,59,86,122,100,77,35,66,90,51,47,50
2020년09월_여_100세 이상,43,3,2,4,4,3,4,5,9,3,1,1,2,0,2
