카테고리,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020년02월_계_총인구수,"118,513","8,683","13,988","4,242","4,368","3,104","3,688","3,658","6,251","2,509","6,524","3,567","4,005","2,341","34,823","16,762"
2020년02월_계_연령구간인구수,"118,513","8,683","13,988","4,242","4,368","3,104","3,688","3,658","6,251","2,509","6,524","3,567","4,005","2,341","34,823","16,762"
2020년02월_계_0~9세,"7,606",395,920,109,131,135,87,90,220,62,425,66,103,64,"3,411","1,388"
2020년02월_계_10~19세,"10,195",739,"1,146",186,248,158,175,187,333,118,433,141,222,151,"3,998","1,960"
2020년02월_계_20~29세,"11,893",763,"1,397",323,317,219,238,286,437,125,496,243,456,151,"4,529","1,913"
2020년02월_계_30~39세,"11,324",623,"1,342",266,266,241,229,226,371,129,584,196,256,151,"4,717","1,727"
2020년02월_계_40~49세,"15,964","1,057","1,748",388,449,325,444,380,612,253,709,340,452,232,"5,874","2,701"
2020년02월_계_50~59세,"20,284","1,565","2,322",740,816,502,699,733,"1,245",454,"1,125",627,759,390,"5,397","2,910"
2020년02월_계_60~69세,"19,247","1,632","2,320",918,940,645,828,778,"1,400",600,"1,138",859,781,522,"3,734","2,152"
2020년02월_계_70~79세,"12,818","1,142","1,587",722,681,481,551,562,953,438,907,624,533,373,"2,010","1,254"
2020년02월_계_80~89세,"7,971",640,"1,043",531,474,346,384,360,583,271,613,404,381,259,"1,014",668
2020년02월_계_90~99세,"1,124",111,154,58,44,49,47,53,89,53,90,63,57,45,127,84
2020년02월_계_100세 이상,87,16,9,1,2,3,6,3,8,6,4,4,5,3,12,5
2020년02월_남_총인구수,"59,290","4,229","6,987","2,141","2,207","1,569","1,854","1,877","3,261","1,271","3,313","1,815","2,110","1,138","17,354","8,164"
2020년02월_남_연령구간인구수,"59,290","4,229","6,987","2,141","2,207","1,569","1,854","1,877","3,261","1,271","3,313","1,815","2,110","1,138","17,354","8,164"
2020년02월_남_0~9세,"3,913",204,461,59,61,74,49,49,123,27,223,41,51,30,"1,750",711
2020년02월_남_10~19세,"5,272",381,582,96,128,83,94,89,183,63,248,71,112,71,"2,059","1,012"
2020년02월_남_20~29세,"6,674",430,812,183,175,123,132,164,259,70,294,145,270,93,"2,470","1,054"
2020년02월_남_30~39세,"5,953",322,729,170,160,144,125,137,206,81,294,114,168,83,"2,389",831
2020년02월_남_40~49세,"8,542",557,980,244,275,182,242,238,357,162,395,204,297,131,"2,928","1,350"
2020년02월_남_50~59세,"10,598",782,"1,209",401,440,286,396,412,691,249,604,325,432,211,"2,709","1,451"
2020년02월_남_60~69세,"9,671",792,"1,160",465,494,326,426,405,750,311,593,462,404,272,"1,801","1,010"
2020년02월_남_70~79세,"5,595",486,680,296,304,225,245,253,452,204,406,292,236,148,859,509
2020년02월_남_80~89세,"2,760",241,337,206,158,111,130,119,218,89,230,140,132,83,346,220
2020년02월_남_90~99세,288,27,36,21,11,14,15,11,21,14,26,20,7,16,36,13
2020년02월_남_100세 이상,24,7,1,0,1,1,0,0,1,1,0,1,1,0,7,3
2020년02월_여_총인구수,"59,223","4,454","7,001","2,101","2,161","1,535","1,834","1,781","2,990","1,238","3,211","1,752","1,895","1,203","17,469","8,598"
2020년02월_여_연령구간인구수,"59,223","4,454","7,001","2,101","2,161","1,535","1,834","1,781","2,990","1,238","3,211","1,752","1,895","1,203","17,469","8,598"
2020년02월_여_0~9세,"3,693",191,459,50,70,61,38,41,97,35,202,25,52,34,"1,661",677
2020년02월_여_10~19세,"4,923",358,564,90,120,75,81,98,150,55,185,70,110,80,"1,939",948
2020년02월_여_20~29세,"5,219",333,585,140,142,96,106,122,178,55,202,98,186,58,"2,059",859
2020년02월_여_30~39세,"5,371",301,613,96,106,97,104,89,165,48,290,82,88,68,"2,328",896
2020년02월_여_40~49세,"7,422",500,768,144,174,143,202,142,255,91,314,136,155,101,"2,946","1,351"
2020년02월_여_50~59세,"9,686",783,"1,113",339,376,216,303,321,554,205,521,302,327,179,"2,688","1,459"
2020년02월_여_60~69세,"9,576",840,"1,160",453,446,319,402,373,650,289,545,397,377,250,"1,933","1,142"
2020년02월_여_70~79세,"7,223",656,907,426,377,256,306,309,501,234,501,332,297,225,"1,151",745
2020년02월_여_80~89세,"5,211",399,706,325,316,235,254,241,365,182,383,264,249,176,668,448
2020년02월_여_90~99세,836,84,118,37,33,35,32,42,68,39,64,43,50,29,91,71
2020년02월_여_100세 이상,63,9,8,1,1,2,6,3,7,5,4,3,4,3,5,2
