,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2021년03월_계_총인구수,"280,585","6,906","7,827","7,137","2,302","1,568","1,930","2,653","3,090","2,987","3,322","5,287","4,374","4,556","2,601","1,584","3,421","4,809","7,037","22,614","9,393","11,636","38,233","8,538","23,183","14,371","25,287","15,668","6,714","31,557"
2021년03월_계_연령구간인구수,"280,585","6,906","7,827","7,137","2,302","1,568","1,930","2,653","3,090","2,987","3,322","5,287","4,374","4,556","2,601","1,584","3,421","4,809","7,037","22,614","9,393","11,636","38,233","8,538","23,183","14,371","25,287","15,668","6,714","31,557"
2021년03월_계_0~9세,"18,627",356,524,263,64,27,31,67,108,88,173,335,89,179,66,25,99,306,311,"1,653",423,478,"3,577",852,"1,451","1,241","2,212",608,539,"2,482"
2021년03월_계_10~19세,"27,560",585,606,491,133,60,89,143,136,146,161,345,198,276,99,84,135,331,420,"2,196",695,856,"4,311",980,"2,682","2,039","3,387","1,188",653,"4,135"
2021년03월_계_20~29세,"35,778",600,661,657,173,97,131,173,208,128,311,654,266,395,238,95,370,471,896,"2,509","1,372","1,314","4,661",892,"3,308","2,337","3,556","4,084",775,"4,446"
2021년03월_계_30~39세,"27,969",517,745,527,126,67,78,147,200,153,257,468,206,344,142,72,306,489,759,"2,404",890,983,"4,316","1,155","2,355","1,585","3,034","1,471",828,"3,345"
2021년03월_계_40~49세,"41,431",801,"1,049",760,215,132,171,223,318,270,333,586,399,517,238,137,409,714,832,"3,426","1,250","1,461","6,222","1,427","3,567","2,738","4,904","1,676","1,046","5,610"
2021년03월_계_50~59세,"48,632","1,183","1,329","1,310",423,254,357,372,552,484,554,904,733,819,551,237,548,930,"1,123","4,002","1,840","1,892","6,262","1,263","4,428","2,539","4,546","2,272","1,080","5,845"
2021년03월_계_60~69세,"41,156","1,404","1,461","1,421",458,383,467,615,666,731,636,"1,015","1,015",933,538,367,737,859,"1,306","3,515","1,660","2,152","4,918","1,094","3,352","1,033","2,199","2,073",913,"3,235"
2021년03월_계_70~79세,"24,687",869,862,994,413,282,346,531,525,569,523,625,828,588,396,315,554,481,898,"1,910",864,"1,735","2,580",598,"1,334",589,959,"1,454",518,"1,547"
