,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020년08월_계_총인구수,"48,776","14,033","2,896","6,665",708,"2,754","2,582","1,755","6,522","7,532","1,283","2,046"
2020년08월_계_연령구간인구수,"48,776","14,033","2,896","6,665",708,"2,754","2,582","1,755","6,522","7,532","1,283","2,046"
2020년08월_계_0~9세,"2,947","1,107",70,784,6,125,57,46,316,363,23,50
2020년08월_계_10~19세,"3,818","1,670",266,456,28,125,98,65,411,564,43,92
2020년08월_계_20~29세,"4,495","1,529",182,742,47,204,186,114,704,649,45,93
2020년08월_계_30~39세,"4,358","1,430",159,"1,139",26,169,119,63,579,544,44,86
2020년08월_계_40~49세,"6,315","2,351",251,944,61,301,162,148,861,945,121,170
2020년08월_계_50~59세,"8,679","2,414",464,"1,035",151,495,464,274,"1,289","1,447",291,355
2020년08월_계_60~69세,"8,019","1,678",540,771,142,541,566,375,"1,150","1,529",306,421
2020년08월_계_70~79세,"5,736","1,090",526,459,128,403,458,352,728,985,229,378
2020년08월_계_80~89세,"3,774",646,371,290,105,332,394,277,429,432,159,339
2020년08월_계_90~99세,618,116,65,41,14,58,77,41,52,73,20,61
2020년08월_계_100세 이상,17,2,2,4,0,1,1,0,3,1,2,1
2020년08월_남_총인구수,"24,399","7,072","1,410","3,494",369,"1,372","1,208",850,"3,342","3,702",625,955
2020년08월_남_연령구간인구수,"24,399","7,072","1,410","3,494",369,"1,372","1,208",850,"3,342","3,702",625,955
2020년08월_남_0~9세,"1,499",588,41,386,4,69,26,20,148,184,11,22
2020년08월_남_10~19세,"2,072",872,196,249,13,61,44,37,227,303,23,47
2020년08월_남_20~29세,"2,649",866,104,436,29,131,123,68,432,381,26,53
2020년08월_남_30~39세,"2,376",734,96,619,18,94,71,40,333,287,28,56
2020년08월_남_40~49세,"3,468","1,187",144,544,44,182,91,77,500,526,60,113
2020년08월_남_50~59세,"4,682","1,293",253,587,99,277,254,160,672,728,159,200
2020년08월_남_60~69세,"3,933",825,239,376,77,282,275,189,591,711,164,204
2020년08월_남_70~79세,"2,475",463,209,216,51,159,197,157,319,441,99,164
2020년08월_남_80~89세,"1,148",227,119,79,33,108,116,93,109,131,44,89
2020년08월_남_90~99세,95,17,9,2,1,9,11,9,10,10,10,7
2020년08월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년08월_여_총인구수,"24,377","6,961","1,486","3,171",339,"1,382","1,374",905,"3,180","3,830",658,"1,091"
2020년08월_여_연령구간인구수,"24,377","6,961","1,486","3,171",339,"1,382","1,374",905,"3,180","3,830",658,"1,091"
2020년08월_여_0~9세,"1,448",519,29,398,2,56,31,26,168,179,12,28
2020년08월_여_10~19세,"1,746",798,70,207,15,64,54,28,184,261,20,45
2020년08월_여_20~29세,"1,846",663,78,306,18,73,63,46,272,268,19,40
2020년08월_여_30~39세,"1,982",696,63,520,8,75,48,23,246,257,16,30
2020년08월_여_40~49세,"2,847","1,164",107,400,17,119,71,71,361,419,61,57
2020년08월_여_50~59세,"3,997","1,121",211,448,52,218,210,114,617,719,132,155
2020년08월_여_60~69세,"4,086",853,301,395,65,259,291,186,559,818,142,217
2020년08월_여_70~79세,"3,261",627,317,243,77,244,261,195,409,544,130,214
2020년08월_여_80~89세,"2,626",419,252,211,72,224,278,184,320,301,115,250
2020년08월_여_90~99세,523,99,56,39,13,49,66,32,42,63,10,54
2020년08월_여_100세 이상,15,2,2,4,0,1,1,0,2,1,1,1
