,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2020년04월_계_총인구수,"672,862","14,399","25,688","13,049","16,730","20,305","19,860","16,346","25,914","18,819","40,810","25,257","20,651","33,308","31,899","27,451","27,962","33,519","21,044","29,848","31,180","28,241","28,884","36,648","35,661","22,029","17,261","10,099"
2020년04월_계_연령구간인구수,"672,862","14,399","25,688","13,049","16,730","20,305","19,860","16,346","25,914","18,819","40,810","25,257","20,651","33,308","31,899","27,451","27,962","33,519","21,044","29,848","31,180","28,241","28,884","36,648","35,661","22,029","17,261","10,099"
2020년04월_계_0~9세,"52,554",737,"2,043",703,"1,091","1,102",973,"1,139","1,255","1,412","3,066","1,355","1,680","1,778","1,733","1,713","3,208","2,692","1,429","1,780","2,561","4,752","1,348","4,409","3,450","3,012","1,505",628
2020년04월_계_10~19세,"60,428",975,"2,146","1,092","1,443","1,702","1,483","1,740","1,357","2,868","3,433","1,447","1,971","2,013","2,124","1,980","2,298","3,681","1,629","1,555","2,981","3,510","1,898","5,972","3,985","2,316","1,723","1,106"
2020년04월_계_20~29세,"95,448","1,825","3,845","1,821","1,891","2,512","2,501","2,495","4,980","2,271","5,830","4,654","2,998","5,788","5,396","4,390","3,715","4,758","3,376","5,374","4,261","2,715","5,205","3,307","4,077","2,079","2,087","1,297"
2020년04월_계_30~39세,"113,443","2,106","4,341","1,709","2,278","2,306","2,370","2,340","5,781","1,857","6,022","5,607","3,091","7,274","6,828","4,898","5,610","4,979","3,645","7,829","4,958","5,139","6,217","4,478","4,799","3,387","2,486","1,108"
2020년04월_계_40~49세,"110,072","2,078","4,099","2,063","2,709","3,073","2,870","2,732","3,654","3,515","6,051","3,563","3,152","5,036","5,276","3,995","4,329","5,721","2,952","4,315","4,957","5,620","4,524","8,904","6,306","4,370","2,739","1,469"
2020년04월_계_50~59세,"103,770","2,538","3,771","2,361","2,873","3,673","3,860","2,742","3,738","3,124","7,180","3,660","3,415","4,942","4,679","4,839","4,071","5,397","3,520","3,572","5,145","3,245","4,198","4,705","5,254","2,899","2,689","1,680"
2020년04월_계_60~69세,"81,654","2,386","3,211","1,861","2,375","3,236","3,214","1,891","3,114","2,364","5,621","3,008","2,726","3,840","3,534","3,487","3,134","3,928","2,879","3,111","3,753","2,062","3,316","2,785","4,619","2,385","2,378","1,436"
2020년04월_계_70~79세,"39,089","1,256","1,581","1,065","1,449","1,868","1,773",831,"1,483",977,"2,410","1,431","1,118","1,946","1,681","1,504","1,210","1,634","1,139","1,541","1,745",846,"1,572","1,510","2,360","1,141","1,114",904
2020년04월_계_80~89세,"13,685",432,548,329,516,710,662,369,473,345,995,448,411,605,529,554,324,616,391,653,664,271,525,463,663,348,445,396
2020년04월_계_90~99세,"2,436",58,95,42,90,106,121,59,77,86,193,74,78,80,107,82,59,104,72,109,150,78,68,84,136,72,83,73
2020년04월_계_100세 이상,283,8,8,3,15,17,33,8,2,0,9,10,11,6,12,9,4,9,12,9,5,3,13,31,12,20,12,2
2020년04월_남_총인구수,"325,127","7,128","12,200","6,660","8,212","10,386","10,077","7,866","12,287","9,262","19,827","11,859","9,940","15,921","15,137","13,625","13,621","16,433","10,382","13,808","15,089","13,717","13,640","17,534","17,002","10,617","8,198","4,699"
2020년04월_남_연령구간인구수,"325,127","7,128","12,200","6,660","8,212","10,386","10,077","7,866","12,287","9,262","19,827","11,859","9,940","15,921","15,137","13,625","13,621","16,433","10,382","13,808","15,089","13,717","13,640","17,534","17,002","10,617","8,198","4,699"
