카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020년12월_계_총인구수,"93,153","16,951","19,922","2,906","3,062","13,094","15,714","6,933","4,526","10,045"
2020년12월_계_연령구간인구수,"93,153","16,951","19,922","2,906","3,062","13,094","15,714","6,933","4,526","10,045"
2020년12월_계_0~9세,"5,894",906,"1,295",49,67,"1,573","1,097",240,173,494
2020년12월_계_10~19세,"7,647","1,378","2,005",117,140,"1,020","1,558",431,229,769
2020년12월_계_20~29세,"9,500","1,740","2,241",161,172,"1,428","1,786",608,334,"1,030"
2020년12월_계_30~39세,"9,674","1,515","1,984",174,176,"2,372","1,715",569,307,862
2020년12월_계_40~49세,"13,765","2,315","3,321",219,231,"2,195","2,844",879,472,"1,289"
2020년12월_계_50~59세,"17,738","3,246","3,898",533,543,"1,821","3,247","1,561",928,"1,961"
2020년12월_계_60~69세,"15,255","3,081","2,822",703,784,"1,500","1,999","1,405","1,042","1,919"
2020년12월_계_70~79세,"8,230","1,741","1,433",535,535,720,893,731,586,"1,056"
2020년12월_계_80~89세,"4,669",887,797,360,351,380,503,442,385,564
2020년12월_계_90~99세,722,134,111,52,59,68,72,63,65,98
2020년12월_계_100세 이상,59,8,15,3,4,17,0,4,5,3
2020년12월_남_총인구수,"49,388","8,668","10,630","1,478","1,596","7,002","8,591","3,851","2,455","5,117"
2020년12월_남_연령구간인구수,"49,388","8,668","10,630","1,478","1,596","7,002","8,591","3,851","2,455","5,117"
2020년12월_남_0~9세,"3,070",475,672,23,30,829,568,138,93,242
2020년12월_남_10~19세,"3,958",690,"1,090",62,87,510,813,237,110,359
2020년12월_남_20~29세,"5,549",994,"1,341",95,102,762,"1,082",370,219,584
2020년12월_남_30~39세,"5,438",831,"1,109",109,103,"1,278",987,357,194,470
2020년12월_남_40~49세,"7,746","1,256","1,824",144,156,"1,227","1,571",561,293,714
2020년12월_남_50~59세,"9,884","1,723","2,204",294,298,"1,001","1,884",899,535,"1,046"
2020년12월_남_60~69세,"8,061","1,564","1,450",368,426,859,"1,083",776,557,978
2020년12월_남_70~79세,"3,885",800,628,242,266,360,418,356,298,517
2020년12월_남_80~89세,"1,587",290,278,130,113,147,165,141,138,185
2020년12월_남_90~99세,183,41,30,11,14,15,20,14,16,22
2020년12월_남_100세 이상,27,4,4,0,1,14,0,2,2,0
2020년12월_여_총인구수,"43,765","8,283","9,292","1,428","1,466","6,092","7,123","3,082","2,071","4,928"
2020년12월_여_연령구간인구수,"43,765","8,283","9,292","1,428","1,466","6,092","7,123","3,082","2,071","4,928"
2020년12월_여_0~9세,"2,824",431,623,26,37,744,529,102,80,252
2020년12월_여_10~19세,"3,689",688,915,55,53,510,745,194,119,410
2020년12월_여_20~29세,"3,951",746,900,66,70,666,704,238,115,446
2020년12월_여_30~39세,"4,236",684,875,65,73,"1,094",728,212,113,392
2020년12월_여_40~49세,"6,019","1,059","1,497",75,75,968,"1,273",318,179,575
2020년12월_여_50~59세,"7,854","1,523","1,694",239,245,820,"1,363",662,393,915
2020년12월_여_60~69세,"7,194","1,517","1,372",335,358,641,916,629,485,941
2020년12월_여_70~79세,"4,345",941,805,293,269,360,475,375,288,539
2020년12월_여_80~89세,"3,082",597,519,230,238,233,338,301,247,379
2020년12월_여_90~99세,539,93,81,41,45,53,52,49,49,76
2020년12월_여_100세 이상,32,4,11,3,3,3,0,2,3,3
