,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년04월_계_총인구수,"230,204","5,600","9,495","11,386","8,073","8,508","16,703","16,046","13,043","17,953","27,121","2,360","9,880","29,309","19,914","33,750","1,063"
2021년04월_계_연령구간인구수,"230,204","5,600","9,495","11,386","8,073","8,508","16,703","16,046","13,043","17,953","27,121","2,360","9,880","29,309","19,914","33,750","1,063"
2021년04월_계_0~9세,"12,750",103,322,339,265,294,865,"1,124",519,882,"2,647",70,506,"1,184","1,340","2,218",72
2021년04월_계_10~19세,"17,405",259,464,548,346,442,"1,407","1,342",792,"1,212","2,466",100,683,"2,027","1,944","3,259",114
2021년04월_계_20~29세,"32,848",532,"1,104","1,238",807,894,"2,485","2,257","1,550","5,752","3,398",213,"1,062","4,480","2,555","4,444",77
2021년04월_계_30~39세,"24,680",446,945,"1,100",796,799,"1,761","1,949","1,416","1,977","3,679",205,928,"2,978","2,233","3,388",80
2021년04월_계_40~49세,"31,729",732,"1,140","1,339",960,"1,103","2,373","2,260","1,747","2,198","4,725",242,"1,205","3,608","3,018","4,913",166
2021년04월_계_50~59세,"39,673","1,085","1,874","2,251","1,550","1,437","2,923","2,760","2,253","2,224","3,725",464,"1,764","5,471","3,661","6,069",162
2021년04월_계_60~69세,"39,292","1,298","2,175","2,491","1,940","1,786","2,734","2,505","2,652","1,983","3,402",547,"1,945","5,210","2,989","5,412",223
2021년04월_계_70~79세,"21,643",770,"1,058","1,454","1,035","1,216","1,425","1,170","1,536","1,153","2,043",336,"1,201","2,980","1,470","2,688",108
2021년04월_계_80~89세,"8,980",332,379,566,337,483,643,591,517,508,872,163,523,"1,224",629,"1,164",49
2021년04월_계_90~99세,"1,140",31,33,51,33,54,85,85,58,63,154,19,61,144,73,185,11
2021년04월_계_100세 이상,64,12,1,9,4,0,2,3,3,1,10,1,2,3,2,10,1
2021년04월_남_총인구수,"112,515","2,874","4,730","5,702","4,280","4,076","8,028","7,693","6,258","9,287","13,059","1,268","4,854","14,310","9,456","16,125",515
2021년04월_남_연령구간인구수,"112,515","2,874","4,730","5,702","4,280","4,076","8,028","7,693","6,258","9,287","13,059","1,268","4,854","14,310","9,456","16,125",515
2021년04월_남_0~9세,"6,549",55,163,184,152,156,464,572,257,416,"1,391",42,266,609,690,"1,098",34
2021년04월_남_10~19세,"8,972",145,235,268,183,217,735,681,434,608,"1,359",58,362,"1,026",940,"1,660",61
2021년04월_남_20~29세,"17,747",298,605,693,456,487,"1,276","1,172",820,"3,355","1,746",118,605,"2,432","1,324","2,313",47
2021년04월_남_30~39세,"12,846",283,503,622,459,430,898,"1,008",751,"1,090","1,747",131,479,"1,635","1,101","1,672",37
2021년04월_남_40~49세,"15,813",439,628,745,587,614,"1,127","1,069",904,"1,140","2,330",134,580,"1,783","1,403","2,248",82
2021년04월_남_50~59세,"18,851",572,932,"1,130",802,683,"1,368","1,285","1,032","1,078","1,715",250,848,"2,568","1,687","2,820",81
2021년04월_남_60~69세,"18,318",609,"1,017","1,191",990,799,"1,275","1,141","1,163",880,"1,519",305,889,"2,447","1,402","2,582",109
2021년04월_남_70~79세,"9,870",349,507,639,519,518,627,537,696,510,914,162,582,"1,319",684,"1,259",48
2021년04월_남_80~89세,"3,275",119,133,222,125,156,234,209,190,195,312,62,218,456,212,420,12
2021년04월_남_90~99세,266,3,7,8,6,16,24,18,11,15,25,6,25,34,13,52,3
2021년04월_남_100세 이상,8,2,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1
2021년04월_여_총인구수,"117,689","2,726","4,765","5,684","3,793","4,432","8,675","8,353","6,785","8,666","14,062","1,092","5,026","14,999","10,458","17,625",548
2021년04월_여_연령구간인구수,"117,689","2,726","4,765","5,684","3,793","4,432","8,675","8,353","6,785","8,666","14,062","1,092","5,026","14,999","10,458","17,625",548
2021년04월_여_0~9세,"6,201",48,159,155,113,138,401,552,262,466,"1,256",28,240,575,650,"1,120",38
2021년04월_여_10~19세,"8,433",114,229,280,163,225,672,661,358,604,"1,107",42,321,"1,001","1,004","1,599",53
2021년04월_여_20~29세,"15,101",234,499,545,351,407,"1,209","1,085",730,"2,397","1,652",95,457,"2,048","1,231","2,131",30
2021년04월_여_30~39세,"11,834",163,442,478,337,369,863,941,665,887,"1,932",74,449,"1,343","1,132","1,716",43
2021년04월_여_40~49세,"15,916",293,512,594,373,489,"1,246","1,191",843,"1,058","2,395",108,625,"1,825","1,615","2,665",84
2021년04월_여_50~59세,"20,822",513,942,"1,121",748,754,"1,555","1,475","1,221","1,146","2,010",214,916,"2,903","1,974","3,249",81
2021년04월_여_60~69세,"20,974",689,"1,158","1,300",950,987,"1,459","1,364","1,489","1,103","1,883",242,"1,056","2,763","1,587","2,830",114
2021년04월_여_70~79세,"11,773",421,551,815,516,698,798,633,840,643,"1,129",174,619,"1,661",786,"1,429",60
2021년04월_여_80~89세,"5,705",213,246,344,212,327,409,382,327,313,560,101,305,768,417,744,37
2021년04월_여_90~99세,874,28,26,43,27,38,61,67,47,48,129,13,36,110,60,133,8
2021년04월_여_100세 이상,56,10,1,9,3,0,2,2,3,1,9,1,2,2,2,9,0
