카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 삼국유사면
2021년04월_계_총인구수,"23,063","8,122","2,290","3,757","2,034","1,981","2,366","1,175","1,338"
2021년04월_계_연령구간인구수,"23,063","8,122","2,290","3,757","2,034","1,981","2,366","1,175","1,338"
2021년04월_계_0~9세,650,402,38,90,39,15,38,14,14
2021년04월_계_10~19세,936,570,48,127,43,37,66,23,22
2021년04월_계_20~29세,"1,449",696,98,249,137,97,88,32,52
2021년04월_계_30~39세,"1,262",600,102,180,103,78,105,43,51
2021년04월_계_40~49세,"2,093","1,090",134,294,131,126,165,68,85
2021년04월_계_50~59세,"4,209","1,485",442,687,402,351,396,204,242
2021년04월_계_60~69세,"5,490","1,528",574,998,532,524,608,324,402
2021년04월_계_70~79세,"3,979","1,033",443,680,357,419,504,256,287
2021년04월_계_80~89세,"2,647",635,364,402,252,300,351,188,155
2021년04월_계_90~99세,336,77,45,49,38,33,43,23,28
2021년04월_계_100세 이상,12,6,2,1,0,1,2,0,0
2021년04월_남_총인구수,"11,789","4,198","1,179","1,930","1,047",999,"1,143",591,702
2021년04월_남_연령구간인구수,"11,789","4,198","1,179","1,930","1,047",999,"1,143",591,702
2021년04월_남_0~9세,349,221,18,51,22,6,13,9,9
2021년04월_남_10~19세,515,326,27,60,31,14,34,10,13
2021년04월_남_20~29세,884,411,60,154,92,61,47,24,35
2021년04월_남_30~39세,717,330,56,93,64,49,62,29,34
2021년04월_남_40~49세,"1,229",584,87,184,82,90,106,45,51
2021년04월_남_50~59세,"2,375",816,259,384,217,199,226,133,141
2021년04월_남_60~69세,"2,902",790,312,551,284,277,293,166,229
2021년04월_남_70~79세,"1,850",485,212,318,158,196,233,111,137
2021년04월_남_80~89세,899,217,137,128,89,99,119,58,52
2021년04월_남_90~99세,68,17,11,7,8,8,10,6,1
2021년04월_남_100세 이상,1,1,0,0,0,0,0,0,0
2021년04월_여_총인구수,"11,274","3,924","1,111","1,827",987,982,"1,223",584,636
2021년04월_여_연령구간인구수,"11,274","3,924","1,111","1,827",987,982,"1,223",584,636
2021년04월_여_0~9세,301,181,20,39,17,9,25,5,5
2021년04월_여_10~19세,421,244,21,67,12,23,32,13,9
2021년04월_여_20~29세,565,285,38,95,45,36,41,8,17
2021년04월_여_30~39세,545,270,46,87,39,29,43,14,17
2021년04월_여_40~49세,864,506,47,110,49,36,59,23,34
2021년04월_여_50~59세,"1,834",669,183,303,185,152,170,71,101
2021년04월_여_60~69세,"2,588",738,262,447,248,247,315,158,173
2021년04월_여_70~79세,"2,129",548,231,362,199,223,271,145,150
2021년04월_여_80~89세,"1,748",418,227,274,163,201,232,130,103
2021년04월_여_90~99세,268,60,34,42,30,25,33,17,27
2021년04월_여_100세 이상,11,5,2,1,0,1,2,0,0
