카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년03월_계_총인구수,"360,462","43,304","2,758","3,156","6,251","8,912","6,877","7,452","5,614","3,484","2,412","19,184","30,970","40,847","23,620","29,455","34,401","33,348","19,357","11,210","27,850"
2021년03월_계_연령구간인구수,"360,462","43,304","2,758","3,156","6,251","8,912","6,877","7,452","5,614","3,484","2,412","19,184","30,970","40,847","23,620","29,455","34,401","33,348","19,357","11,210","27,850"
2021년03월_계_0~9세,"47,300","3,187",93,88,324,322,225,331,183,69,97,"2,550","4,495","5,814","3,483","4,627","5,941","5,855","3,138","1,645","4,833"
2021년03월_계_10~19세,"43,522","4,188",108,128,367,409,310,415,382,118,180,"3,353","4,148","5,457","4,329","4,175","4,812","3,609","2,532","1,075","3,427"
2021년03월_계_20~29세,"37,866","6,471",388,300,732,910,"1,030",875,562,278,271,"1,722","3,762","4,605","1,838","2,579","2,568","3,130","1,871","1,368","2,606"
2021년03월_계_30~39세,"61,515","5,503",358,293,745,912,919,743,497,246,182,"2,519","6,212","7,549","3,393","5,400","6,468","7,711","3,571","2,252","6,042"
2021년03월_계_40~49세,"70,075","6,881",333,336,829,"1,018",942,883,672,335,334,"4,494","6,463","8,740","5,934","6,297","7,571","6,458","3,941","1,944","5,670"
2021년03월_계_50~59세,"45,953","6,671",523,530,"1,099","1,599","1,283","1,227","1,030",693,442,"2,601","3,380","4,693","2,761","3,234","3,495","3,783","2,353","1,667","2,889"
2021년03월_계_60~69세,"31,270","5,517",520,684,"1,078","1,811","1,149","1,428","1,039",868,415,"1,220","1,717","2,391","1,222","1,987","2,422","1,937","1,328",878,"1,659"
2021년03월_계_70~79세,"14,451","3,102",254,424,625,"1,140",588,900,666,508,272,484,547,"1,038",463,781,841,605,437,245,531
2021년03월_계_80~89세,"7,245","1,536",152,309,401,666,384,576,496,315,195,201,196,459,163,335,235,206,155,108,157
2021년03월_계_90~99세,"1,228",240,28,60,50,121,46,71,82,52,24,38,50,101,33,39,48,50,31,28,36
2021년03월_계_100세 이상,37,8,1,4,1,4,1,3,5,2,0,2,0,0,1,1,0,4,0,0,0
2021년03월_남_총인구수,"180,030","22,480","1,576","1,653","3,451","4,720","3,969","4,070","2,985","1,886","1,285","9,458","15,019","19,733","11,691","14,319","16,833","16,428","9,474","5,558","13,442"
