카테고리,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년07월_계_총인구수,"224,060","5,065","25,866","12,491","12,776","8,841","16,890","15,389","10,637","14,092","18,767","20,874","12,534","11,136","14,784","2,543","21,375"
2020년07월_계_연령구간인구수,"224,060","5,065","25,866","12,491","12,776","8,841","16,890","15,389","10,637","14,092","18,767","20,874","12,534","11,136","14,784","2,543","21,375"
2020년07월_계_0~9세,"15,511",115,"2,752",949,891,310,989,"1,506",396,835,"1,034","1,180",937,619,864,78,"2,056"
2020년07월_계_10~19세,"20,320",158,"3,384",930,"1,024",410,"1,541","1,425",870,"1,166","1,852","1,565",960,833,"1,325",149,"2,728"
2020년07월_계_20~29세,"30,374",381,"2,699","1,448","1,559",866,"2,743","1,847","2,617","2,038","2,984","3,931","1,447","1,909","1,600",201,"2,104"
2020년07월_계_30~39세,"26,365",426,"3,216","1,715","1,574",777,"1,738","2,172","1,098","1,492","2,024","3,126","1,576","1,358","1,510",162,"2,401"
2020년07월_계_40~49세,"34,273",569,"4,953","1,852","1,769","1,019","2,548","2,350","1,283","2,071","2,829","3,191","1,839","1,625","2,228",290,"3,857"
2020년07월_계_50~59세,"37,085","1,055","3,677","1,972","2,242","1,602","3,007","2,438","1,578","2,427","3,307","3,430","2,173","1,924","2,626",480,"3,147"
2020년07월_계_60~69세,"31,794","1,160","2,854","1,840","1,910","1,842","2,411","1,905","1,480","2,159","2,632","2,563","1,897","1,592","2,349",548,"2,652"
2020년07월_계_70~79세,"18,972",801,"1,607","1,212","1,166","1,274","1,284","1,147",915,"1,288","1,450","1,330","1,152",864,"1,539",344,"1,599"
2020년07월_계_80~89세,"8,159",342,627,487,568,657,549,510,357,546,585,484,465,362,651,253,716
2020년07월_계_90~99세,"1,110",47,90,73,70,82,73,77,38,63,70,71,79,48,86,35,108
2020년07월_계_100세 이상,97,11,7,13,3,2,7,12,5,7,0,3,9,2,6,3,7
2020년07월_남_총인구수,"112,971","2,839","12,688","6,180","6,221","4,312","8,547","7,697","5,570","7,254","9,379","10,758","6,209","5,704","7,527","1,334","10,752"
2020년07월_남_연령구간인구수,"112,971","2,839","12,688","6,180","6,221","4,312","8,547","7,697","5,570","7,254","9,379","10,758","6,209","5,704","7,527","1,334","10,752"
2020년07월_남_0~9세,"7,987",54,"1,357",484,479,148,514,805,208,425,532,615,495,339,414,39,"1,079"
2020년07월_남_10~19세,"10,505",83,"1,781",495,533,216,762,743,424,575,954,791,489,428,713,78,"1,440"
2020년07월_남_20~29세,"16,149",214,"1,411",743,807,508,"1,486",977,"1,417","1,126","1,551","2,033",761,994,871,118,"1,132"
2020년07월_남_30~39세,"14,176",262,"1,544",914,834,452,948,"1,128",666,811,"1,136","1,791",828,770,805,103,"1,184"
2020년07월_남_40~49세,"18,011",373,"2,503",992,873,566,"1,312","1,181",753,"1,155","1,408","1,705",970,891,"1,198",162,"1,969"
2020년07월_남_50~59세,"18,993",677,"1,807",955,"1,077",800,"1,542","1,227",803,"1,279","1,674","1,787","1,074",981,"1,376",281,"1,653"
2020년07월_남_60~69세,"15,412",650,"1,340",810,906,896,"1,170",927,730,"1,080","1,254","1,235",904,783,"1,143",295,"1,289"
2020년07월_남_70~79세,"8,500",384,706,568,497,505,586,503,429,580,643,596,501,378,724,165,735
2020년07월_남_80~89세,"2,936",124,222,199,190,202,201,180,130,208,214,186,165,136,256,80,243
2020년07월_남_90~99세,273,12,16,16,24,19,22,23,10,14,13,19,19,3,25,12,26
2020년07월_남_100세 이상,29,6,1,4,1,0,4,3,0,1,0,0,3,1,2,1,2
2020년07월_여_총인구수,"111,089","2,226","13,178","6,311","6,555","4,529","8,343","7,692","5,067","6,838","9,388","10,116","6,325","5,432","7,257","1,209","10,623"
2020년07월_여_연령구간인구수,"111,089","2,226","13,178","6,311","6,555","4,529","8,343","7,692","5,067","6,838","9,388","10,116","6,325","5,432","7,257","1,209","10,623"
2020년07월_여_0~9세,"7,524",61,"1,395",465,412,162,475,701,188,410,502,565,442,280,450,39,977
2020년07월_여_10~19세,"9,815",75,"1,603",435,491,194,779,682,446,591,898,774,471,405,612,71,"1,288"
2020년07월_여_20~29세,"14,225",167,"1,288",705,752,358,"1,257",870,"1,200",912,"1,433","1,898",686,915,729,83,972
2020년07월_여_30~39세,"12,189",164,"1,672",801,740,325,790,"1,044",432,681,888,"1,335",748,588,705,59,"1,217"
2020년07월_여_40~49세,"16,262",196,"2,450",860,896,453,"1,236","1,169",530,916,"1,421","1,486",869,734,"1,030",128,"1,888"
2020년07월_여_50~59세,"18,092",378,"1,870","1,017","1,165",802,"1,465","1,211",775,"1,148","1,633","1,643","1,099",943,"1,250",199,"1,494"
2020년07월_여_60~69세,"16,382",510,"1,514","1,030","1,004",946,"1,241",978,750,"1,079","1,378","1,328",993,809,"1,206",253,"1,363"
2020년07월_여_70~79세,"10,472",417,901,644,669,769,698,644,486,708,807,734,651,486,815,179,864
2020년07월_여_80~89세,"5,223",218,405,288,378,455,348,330,227,338,371,298,300,226,395,173,473
2020년07월_여_90~99세,837,35,74,57,46,63,51,54,28,49,57,52,60,45,61,23,82
2020년07월_여_100세 이상,68,5,6,9,2,2,3,9,5,6,0,3,6,1,4,2,5
