,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2021년08월_계_총인구수,"205,700","29,381","12,341","10,017","10,519","16,159","20,915","7,219","16,273","16,429","16,728","14,263","35,456"
2021년08월_계_연령구간인구수,"205,700","29,381","12,341","10,017","10,519","16,159","20,915","7,219","16,273","16,429","16,728","14,263","35,456"
2021년08월_계_0~9세,"13,951","2,431","1,009",470,677,"1,192","1,963",206,659,733,"1,032","1,206","2,373"
2021년08월_계_10~19세,"16,188","3,534","1,576",677,965,"1,237","1,286",381,886,649,988,"1,128","2,881"
2021년08월_계_20~29세,"25,073","3,212","1,280","1,112","1,215","1,736","2,438",776,"2,297","3,386","1,797","1,519","4,305"
2021년08월_계_30~39세,"26,001","2,929","1,216","1,066","1,086","2,083","3,526",705,"1,952","3,091","2,230","1,822","4,295"
2021년08월_계_40~49세,"31,335","5,466","2,308","1,293","1,621","2,457","3,134",889,"2,170","2,285","2,249","2,218","5,245"
2021년08월_계_50~59세,"33,345","4,786","1,965","1,598","1,797","2,559","3,098","1,254","2,682","2,378","2,576","2,398","6,254"
2021년08월_계_60~69세,"33,265","3,711","1,673","1,854","1,812","2,837","2,952","1,576","3,170","2,190","3,068","2,332","6,090"
2021년08월_계_70~79세,"18,314","2,284",903,"1,245",910,"1,472","1,708","1,014","1,723","1,212","1,881","1,198","2,764"
2021년08월_계_80~89세,"7,335",918,374,622,377,534,701,379,653,475,822,389,"1,091"
2021년08월_계_90~99세,852,104,36,80,58,49,100,38,79,28,82,45,153
2021년08월_계_100세 이상,41,6,1,0,1,3,9,1,2,2,3,8,5
2021년08월_남_총인구수,"99,010","14,217","5,896","4,732","5,166","7,880","10,046","3,445","7,798","7,846","8,077","6,954","16,953"
2021년08월_남_연령구간인구수,"99,010","14,217","5,896","4,732","5,166","7,880","10,046","3,445","7,798","7,846","8,077","6,954","16,953"
2021년08월_남_0~9세,"7,022","1,258",466,250,351,613,989,110,315,359,512,614,"1,185"
2021년08월_남_10~19세,"8,328","1,859",758,359,522,667,632,188,443,352,516,571,"1,461"
2021년08월_남_20~29세,"12,745","1,708",667,536,660,928,"1,242",409,"1,085","1,422",985,812,"2,291"
2021년08월_남_30~39세,"13,067","1,374",590,540,585,"1,061","1,711",389,"1,020","1,565","1,151",898,"2,183"
2021년08월_남_40~49세,"15,359","2,536","1,084",650,767,"1,212","1,563",439,"1,102","1,192","1,195","1,119","2,500"
2021년08월_남_50~59세,"15,822","2,354",971,757,853,"1,179","1,467",591,"1,312","1,163","1,228","1,153","2,794"
2021년08월_남_60~69세,"15,251","1,695",794,827,851,"1,303","1,334",720,"1,432","1,034","1,358","1,080","2,823"
2021년08월_남_70~79세,"8,362","1,004",413,549,426,686,814,447,807,549,808,561,"1,298"
2021년08월_남_80~89세,"2,843",402,145,237,139,213,265,142,257,206,306,137,394
2021년08월_남_90~99세,199,25,7,27,11,17,26,10,24,4,18,7,23
2021년08월_남_100세 이상,12,2,1,0,1,1,3,0,1,0,0,2,1
2021년08월_여_총인구수,"106,690","15,164","6,445","5,285","5,353","8,279","10,869","3,774","8,475","8,583","8,651","7,309","18,503"
2021년08월_여_연령구간인구수,"106,690","15,164","6,445","5,285","5,353","8,279","10,869","3,774","8,475","8,583","8,651","7,309","18,503"
2021년08월_여_0~9세,"6,929","1,173",543,220,326,579,974,96,344,374,520,592,"1,188"
2021년08월_여_10~19세,"7,860","1,675",818,318,443,570,654,193,443,297,472,557,"1,420"
2021년08월_여_20~29세,"12,328","1,504",613,576,555,808,"1,196",367,"1,212","1,964",812,707,"2,014"
2021년08월_여_30~39세,"12,934","1,555",626,526,501,"1,022","1,815",316,932,"1,526","1,079",924,"2,112"
2021년08월_여_40~49세,"15,976","2,930","1,224",643,854,"1,245","1,571",450,"1,068","1,093","1,054","1,099","2,745"
2021년08월_여_50~59세,"17,523","2,432",994,841,944,"1,380","1,631",663,"1,370","1,215","1,348","1,245","3,460"
2021년08월_여_60~69세,"18,014","2,016",879,"1,027",961,"1,534","1,618",856,"1,738","1,156","1,710","1,252","3,267"
2021년08월_여_70~79세,"9,952","1,280",490,696,484,786,894,567,916,663,"1,073",637,"1,466"
2021년08월_여_80~89세,"4,492",516,229,385,238,321,436,237,396,269,516,252,697
2021년08월_여_90~99세,653,79,29,53,47,32,74,28,55,24,64,38,130
2021년08월_여_100세 이상,29,4,0,0,0,2,6,1,1,2,3,6,4
