,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2020년07월_계_총인구수,"22,295","14,280","3,321","2,028","1,337","1,329"
2020년07월_계_연령구간인구수,"22,295","14,280","3,321","2,028","1,337","1,329"
2020년07월_계_0~9세,"1,777","1,502",115,72,50,38
2020년07월_계_10~19세,"2,106","1,666",186,96,70,88
2020년07월_계_20~29세,"3,050","1,832",386,440,273,119
2020년07월_계_30~39세,"2,601","2,019",247,134,109,92
2020년07월_계_40~49세,"2,569","1,871",309,164,82,143
2020년07월_계_50~59세,"3,599","2,069",664,351,217,298
2020년07월_계_60~69세,"3,271","1,743",667,343,263,255
2020년07월_계_70~79세,"2,051",962,462,276,163,188
2020년07월_계_80~89세,"1,112",542,247,128,101,94
2020년07월_계_90~99세,146,64,35,24,9,14
2020년07월_계_100세 이상,13,10,3,0,0,0
2020년07월_남_총인구수,"11,775","7,313","1,794","1,163",790,715
2020년07월_남_연령구간인구수,"11,775","7,313","1,794","1,163",790,715
2020년07월_남_0~9세,901,754,61,36,25,25
2020년07월_남_10~19세,"1,061",824,100,46,41,50
2020년07월_남_20~29세,"2,024","1,099",282,339,230,74
2020년07월_남_30~39세,"1,438","1,081",148,89,69,51
2020년07월_남_40~49세,"1,400",992,183,91,49,85
2020년07월_남_50~59세,"1,916","1,060",372,192,127,165
2020년07월_남_60~69세,"1,730",901,355,192,142,140
2020년07월_남_70~79세,888,404,201,123,70,90
2020년07월_남_80~89세,374,175,83,48,35,33
2020년07월_남_90~99세,38,19,8,7,2,2
2020년07월_남_100세 이상,5,4,1,0,0,0
2020년07월_여_총인구수,"10,520","6,967","1,527",865,547,614
2020년07월_여_연령구간인구수,"10,520","6,967","1,527",865,547,614
2020년07월_여_0~9세,876,748,54,36,25,13
2020년07월_여_10~19세,"1,045",842,86,50,29,38
2020년07월_여_20~29세,"1,026",733,104,101,43,45
2020년07월_여_30~39세,"1,163",938,99,45,40,41
2020년07월_여_40~49세,"1,169",879,126,73,33,58
2020년07월_여_50~59세,"1,683","1,009",292,159,90,133
2020년07월_여_60~69세,"1,541",842,312,151,121,115
2020년07월_여_70~79세,"1,163",558,261,153,93,98
2020년07월_여_80~89세,738,367,164,80,66,61
2020년07월_여_90~99세,108,45,27,17,7,12
2020년07월_여_100세 이상,8,6,2,0,0,0
