,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020년06월_계_총인구수,"836,662","78,858","17,441","84,670","39,923","7,290","5,837","6,879","10,917","7,113","9,913","10,278","4,020","11,399","19,592","44,282","28,262","24,586","32,603","13,820","23,331","50,766","36,034","42,020","53,713","39,410","30,718","77,728","25,259"
2020년06월_계_연령구간인구수,"836,662","78,858","17,441","84,670","39,923","7,290","5,837","6,879","10,917","7,113","9,913","10,278","4,020","11,399","19,592","44,282","28,262","24,586","32,603","13,820","23,331","50,766","36,034","42,020","53,713","39,410","30,718","77,728","25,259"
2020년06월_계_0~9세,"105,780","8,329",996,"10,872","4,073",316,246,268,479,190,309,415,112,464,"3,611","4,666","2,779","2,686","4,538","1,439","1,889","6,566","4,590","6,104","9,792","6,244","4,545","14,710","4,552"
2020년06월_계_10~19세,"94,699","9,752","1,474","9,852","3,399",499,332,407,804,313,474,622,169,815,"1,865","4,020","3,155","4,009","3,993","1,867","2,303","6,891","6,510","5,332","8,588","3,975","2,839","8,294","2,146"
2020년06월_계_20~29세,"100,725","9,636","1,803","10,088","5,409",855,596,747,984,569,"1,012",982,395,"1,339","2,299","7,119","4,716","2,910","4,165","1,679","3,126","7,467","3,724","5,992","4,237","4,232","4,453","7,374","2,817"
2020년06월_계_30~39세,"150,859","11,118","1,672","16,026","6,897",673,510,739,890,542,"1,022",895,374,"1,162","4,502","9,349","4,582","3,279","6,034","1,648","3,078","9,788","4,494","8,522","9,971","9,699","7,798","18,621","6,974"
2020년06월_계_40~49세,"159,803","15,407","2,811","16,786","6,510","1,013",689,989,"1,446",830,"1,479","1,340",493,"1,696","3,592","7,800","5,131","5,473","5,990","2,765","4,000","10,373","8,770","8,453","13,057","7,664","5,557","15,338","4,351"
2020년06월_계_50~59세,"111,768","11,970","3,469","10,595","6,324","1,548","1,253","1,429","2,195","1,618","2,353","2,224",940,"2,414","2,388","5,818","3,955","3,175","4,507","2,207","4,150","6,114","4,608","4,031","5,098","3,918","3,168","7,883","2,416"
2020년06월_계_60~69세,"65,757","7,440","2,664","6,006","4,223","1,254","1,099","1,202","1,993","1,601","1,836","1,987",811,"1,863",980,"3,319","2,288","1,647","2,279","1,295","2,867","2,233","1,903","1,998","1,933","2,310","1,525","3,814","1,387"
2020년06월_계_70~79세,"31,268","3,597","1,607","2,897","2,010",728,658,704,"1,262",839,844,"1,103",433,"1,013",231,"1,500","1,175",947,743,650,"1,299",936,"1,035","1,152",727,984,572,"1,200",422
2020년06월_계_80~89세,"13,948","1,378",831,"1,376",938,355,385,342,728,527,505,639,263,550,107,609,426,410,298,238,549,352,352,383,260,335,220,425,167
2020년06월_계_90~99세,"1,950",219,109,163,136,46,66,48,127,75,74,64,29,75,17,80,54,50,54,31,62,44,45,52,50,47,40,66,27
2020년06월_계_100세 이상,105,12,5,9,4,3,3,4,9,9,5,7,1,8,0,2,1,0,2,1,8,2,3,1,0,2,1,3,0
2020년06월_남_총인구수,"433,894","39,999","9,492","45,216","21,763","3,835","3,297","4,101","5,863","3,941","6,020","5,884","2,445","6,594","9,889","23,751","14,418","11,984","16,501","7,095","12,297","26,014","17,754","21,549","26,747","19,716","15,906","39,032","12,791"
2020년06월_남_연령구간인구수,"433,894","39,999","9,492","45,216","21,763","3,835","3,297","4,101","5,863","3,941","6,020","5,884","2,445","6,594","9,889","23,751","14,418","11,984","16,501","7,095","12,297","26,014","17,754","21,549","26,747","19,716","15,906","39,032","12,791"
2020년06월_남_0~9세,"54,183","4,148",518,"5,663","2,099",162,136,151,250,97,170,235,63,245,"1,794","2,399","1,447","1,351","2,286",760,987,"3,330","2,343","3,115","5,017","3,223","2,336","7,543","2,315"
2020년06월_남_10~19세,"48,369","4,869",756,"5,028","1,773",265,175,220,440,167,254,341,89,424,955,"2,043","1,616","2,012","2,062",970,"1,213","3,540","3,301","2,778","4,303","2,015","1,490","4,200","1,070"
2020년06월_남_20~29세,"54,306","5,119","1,107","5,575","3,181",480,362,482,572,368,677,598,267,839,"1,180","4,028","2,550","1,475","2,217",919,"1,797","3,972","1,878","3,267","2,100","2,029","2,199","3,668","1,400"
2020년06월_남_30~39세,"78,331","5,591",994,"8,954","4,054",377,321,513,526,326,698,579,251,765,"2,251","5,316","2,422","1,572","2,988",832,"1,681","4,883","2,034","4,419","4,366","4,840","4,133","9,056","3,589"
2020년06월_남_40~49세,"85,399","8,025","1,683","9,326","3,693",571,434,667,837,513,"1,015",871,355,"1,090","1,863","4,355","2,606","2,694","3,104","1,412","2,208","5,210","4,284","4,338","6,812","4,017","2,984","8,116","2,316"
2020년06월_남_50~59세,"59,947","6,328","1,991","5,843","3,391",866,732,880,"1,274",946,"1,519","1,361",608,"1,472","1,177","3,042","1,997","1,641","2,194","1,159","2,163","3,379","2,441","2,109","2,783","1,969","1,649","3,871","1,162"
2020년06월_남_60~69세,"33,424","3,733","1,358","3,029","2,237",649,645,677,"1,054",874,"1,068","1,112",490,"1,048",532,"1,647","1,107",716,"1,177",650,"1,443","1,121",888,862,953,"1,062",763,"1,858",671
2020년06월_남_70~79세,"14,575","1,675",768,"1,294",973,324,319,371,592,414,423,520,220,497,108,671,512,378,367,309,607,438,440,497,329,448,276,597,208
2020년06월_남_80~89세,"4,916",464,287,465,338,126,157,130,285,217,177,244,93,198,27,227,153,138,91,79,187,131,136,148,77,105,68,111,57
2020년06월_남_90~99세,411,43,27,34,24,13,14,10,33,16,19,18,9,14,2,22,8,7,14,5,9,10,8,16,7,8,7,11,3
2020년06월_남_100세 이상,33,4,3,5,0,2,2,0,0,3,0,5,0,2,0,1,0,0,1,0,2,0,1,0,0,0,1,1,0
2020년06월_여_총인구수,"402,768","38,859","7,949","39,454","18,160","3,455","2,540","2,778","5,054","3,172","3,893","4,394","1,575","4,805","9,703","20,531","13,844","12,602","16,102","6,725","11,034","24,752","18,280","20,471","26,966","19,694","14,812","38,696","12,468"
2020년06월_여_연령구간인구수,"402,768","38,859","7,949","39,454","18,160","3,455","2,540","2,778","5,054","3,172","3,893","4,394","1,575","4,805","9,703","20,531","13,844","12,602","16,102","6,725","11,034","24,752","18,280","20,471","26,966","19,694","14,812","38,696","12,468"
2020년06월_여_0~9세,"51,597","4,181",478,"5,209","1,974",154,110,117,229,93,139,180,49,219,"1,817","2,267","1,332","1,335","2,252",679,902,"3,236","2,247","2,989","4,775","3,021","2,209","7,167","2,237"
