,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년12월_계_총인구수,"282,189","2,750","4,615","18,239","32,660","12,103","2,941","1,797","3,182","1,519",900,"3,264","5,544","2,845","3,756","6,595","25,360","6,316","44,355","7,741","8,866","2,878","2,383","3,099","18,473","40,390","19,618"
2020년12월_계_연령구간인구수,"282,189","2,750","4,615","18,239","32,660","12,103","2,941","1,797","3,182","1,519",900,"3,264","5,544","2,845","3,756","6,595","25,360","6,316","44,355","7,741","8,866","2,878","2,383","3,099","18,473","40,390","19,618"
2020년12월_계_0~9세,"23,528",50,121,"1,495","5,928",791,56,33,58,16,26,73,136,51,143,404,"1,923",338,"3,413",378,365,120,53,96,"2,114","3,515","1,832"
2020년12월_계_10~19세,"30,268",129,212,"2,556","4,941","1,007",97,64,135,39,40,154,300,164,263,560,"2,712",542,"5,354",605,682,192,110,200,"1,737","4,859","2,614"
2020년12월_계_20~29세,"37,553",189,423,"3,153","3,223","1,343",156,124,192,81,55,232,423,275,375,"1,084","3,949",778,"6,610",922,"1,113",348,276,375,"2,207","6,372","3,275"
2020년12월_계_30~39세,"33,117",120,259,"2,176","6,640","1,137",124,96,152,66,31,142,269,158,307,796,"2,868",630,"4,992",767,774,251,210,274,"2,580","4,941","2,357"
2020년12월_계_40~49세,"43,454",227,473,"3,344","6,782","1,682",215,135,227,119,59,252,539,277,433,826,"3,722",881,"7,061",972,"1,080",315,292,418,"2,855","6,829","3,439"
2020년12월_계_50~59세,"49,124",554,900,"3,508","3,325","2,216",477,315,534,285,148,543,970,558,572,995,"4,495","1,159","8,615","1,322","1,719",463,462,536,"3,052","7,585","3,816"
2020년12월_계_60~69세,"34,337",565,917,"1,225","1,249","1,963",640,422,690,310,195,751,"1,118",577,777,895,"3,409","1,080","5,334","1,379","1,581",532,513,574,"2,131","3,941","1,569"
2020년12월_계_70~79세,"19,029",470,718,476,385,"1,189",645,339,645,321,179,644,923,452,577,675,"1,498",600,"2,024",965,"1,075",431,304,417,"1,111","1,497",469
2020년12월_계_80~89세,"10,119",383,511,277,157,668,452,227,479,244,131,411,761,279,260,319,672,257,815,372,420,190,135,179,581,725,214
2020년12월_계_90~99세,"1,591",63,80,26,29,105,78,41,70,32,35,59,100,49,45,40,105,48,127,58,55,36,26,25,102,124,33
2020년12월_계_100세 이상,69,0,1,3,1,2,1,1,0,6,1,3,5,5,4,1,7,3,10,1,2,0,2,5,3,2,0
2020년12월_남_총인구수,"140,772","1,363","2,379","9,022","16,613","6,053","1,479",855,"1,611",783,435,"1,579","2,770","1,450","1,848","3,291","12,429","3,206","22,115","3,858","4,491","1,398","1,245","1,583","9,290","19,948","9,678"
2020년12월_남_연령구간인구수,"140,772","1,363","2,379","9,022","16,613","6,053","1,479",855,"1,611",783,435,"1,579","2,770","1,450","1,848","3,291","12,429","3,206","22,115","3,858","4,491","1,398","1,245","1,583","9,290","19,948","9,678"
2020년12월_남_0~9세,"12,067",32,57,750,"3,048",418,28,16,34,11,16,37,68,33,68,208,991,182,"1,681",203,195,64,28,49,"1,121","1,802",927
2020년12월_남_10~19세,"15,796",64,115,"1,366","2,626",526,50,23,77,23,20,82,153,92,144,309,"1,370",286,"2,796",323,365,92,65,108,900,"2,511","1,310"
2020년12월_남_20~29세,"20,374",116,245,"1,695","1,679",708,92,58,115,45,32,124,249,168,215,573,"2,126",436,"3,665",506,631,185,144,226,"1,206","3,348","1,787"
2020년12월_남_30~39세,"17,004",62,164,"1,084","3,254",608,81,56,108,49,19,77,153,98,170,436,"1,454",347,"2,587",414,416,136,128,157,"1,301","2,493","1,152"
2020년12월_남_40~49세,"21,385",139,301,"1,485","3,352",878,148,89,161,83,33,155,334,148,234,426,"1,806",440,"3,337",540,600,167,179,220,"1,456","3,163","1,511"
2020년12월_남_50~59세,"24,789",328,532,"1,748","1,796","1,169",292,175,313,176,94,290,549,310,294,496,"2,066",611,"4,120",628,877,223,249,283,"1,531","3,729","1,910"
2020년12월_남_60~69세,"17,250",305,469,629,657,"1,006",332,231,342,189,106,383,598,306,361,413,"1,667",512,"2,677",650,733,249,244,280,"1,059","2,032",820
2020년12월_남_70~79세,"8,490",190,316,186,162,531,296,136,288,127,79,286,409,197,273,304,702,280,944,419,496,183,139,188,519,645,195
2020년12월_남_80~89세,"3,296",111,169,75,38,189,139,63,158,71,31,135,238,88,78,117,227,101,279,163,168,91,62,62,181,200,62
2020년12월_남_90~99세,313,16,11,4,1,20,21,8,15,6,4,9,18,10,11,9,19,11,28,12,10,8,7,10,16,25,4
2020년12월_남_100세 이상,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020년12월_여_총인구수,"141,417","1,387","2,236","9,217","16,047","6,050","1,462",942,"1,571",736,465,"1,685","2,774","1,395","1,908","3,304","12,931","3,110","22,240","3,883","4,375","1,480","1,138","1,516","9,183","20,442","9,940"
2020년12월_여_연령구간인구수,"141,417","1,387","2,236","9,217","16,047","6,050","1,462",942,"1,571",736,465,"1,685","2,774","1,395","1,908","3,304","12,931","3,110","22,240","3,883","4,375","1,480","1,138","1,516","9,183","20,442","9,940"
2020년12월_여_0~9세,"11,461",18,64,745,"2,880",373,28,17,24,5,10,36,68,18,75,196,932,156,"1,732",175,170,56,25,47,993,"1,713",905
2020년12월_여_10~19세,"14,472",65,97,"1,190","2,315",481,47,41,58,16,20,72,147,72,119,251,"1,342",256,"2,558",282,317,100,45,92,837,"2,348","1,304"
2020년12월_여_20~29세,"17,179",73,178,"1,458","1,544",635,64,66,77,36,23,108,174,107,160,511,"1,823",342,"2,945",416,482,163,132,149,"1,001","3,024","1,488"
2020년12월_여_30~39세,"16,113",58,95,"1,092","3,386",529,43,40,44,17,12,65,116,60,137,360,"1,414",283,"2,405",353,358,115,82,117,"1,279","2,448","1,205"
2020년12월_여_40~49세,"22,069",88,172,"1,859","3,430",804,67,46,66,36,26,97,205,129,199,400,"1,916",441,"3,724",432,480,148,113,198,"1,399","3,666","1,928"
2020년12월_여_50~59세,"24,335",226,368,"1,760","1,529","1,047",185,140,221,109,54,253,421,248,278,499,"2,429",548,"4,495",694,842,240,213,253,"1,521","3,856","1,906"
2020년12월_여_60~69세,"17,087",260,448,596,592,957,308,191,348,121,89,368,520,271,416,482,"1,742",568,"2,657",729,848,283,269,294,"1,072","1,909",749
2020년12월_여_70~79세,"10,539",280,402,290,223,658,349,203,357,194,100,358,514,255,304,371,796,320,"1,080",546,579,248,165,229,592,852,274
2020년12월_여_80~89세,"6,823",272,342,202,119,479,313,164,321,173,100,276,523,191,182,202,445,156,536,209,252,99,73,117,400,525,152
2020년12월_여_90~99세,"1,278",47,69,22,28,85,57,33,55,26,31,50,82,39,34,31,86,37,99,46,45,28,19,15,86,99,29
2020년12월_여_100세 이상,61,0,1,3,1,2,1,1,0,3,0,2,4,5,4,1,6,3,9,1,2,0,2,5,3,2,0
