,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020년06월_계_총인구수,"24,717","8,450","2,737","2,902","4,242","6,386"
2020년06월_계_연령구간인구수,"24,717","8,450","2,737","2,902","4,242","6,386"
2020년06월_계_0~9세,"1,856",744,59,134,320,599
2020년06월_계_10~19세,"1,818",757,156,278,169,458
2020년06월_계_20~29세,"3,828","1,211",280,283,"1,062",992
2020년06월_계_30~39세,"2,847","1,031",143,255,540,878
2020년06월_계_40~49세,"2,773","1,171",217,379,334,672
2020년06월_계_50~59세,"3,979","1,339",602,545,531,962
2020년06월_계_60~69세,"3,633","1,021",591,484,596,941
2020년06월_계_70~79세,"2,461",748,419,327,412,555
2020년06월_계_80~89세,"1,305",374,228,188,237,278
2020년06월_계_90~99세,202,51,41,24,39,47
2020년06월_계_100세 이상,15,3,1,5,2,4
2020년06월_남_총인구수,"13,372","4,404","1,474","1,514","2,556","3,424"
2020년06월_남_연령구간인구수,"13,372","4,404","1,474","1,514","2,556","3,424"
2020년06월_남_0~9세,927,374,31,74,148,300
2020년06월_남_10~19세,926,393,79,143,94,217
2020년06월_남_20~29세,"2,650",740,214,155,855,686
2020년06월_남_30~39세,"1,657",577,81,127,369,503
2020년06월_남_40~49세,"1,510",610,106,220,200,374
2020년06월_남_50~59세,"2,152",724,341,308,286,493
2020년06월_남_60~69세,"1,945",538,334,261,330,482
2020년06월_남_70~79세,"1,079",304,192,157,175,251
2020년06월_남_80~89세,467,131,86,60,89,101
2020년06월_남_90~99세,52,12,9,7,9,15
2020년06월_남_100세 이상,7,1,1,2,1,2
2020년06월_여_총인구수,"11,345","4,046","1,263","1,388","1,686","2,962"
2020년06월_여_연령구간인구수,"11,345","4,046","1,263","1,388","1,686","2,962"
2020년06월_여_0~9세,929,370,28,60,172,299
2020년06월_여_10~19세,892,364,77,135,75,241
2020년06월_여_20~29세,"1,178",471,66,128,207,306
2020년06월_여_30~39세,"1,190",454,62,128,171,375
2020년06월_여_40~49세,"1,263",561,111,159,134,298
2020년06월_여_50~59세,"1,827",615,261,237,245,469
2020년06월_여_60~69세,"1,688",483,257,223,266,459
2020년06월_여_70~79세,"1,382",444,227,170,237,304
2020년06월_여_80~89세,838,243,142,128,148,177
2020년06월_여_90~99세,150,39,32,17,30,32
2020년06월_여_100세 이상,8,2,0,3,1,2
