카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년03월_계_총인구수,"1,812,936","655,519","339,291","316,228","268,766","285,431","109,951","81,257","83,570","92,135","25,621","24,178","22,277","28,073","28,155","55,190","52,813"
2020년03월_계_연령구간인구수,"1,812,936","655,519","339,291","316,228","268,766","285,431","109,951","81,257","83,570","92,135","25,621","24,178","22,277","28,073","28,155","55,190","52,813"
2020년03월_계_0~9세,"134,584","55,721","25,471","30,250","22,010","20,424","6,755","5,249","4,587","7,441","1,361","1,271","1,208","1,424","1,619","2,826","2,688"
2020년03월_계_10~19세,"179,656","73,458","37,480","35,978","27,417","28,887","10,030","7,545","6,418","8,429","1,694","1,813","1,681","1,814","2,280","4,340","3,850"
2020년03월_계_20~29세,"212,222","92,176","49,050","43,126","29,611","36,651","10,825","7,641","7,380","8,988","2,015","1,880","1,715","2,297","2,154","4,459","4,430"
2020년03월_계_30~39세,"194,883","82,511","40,201","42,310","31,913","29,899","9,302","6,699","6,976","9,967","1,777","1,770","1,669","2,127","2,127","4,067","4,079"
2020년03월_계_40~49세,"273,525","108,230","54,570","53,660","44,204","43,006","15,335","11,055","10,335","13,658","2,864","2,942","2,653","3,023","3,416","6,474","6,330"
2020년03월_계_50~59세,"302,523","105,664","56,997","48,667","44,109","49,791","18,804","13,896","14,170","15,472","4,665","4,255","3,785","4,856","4,652","9,273","9,131"
2020년03월_계_60~69세,"246,072","73,555","40,599","32,956","36,059","38,833","16,338","12,523","14,218","13,239","4,672","4,236","4,085","4,862","4,623","9,398","9,431"
2020년03월_계_70~79세,"165,942","42,376","22,906","19,470","22,020","23,673","13,275","9,691","11,119","8,972","3,782","3,398","3,117","4,303","4,200","8,384","7,632"
2020년03월_계_80~89세,"89,805","19,041","10,426","8,615","9,856","12,323","8,063","6,008","7,194","5,186","2,400","2,268","2,064","2,919","2,690","5,168","4,625"
2020년03월_계_90~99세,"12,902","2,624","1,507","1,117","1,454","1,838","1,119",908,"1,109",745,365,328,278,425,365,765,579
2020년03월_계_100세 이상,822,163,84,79,113,106,105,42,64,38,26,17,22,23,29,36,38
2020년03월_남_총인구수,"901,252","322,755","165,361","157,394","135,745","142,205","54,501","39,814","41,441","47,328","12,931","12,017","11,096","14,293","13,671","27,238","26,217"
2020년03월_남_연령구간인구수,"901,252","322,755","165,361","157,394","135,745","142,205","54,501","39,814","41,441","47,328","12,931","12,017","11,096","14,293","13,671","27,238","26,217"
2020년03월_남_0~9세,"68,995","28,517","13,138","15,379","11,204","10,397","3,474","2,785","2,377","3,763",687,677,626,750,840,"1,494","1,404"
2020년03월_남_10~19세,"93,186","37,982","19,444","18,538","14,228","14,858","5,326","3,892","3,299","4,431",891,919,847,966,"1,162","2,344","2,041"
2020년03월_남_20~29세,"114,357","48,494","25,525","22,969","16,119","19,900","5,931","4,238","4,084","4,989","1,141","1,045",967,"1,327","1,174","2,504","2,444"
2020년03월_남_30~39세,"100,439","41,642","20,380","21,262","16,677","15,656","4,926","3,390","3,730","5,120",865,960,870,"1,160","1,038","2,184","2,221"
2020년03월_남_40~49세,"141,379","52,995","26,081","26,914","23,175","22,004","8,101","5,726","5,855","7,610","1,675","1,655","1,526","1,843","1,942","3,708","3,564"
2020년03월_남_50~59세,"156,052","51,779","27,392","24,387","23,034","25,226","10,053","7,336","7,670","8,603","2,636","2,344","2,128","2,742","2,535","5,037","4,929"
2020년03월_남_60~69세,"121,274","35,073","19,204","15,869","17,817","19,257","8,097","6,253","7,094","6,823","2,449","2,142","2,048","2,557","2,331","4,625","4,708"
2020년03월_남_70~79세,"72,676","18,843","10,190","8,653","9,834","10,460","5,708","4,040","4,817","4,094","1,716","1,415","1,337","1,872","1,684","3,557","3,299"
2020년03월_남_80~89세,"29,843","6,802","3,663","3,139","3,330","3,993","2,613","1,933","2,249","1,731",766,782,680,974,865,"1,646","1,479"
2020년03월_남_90~99세,"2,884",599,328,271,293,431,252,211,255,157,96,73,63,95,99,137,123
2020년03월_남_100세 이상,167,29,16,13,34,23,20,10,11,7,9,5,4,7,1,2,5
2020년03월_여_총인구수,"911,684","332,764","173,930","158,834","133,021","143,226","55,450","41,443","42,129","44,807","12,690","12,161","11,181","13,780","14,484","27,952","26,596"
2020년03월_여_연령구간인구수,"911,684","332,764","173,930","158,834","133,021","143,226","55,450","41,443","42,129","44,807","12,690","12,161","11,181","13,780","14,484","27,952","26,596"
2020년03월_여_0~9세,"65,589","27,204","12,333","14,871","10,806","10,027","3,281","2,464","2,210","3,678",674,594,582,674,779,"1,332","1,284"
2020년03월_여_10~19세,"86,470","35,476","18,036","17,440","13,189","14,029","4,704","3,653","3,119","3,998",803,894,834,848,"1,118","1,996","1,809"
2020년03월_여_20~29세,"97,865","43,682","23,525","20,157","13,492","16,751","4,894","3,403","3,296","3,999",874,835,748,970,980,"1,955","1,986"
