,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2021년09월_계_총인구수,"53,020","8,067","15,013","6,423","1,832","2,034","3,659","3,463","2,250","3,168","1,889","2,999","2,223"
2021년09월_계_연령구간인구수,"53,020","8,067","15,013","6,423","1,832","2,034","3,659","3,463","2,250","3,168","1,889","2,999","2,223"
2021년09월_계_0~9세,"3,246",541,"1,454",508,65,45,89,107,66,99,64,140,68
2021년09월_계_10~19세,"4,316",768,"1,805",652,90,61,187,116,101,169,82,188,97
2021년09월_계_20~29세,"4,904",839,"1,607",912,100,112,244,211,179,215,107,248,130
2021년09월_계_30~39세,"4,471",665,"1,777",759,111,85,204,185,127,166,99,154,139
2021년09월_계_40~49세,"7,250","1,023","2,893","1,244",167,173,360,306,189,279,140,275,201
2021년09월_계_50~59세,"9,432","1,396","2,577","1,428",315,381,639,574,414,532,297,505,374
2021년09월_계_60~69세,"8,455","1,296","1,620",546,344,456,819,802,461,620,395,605,491
2021년09월_계_70~79세,"6,166",908,850,238,302,379,646,633,384,597,366,474,389
2021년09월_계_80~89세,"4,184",525,393,112,295,293,426,459,304,430,296,353,298
2021년09월_계_90~99세,578,104,36,24,39,48,45,68,23,59,41,56,35
2021년09월_계_100세 이상,18,2,1,0,4,1,0,2,2,2,2,1,1
2021년09월_남_총인구수,"27,484","3,989","8,034","3,758",913,"1,031","1,839","1,749","1,153","1,537",912,"1,455","1,114"
2021년09월_남_연령구간인구수,"27,484","3,989","8,034","3,758",913,"1,031","1,839","1,749","1,153","1,537",912,"1,455","1,114"
2021년09월_남_0~9세,"1,648",283,700,259,39,19,42,63,46,60,28,76,33
2021년09월_남_10~19세,"2,278",408,945,345,46,39,100,65,64,93,47,80,46
2021년09월_남_20~29세,"2,904",466,896,573,62,74,171,141,108,131,63,141,78
2021년09월_남_30~39세,"2,419",332,888,454,74,45,122,111,82,92,55,79,85
2021년09월_남_40~49세,"4,346",539,"1,737",782,103,101,211,202,119,164,88,162,138
2021년09월_남_50~59세,"5,400",720,"1,493",883,198,228,341,350,230,304,173,274,206
2021년09월_남_60~69세,"4,420",658,867,325,165,268,425,401,246,311,206,303,245
2021년09월_남_70~79세,"2,654",394,380,103,128,166,277,279,164,243,147,204,169
2021년09월_남_80~89세,"1,300",164,123,30,88,81,141,127,89,128,100,122,107
2021년09월_남_90~99세,113,25,5,4,9,10,9,10,5,10,5,14,7
2021년09월_남_100세 이상,2,0,0,0,1,0,0,0,0,1,0,0,0
2021년09월_여_총인구수,"25,536","4,078","6,979","2,665",919,"1,003","1,820","1,714","1,097","1,631",977,"1,544","1,109"
2021년09월_여_연령구간인구수,"25,536","4,078","6,979","2,665",919,"1,003","1,820","1,714","1,097","1,631",977,"1,544","1,109"
2021년09월_여_0~9세,"1,598",258,754,249,26,26,47,44,20,39,36,64,35
2021년09월_여_10~19세,"2,038",360,860,307,44,22,87,51,37,76,35,108,51
2021년09월_여_20~29세,"2,000",373,711,339,38,38,73,70,71,84,44,107,52
2021년09월_여_30~39세,"2,052",333,889,305,37,40,82,74,45,74,44,75,54
2021년09월_여_40~49세,"2,904",484,"1,156",462,64,72,149,104,70,115,52,113,63
2021년09월_여_50~59세,"4,032",676,"1,084",545,117,153,298,224,184,228,124,231,168
2021년09월_여_60~69세,"4,035",638,753,221,179,188,394,401,215,309,189,302,246
2021년09월_여_70~79세,"3,512",514,470,135,174,213,369,354,220,354,219,270,220
2021년09월_여_80~89세,"2,884",361,270,82,207,212,285,332,215,302,196,231,191
2021년09월_여_90~99세,465,79,31,20,30,38,36,58,18,49,36,42,28
2021년09월_여_100세 이상,16,2,1,0,3,1,0,2,2,1,2,1,1
