,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년10월_계_총인구수,"533,878","16,057","22,315","21,157","26,368","25,852","12,971","30,077","24,304","36,420","20,004","35,628","36,150","21,534","33,240","6,375","27,412","23,701","43,369","23,351","15,149","17,587","14,857"
2021년10월_계_연령구간인구수,"533,878","16,057","22,315","21,157","26,368","25,852","12,971","30,077","24,304","36,420","20,004","35,628","36,150","21,534","33,240","6,375","27,412","23,701","43,369","23,351","15,149","17,587","14,857"
2021년10월_계_0~9세,"34,921",917,661,"1,035","2,018","1,999",817,"2,245","1,751","1,979",676,958,"2,670","1,670","2,719",343,"2,306","1,658","3,964","2,011",688,"1,229",607
2021년10월_계_10~19세,"59,323","1,595",861,"1,299","2,735","2,189","1,230","3,571","5,439","6,092","2,519","1,484","5,529","2,356","4,765",579,"3,411","2,278","4,699","3,332","1,117","1,694",549
2021년10월_계_20~29세,"71,334","2,115","4,443","3,405","2,983","3,606","1,757","3,839","2,394","4,508","3,370","7,438","4,400","2,817","3,821",693,"3,474","3,233","5,203","2,489","2,094","1,807","1,445"
2021년10월_계_30~39세,"78,117","2,193","5,547","4,280","3,065","4,062","1,848","4,745","1,389","3,178","3,260","10,055","4,836","3,027","3,282",636,"3,209","3,631","6,276","2,744","2,194","2,515","2,145"
2021년10월_계_40~49세,"97,979","2,791","3,801","3,802","4,587","4,626","2,118","6,274","5,767","6,900","3,941","6,090","8,490","3,819","6,363",896,"4,786","3,947","7,849","4,393","2,058","3,027","1,654"
2021년10월_계_50~59세,"81,615","2,502","2,825","2,965","4,171","3,936","2,150","4,475","4,005","6,467","3,231","4,195","5,170","3,440","5,549","1,023","4,735","3,971","6,001","3,731","2,355","2,571","2,147"
2021년10월_계_60~69세,"61,343","1,827","2,246","2,264","3,210","3,015","1,698","2,555","2,010","4,420","1,581","3,089","2,639","2,595","3,647","1,189","3,435","3,137","5,164","2,992","2,596","2,621","3,413"
2021년10월_계_70~79세,"34,449","1,384","1,331","1,499","2,388","1,695",953,"1,703","1,106","2,186","1,052","1,630","1,755","1,237","2,148",715,"1,524","1,355","2,677","1,137","1,398","1,579","1,997"
2021년10월_계_80~89세,"12,463",629,514,524,"1,042",614,340,572,365,590,327,594,576,480,799,244,437,412,"1,264",403,538,464,735
2021년10월_계_90~99세,"2,210",100,80,81,159,105,57,89,73,98,46,85,79,89,143,49,89,74,264,114,104,73,159
2021년10월_계_100세 이상,124,4,6,3,10,5,3,9,5,2,1,10,6,4,4,8,6,5,8,5,7,7,6
2021년10월_남_총인구수,"255,473","7,459","10,503","9,886","12,188","12,059","6,382","14,396","12,229","18,473","9,440","17,314","16,950","10,202","15,423","3,098","13,306","11,488","20,482","11,523","7,428","8,502","6,742"
