카테고리,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020년10월_계_총인구수,"524,515","22,587","27,645","30,688","37,843","39,859","27,663","22,828","25,130","27,559","20,757","35,761","39,259","20,673","27,146","24,785","33,672","23,085","21,300","16,275"
2020년10월_계_연령구간인구수,"524,515","22,587","27,645","30,688","37,843","39,859","27,663","22,828","25,130","27,559","20,757","35,761","39,259","20,673","27,146","24,785","33,672","23,085","21,300","16,275"
2020년10월_계_0~9세,"33,609","1,242","1,807","2,262","2,188","2,942","1,209","1,539","1,596","1,985","1,192","2,145","2,403","1,025","1,430","1,140","2,550","2,525","1,430",999
2020년10월_계_10~19세,"53,693","1,721","2,218","2,155","2,710","4,476","3,235","2,886","4,537","5,809","2,357","3,262","3,385","1,898","2,148","2,083","3,097","2,103","2,208","1,405"
2020년10월_계_20~29세,"73,458","3,860","3,288","3,653","6,817","6,687","4,749","3,131","3,290","2,989","2,591","4,392","5,391","3,330","3,262","3,496","4,675","2,706","2,741","2,410"
2020년10월_계_30~39세,"65,099","2,785","3,293","4,662","5,467","5,229","2,782","2,589","1,937","1,992","2,003","4,372","4,960","2,352","2,986","2,660","4,939","4,760","2,843","2,488"
2020년10월_계_40~49세,"86,820","3,430","4,361","4,710","5,455","6,680","4,280","4,113","5,161","6,705","3,573","5,984","5,773","3,156","4,016","3,759","5,607","3,951","3,550","2,556"
2020년10월_계_50~59세,"87,969","3,596","4,638","4,825","5,840","6,101","5,002","3,955","4,591","4,484","3,610","5,694","7,049","3,956","4,851","4,574","5,649","3,029","3,641","2,884"
2020년10월_계_60~69세,"67,334","3,111","4,356","4,561","5,417","4,407","3,518","2,473","2,259","2,035","2,644","4,829","5,893","2,849","4,310","3,634","3,979","2,232","2,744","2,083"
2020년10월_계_70~79세,"37,456","1,985","2,509","2,602","2,742","2,240","1,816","1,364","1,110",984,"1,895","3,335","2,922","1,429","2,764","2,320","1,989","1,168","1,382",900
