,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2021년11월_계_총인구수,"46,184","15,158","2,760","3,100","1,206","3,615","1,893","2,659","2,580","1,814","2,405","4,639","4,355"
2021년11월_계_연령구간인구수,"46,184","15,158","2,760","3,100","1,206","3,615","1,893","2,659","2,580","1,814","2,405","4,639","4,355"
2021년11월_계_0~9세,"2,196","1,114",126,93,25,122,47,56,78,61,85,206,183
2021년11월_계_10~19세,"2,975","1,259",106,157,47,241,102,97,111,74,125,313,343
2021년11월_계_20~29세,"4,534","1,717",212,260,82,286,168,491,195,143,168,431,381
2021년11월_계_30~39세,"3,559","1,585",190,209,66,235,108,136,166,107,164,303,290
2021년11월_계_40~49세,"5,104","2,033",292,289,100,324,171,200,246,178,227,547,497
2021년11월_계_50~59세,"8,199","2,450",507,588,244,682,385,424,448,318,447,888,818
2021년11월_계_60~69세,"8,746","2,324",593,707,288,752,415,513,534,405,521,913,781
2021년11월_계_70~79세,"6,192","1,594",427,486,183,544,280,395,425,321,399,566,572
2021년11월_계_80~89세,"4,044",923,262,271,146,387,187,300,318,179,239,405,427
2021년11월_계_90~99세,608,151,45,38,23,41,28,45,54,26,28,66,63
2021년11월_계_100세 이상,27,8,0,2,2,1,2,2,5,2,2,1,0
2021년11월_남_총인구수,"23,432","7,654","1,411","1,569",606,"1,831",984,"1,468","1,311",909,"1,212","2,326","2,151"
2021년11월_남_연령구간인구수,"23,432","7,654","1,411","1,569",606,"1,831",984,"1,468","1,311",909,"1,212","2,326","2,151"
2021년11월_남_0~9세,"1,074",532,61,41,8,68,23,26,36,37,38,112,92
2021년11월_남_10~19세,"1,534",672,58,79,22,109,64,49,56,33,61,175,156
2021년11월_남_20~29세,"2,692",990,113,149,44,171,93,407,108,77,92,231,217
2021년11월_남_30~39세,"1,827",796,105,113,30,121,56,78,97,48,78,162,143
2021년11월_남_40~49세,"2,908","1,100",189,166,59,202,97,114,160,113,131,296,281
2021년11월_남_50~59세,"4,560","1,310",292,321,141,372,217,243,269,174,261,484,476
2021년11월_남_60~69세,"4,567","1,183",304,378,164,405,240,263,262,203,270,483,412
2021년11월_남_70~79세,"2,802",712,177,228,82,239,129,180,203,152,201,254,245
2021년11월_남_80~89세,"1,323",325,103,83,50,133,60,96,107,62,76,110,118
2021년11월_남_90~99세,143,33,9,11,5,11,5,12,13,10,4,19,11
2021년11월_남_100세 이상,2,1,0,0,1,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"22,752","7,504","1,349","1,531",600,"1,784",909,"1,191","1,269",905,"1,193","2,313","2,204"
2021년11월_여_연령구간인구수,"22,752","7,504","1,349","1,531",600,"1,784",909,"1,191","1,269",905,"1,193","2,313","2,204"
2021년11월_여_0~9세,"1,122",582,65,52,17,54,24,30,42,24,47,94,91
2021년11월_여_10~19세,"1,441",587,48,78,25,132,38,48,55,41,64,138,187
2021년11월_여_20~29세,"1,842",727,99,111,38,115,75,84,87,66,76,200,164
2021년11월_여_30~39세,"1,732",789,85,96,36,114,52,58,69,59,86,141,147
2021년11월_여_40~49세,"2,196",933,103,123,41,122,74,86,86,65,96,251,216
2021년11월_여_50~59세,"3,639","1,140",215,267,103,310,168,181,179,144,186,404,342
2021년11월_여_60~69세,"4,179","1,141",289,329,124,347,175,250,272,202,251,430,369
2021년11월_여_70~79세,"3,390",882,250,258,101,305,151,215,222,169,198,312,327
2021년11월_여_80~89세,"2,721",598,159,188,96,254,127,204,211,117,163,295,309
2021년11월_여_90~99세,465,118,36,27,18,30,23,33,41,16,24,47,52
2021년11월_여_100세 이상,25,7,0,2,1,1,2,2,5,2,2,1,0
