카테고리,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2021년10월_계_총인구수,"377,524","21,250","29,256","33,157","20,347","37,453","17,775","32,748","18,119","22,392","17,256","16,667","12,308","10,694","19,137","20,000","14,582","11,995","22,388"
2021년10월_계_연령구간인구수,"377,524","21,250","29,256","33,157","20,347","37,453","17,775","32,748","18,119","22,392","17,256","16,667","12,308","10,694","19,137","20,000","14,582","11,995","22,388"
2021년10월_계_0~9세,"25,068","1,361","1,191","2,735","1,072","2,745",899,"3,288","1,290","1,573",539,"1,134",848,792,"1,148","2,082",874,396,"1,101"
2021년10월_계_10~19세,"23,711","1,215",857,"2,872",943,"2,258",922,"2,970",994,"1,476",823,"1,090",813,724,"1,240","1,704",885,554,"1,371"
2021년10월_계_20~29세,"58,952","2,839","7,483","3,701","3,450","7,281","2,656","3,610","2,890","3,826","3,386","2,164","1,548","1,295","3,158","2,657","2,053","1,864","3,091"
2021년10월_계_30~39세,"69,391","3,244","7,483","4,894","4,251","8,244","3,176","6,017","4,612","5,308","3,067","2,507","1,860","1,501","3,097","3,340","1,942","1,653","3,195"
2021년10월_계_40~49세,"55,582","3,020","3,548","5,361","2,789","5,240","2,601","6,022","2,932","3,252","2,337","2,396","1,866","1,602","2,683","3,332","2,000","1,581","3,020"
2021년10월_계_50~59세,"56,285","3,630","3,535","5,143","2,976","4,806","2,930","4,241","2,080","3,055","2,503","2,847","2,009","1,822","3,032","3,012","2,523","2,085","4,056"
2021년10월_계_60~69세,"48,205","3,281","3,044","4,185","2,703","3,880","2,420","3,578","1,745","2,279","2,347","2,499","1,902","1,687","2,694","2,242","2,202","1,874","3,643"
2021년10월_계_70~79세,"26,907","1,827","1,447","2,560","1,418","1,973","1,428","2,023","1,052","1,067","1,472","1,408",987,892,"1,408","1,096","1,478","1,371","2,000"
2021년10월_계_80~89세,"11,830",727,576,"1,492",652,895,656,872,456,485,702,550,420,334,605,476,552,560,820
2021년10월_계_90~99세,"1,526",99,92,208,89,124,85,117,64,69,76,67,52,43,71,57,70,55,88
2021년10월_계_100세 이상,67,7,0,6,4,7,2,10,4,2,4,5,3,2,1,2,3,2,3
2021년10월_남_총인구수,"186,390","10,881","15,458","15,587","9,993","17,536","8,967","16,043","8,857","11,026","8,784","8,224","6,115","5,189","9,330","9,992","7,256","5,909","11,243"
2021년10월_남_연령구간인구수,"186,390","10,881","15,458","15,587","9,993","17,536","8,967","16,043","8,857","11,026","8,784","8,224","6,115","5,189","9,330","9,992","7,256","5,909","11,243"
2021년10월_남_0~9세,"12,829",685,592,"1,363",561,"1,423",459,"1,701",689,797,259,582,421,399,584,"1,092",463,204,555
2021년10월_남_10~19세,"12,350",628,451,"1,438",469,"1,120",494,"1,539",497,776,434,568,437,361,711,921,504,264,738
2021년10월_남_20~29세,"27,324","1,520","3,107","1,700","1,574","2,948","1,277","1,734","1,229","1,699","1,663","1,060",800,639,"1,454","1,322","1,035",948,"1,615"
2021년10월_남_30~39세,"35,417","1,711","4,153","2,201","2,177","3,917","1,670","2,848","2,334","2,728","1,753","1,286",970,782,"1,558","1,673","1,017",930,"1,709"
2021년10월_남_40~49세,"28,664","1,578","2,053","2,499","1,436","2,615","1,395","3,042","1,557","1,640","1,287","1,240",969,836,"1,382","1,691","1,073",838,"1,533"
2021년10월_남_50~59세,"28,721","1,897","2,223","2,513","1,542","2,299","1,551","2,135","1,095","1,575","1,317","1,440",999,875,"1,471","1,501","1,232","1,028","2,028"
2021년10월_남_60~69세,"23,433","1,677","1,835","1,987","1,286","1,886","1,185","1,658",791,"1,126","1,130","1,190",916,761,"1,252","1,086","1,036",849,"1,782"
2021년10월_남_70~79세,"12,391",857,760,"1,158",648,930,665,991,465,481,624,639,433,416,659,508,655,584,918
2021년10월_남_80~89세,"4,831",294,255,647,279,360,249,356,181,184,296,205,154,114,247,184,231,252,343
2021년10월_남_90~99세,414,34,29,81,20,33,21,36,18,20,20,14,14,6,12,14,8,12,22
2021년10월_남_100세 이상,16,0,0,0,1,5,1,3,1,0,1,0,2,0,0,0,2,0,0
2021년10월_여_총인구수,"191,134","10,369","13,798","17,570","10,354","19,917","8,808","16,705","9,262","11,366","8,472","8,443","6,193","5,505","9,807","10,008","7,326","6,086","11,145"
2021년10월_여_연령구간인구수,"191,134","10,369","13,798","17,570","10,354","19,917","8,808","16,705","9,262","11,366","8,472","8,443","6,193","5,505","9,807","10,008","7,326","6,086","11,145"
2021년10월_여_0~9세,"12,239",676,599,"1,372",511,"1,322",440,"1,587",601,776,280,552,427,393,564,990,411,192,546
2021년10월_여_10~19세,"11,361",587,406,"1,434",474,"1,138",428,"1,431",497,700,389,522,376,363,529,783,381,290,633
2021년10월_여_20~29세,"31,628","1,319","4,376","2,001","1,876","4,333","1,379","1,876","1,661","2,127","1,723","1,104",748,656,"1,704","1,335","1,018",916,"1,476"
2021년10월_여_30~39세,"33,974","1,533","3,330","2,693","2,074","4,327","1,506","3,169","2,278","2,580","1,314","1,221",890,719,"1,539","1,667",925,723,"1,486"
2021년10월_여_40~49세,"26,918","1,442","1,495","2,862","1,353","2,625","1,206","2,980","1,375","1,612","1,050","1,156",897,766,"1,301","1,641",927,743,"1,487"
2021년10월_여_50~59세,"27,564","1,733","1,312","2,630","1,434","2,507","1,379","2,106",985,"1,480","1,186","1,407","1,010",947,"1,561","1,511","1,291","1,057","2,028"
2021년10월_여_60~69세,"24,772","1,604","1,209","2,198","1,417","1,994","1,235","1,920",954,"1,153","1,217","1,309",986,926,"1,442","1,156","1,166","1,025","1,861"
2021년10월_여_70~79세,"14,516",970,687,"1,402",770,"1,043",763,"1,032",587,586,848,769,554,476,749,588,823,787,"1,082"
2021년10월_여_80~89세,"6,999",433,321,845,373,535,407,516,275,301,406,345,266,220,358,292,321,308,477
2021년10월_여_90~99세,"1,112",65,63,127,69,91,64,81,46,49,56,53,38,37,59,43,62,43,66
2021년10월_여_100세 이상,51,7,0,6,3,2,1,7,3,2,3,5,1,2,1,2,1,2,3
