카테고리,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020년10월_계_총인구수,"104,972","7,507","3,305","2,987","5,588","4,270","4,700","4,686","5,266","2,971","3,267","4,692","8,295","5,468","7,996","19,461","14,513"
2020년10월_계_연령구간인구수,"104,972","7,507","3,305","2,987","5,588","4,270","4,700","4,686","5,266","2,971","3,267","4,692","8,295","5,468","7,996","19,461","14,513"
2020년10월_계_0~9세,"5,873",269,101,66,176,166,195,122,162,78,85,191,450,368,321,"1,435","1,688"
2020년10월_계_10~19세,"8,307",411,134,133,288,198,369,218,298,159,91,348,707,572,563,"2,083","1,735"
2020년10월_계_20~29세,"11,344",498,213,192,330,350,461,295,380,197,173,571,946,763,878,"3,224","1,873"
2020년10월_계_30~39세,"9,576",489,203,183,302,326,380,282,341,150,192,388,854,523,690,"2,277","1,996"
2020년10월_계_40~49세,"13,426",810,271,235,517,484,593,429,545,265,313,593,"1,153",793,"1,006","3,036","2,383"
2020년10월_계_50~59세,"18,610","1,355",618,506,"1,042",971,974,828,959,536,635,821,"1,410",886,"1,563","3,249","2,257"
2020년10월_계_60~69세,"18,181","1,741",743,642,"1,358",981,836,"1,109","1,105",658,853,789,"1,409",848,"1,462","2,302","1,345"
2020년10월_계_70~79세,"11,469","1,122",562,536,888,498,513,731,824,489,540,600,856,441,960,"1,189",720
2020년10월_계_80~89세,"7,109",718,403,429,595,251,324,573,558,394,329,332,447,240,494,586,436
2020년10월_계_90~99세,"1,016",87,52,62,87,44,54,95,87,41,51,57,57,32,57,76,77
2020년10월_계_100세 이상,61,7,5,3,5,1,1,4,7,4,5,2,6,2,2,4,3
2020년10월_남_총인구수,"52,542","3,775","1,680","1,551","2,850","2,248","2,439","2,430","2,740","1,492","1,469","2,341","4,081","2,734","4,019","9,531","7,162"
2020년10월_남_연령구간인구수,"52,542","3,775","1,680","1,551","2,850","2,248","2,439","2,430","2,740","1,492","1,469","2,341","4,081","2,734","4,019","9,531","7,162"
2020년10월_남_0~9세,"3,053",148,44,34,92,100,91,67,86,44,43,100,243,192,170,750,849
2020년10월_남_10~19세,"4,286",210,88,67,150,115,188,117,144,74,45,187,344,286,290,"1,069",912
2020년10월_남_20~29세,"6,303",310,115,129,185,200,277,192,241,107,106,320,514,377,505,"1,713","1,012"
2020년10월_남_30~39세,"5,107",292,119,108,163,190,205,167,205,98,101,222,485,276,397,"1,131",948
2020년10월_남_40~49세,"7,095",464,173,145,312,258,346,272,341,156,130,312,598,416,555,"1,480","1,137"
2020년10월_남_50~59세,"9,605",662,352,296,598,513,526,433,549,301,276,421,711,459,805,"1,561","1,142"
2020년10월_남_60~69세,"9,074",895,386,345,693,516,437,589,567,337,390,382,645,437,701,"1,073",681
2020년10월_남_70~79세,"5,255",509,263,259,432,237,250,352,394,217,242,260,363,214,411,531,321
2020년10월_남_80~89세,"2,482",260,120,156,202,103,108,212,185,149,118,122,162,72,171,206,136
2020년10월_남_90~99세,269,21,20,12,21,16,11,29,28,8,18,15,15,4,14,14,23
2020년10월_남_100세 이상,13,4,0,0,2,0,0,0,0,1,0,0,1,1,0,3,1
2020년10월_여_총인구수,"52,430","3,732","1,625","1,436","2,738","2,022","2,261","2,256","2,526","1,479","1,798","2,351","4,214","2,734","3,977","9,930","7,351"
2020년10월_여_연령구간인구수,"52,430","3,732","1,625","1,436","2,738","2,022","2,261","2,256","2,526","1,479","1,798","2,351","4,214","2,734","3,977","9,930","7,351"
2020년10월_여_0~9세,"2,820",121,57,32,84,66,104,55,76,34,42,91,207,176,151,685,839
2020년10월_여_10~19세,"4,021",201,46,66,138,83,181,101,154,85,46,161,363,286,273,"1,014",823
2020년10월_여_20~29세,"5,041",188,98,63,145,150,184,103,139,90,67,251,432,386,373,"1,511",861
2020년10월_여_30~39세,"4,469",197,84,75,139,136,175,115,136,52,91,166,369,247,293,"1,146","1,048"
2020년10월_여_40~49세,"6,331",346,98,90,205,226,247,157,204,109,183,281,555,377,451,"1,556","1,246"
2020년10월_여_50~59세,"9,005",693,266,210,444,458,448,395,410,235,359,400,699,427,758,"1,688","1,115"
2020년10월_여_60~69세,"9,107",846,357,297,665,465,399,520,538,321,463,407,764,411,761,"1,229",664
2020년10월_여_70~79세,"6,214",613,299,277,456,261,263,379,430,272,298,340,493,227,549,658,399
2020년10월_여_80~89세,"4,627",458,283,273,393,148,216,361,373,245,211,210,285,168,323,380,300
2020년10월_여_90~99세,747,66,32,50,66,28,43,66,59,33,33,42,42,28,43,62,54
2020년10월_여_100세 이상,48,3,5,3,3,1,1,4,7,3,5,2,5,1,2,1,2
