,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 국토정중앙면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2021년08월_계_총인구수,"21,972","13,974","3,357","2,053","1,303","1,285"
2021년08월_계_연령구간인구수,"21,972","13,974","3,357","2,053","1,303","1,285"
2021년08월_계_0~9세,"1,690","1,416",107,95,45,27
2021년08월_계_10~19세,"2,022","1,609",186,85,57,85
2021년08월_계_20~29세,"2,898","1,688",421,414,266,109
2021년08월_계_30~39세,"2,522","1,919",257,168,96,82
2021년08월_계_40~49세,"2,466","1,827",275,147,84,133
2021년08월_계_50~59세,"3,414","1,998",608,340,198,270
2021년08월_계_60~69세,"3,595","1,904",744,367,287,293
2021년08월_계_70~79세,"1,974",941,446,264,147,176
2021년08월_계_80~89세,"1,200",586,264,144,109,97
2021년08월_계_90~99세,177,76,45,29,14,13
2021년08월_계_100세 이상,14,10,4,0,0,0
2021년08월_남_총인구수,"11,565","7,099","1,869","1,145",758,694
2021년08월_남_연령구간인구수,"11,565","7,099","1,869","1,145",758,694
2021년08월_남_0~9세,848,698,58,53,21,18
2021년08월_남_10~19세,"1,009",785,101,43,32,48
2021년08월_남_20~29세,"1,908",997,333,290,223,65
2021년08월_남_30~39세,"1,404","1,017",167,111,63,46
2021년08월_남_40~49세,"1,323",948,164,84,45,82
2021년08월_남_50~59세,"1,821","1,043",344,180,108,146
2021년08월_남_60~69세,"1,921",986,400,209,159,167
2021년08월_남_70~79세,863,405,195,113,65,85
2021년08월_남_80~89세,421,195,97,55,39,35
2021년08월_남_90~99세,42,21,9,7,3,2
2021년08월_남_100세 이상,5,4,1,0,0,0
2021년08월_여_총인구수,"10,407","6,875","1,488",908,545,591
2021년08월_여_연령구간인구수,"10,407","6,875","1,488",908,545,591
2021년08월_여_0~9세,842,718,49,42,24,9
2021년08월_여_10~19세,"1,013",824,85,42,25,37
2021년08월_여_20~29세,990,691,88,124,43,44
2021년08월_여_30~39세,"1,118",902,90,57,33,36
2021년08월_여_40~49세,"1,143",879,111,63,39,51
2021년08월_여_50~59세,"1,593",955,264,160,90,124
2021년08월_여_60~69세,"1,674",918,344,158,128,126
2021년08월_여_70~79세,"1,111",536,251,151,82,91
2021년08월_여_80~89세,779,391,167,89,70,62
2021년08월_여_90~99세,135,55,36,22,11,11
2021년08월_여_100세 이상,9,6,3,0,0,0
