,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2020년11월_계_총인구수,"940,746","242,157","13,501","19,856","11,202","15,513","15,675","13,535","13,506","12,589","16,061","15,838","11,704","9,953","11,099","45,507","4,781","8,530","3,307","215,975","33,735","14,083","7,031","24,551","10,636","24,572","25,915","13,822","12,582","21,194","27,854","482,614","26,421","18,107","10,682","14,032","19,792","31,034","15,990","15,542","32,386","18,801","26,027","13,835","17,672","16,829","29,136","23,992","24,950","27,714","28,872","17,814","31,449","21,537"
2020년11월_계_연령구간인구수,"940,746","242,157","13,501","19,856","11,202","15,513","15,675","13,535","13,506","12,589","16,061","15,838","11,704","9,953","11,099","45,507","4,781","8,530","3,307","215,975","33,735","14,083","7,031","24,551","10,636","24,572","25,915","13,822","12,582","21,194","27,854","482,614","26,421","18,107","10,682","14,032","19,792","31,034","15,990","15,542","32,386","18,801","26,027","13,835","17,672","16,829","29,136","23,992","24,950","27,714","28,872","17,814","31,449","21,537"
2020년11월_계_0~9세,"69,001","15,913",507,"1,756",415,508,747,617,708,395,800,"1,076",566,617,737,"5,074",524,693,173,"13,341","1,579",883,423,"1,271",665,"1,303","1,694",540,581,"1,480","2,922","39,747","2,022","1,265","1,179","1,032","1,455","2,066",909,"1,328","2,467","1,435","2,298","1,034","1,331","1,277","2,209","3,049","2,789","2,925","1,906","1,356","2,235","2,180"
2020년11월_계_10~19세,"88,082","17,688",722,"1,582",650,783,"1,139",927,"1,203",700,"1,077","1,294",975,931,450,"4,120",438,529,168,"16,622","1,985",870,462,"1,935","1,024","2,007","1,838",978,906,"1,786","2,831","53,772","2,969","2,257","1,968","2,469","1,949","3,299","1,414","1,765","4,352","2,326","3,133","1,861","1,319","1,788","2,086","3,439","3,038","3,126","2,372","1,698","2,754","2,390"
2020년11월_계_20~29세,"132,367","35,240","2,020","2,597","1,728","2,805","2,478","1,931","2,053","1,766","2,336","2,178","1,516","1,385","2,273","5,506",739,"1,399",530,"31,165","5,792","1,571",941,"3,813","1,807","3,649","3,520","1,783","1,791","3,142","3,356","65,962","3,731","2,491",969,"1,855","3,139","4,765","2,076","2,050","4,614","2,807","3,445","1,822","2,761","2,150","4,173","2,357","3,077","3,831","4,121","2,691","4,559","2,478"
2020년11월_계_30~39세,"137,153","36,050","1,820","3,367","1,535","2,163","2,160","1,740","1,630","1,459","2,114","2,220","1,443","1,134","2,638","7,395",888,"1,798",546,"31,078","5,772","1,926","1,117","3,358","1,368","3,037","4,016","1,620","1,585","2,901","4,378","70,025","3,608","2,446",898,"1,521","3,520","5,058","2,948","2,312","4,232","2,385","3,598","1,377","2,892","2,122","5,364","3,163","3,613","3,851","4,672","2,817","4,506","3,122"
2020년11월_계_40~49세,"157,561","37,736","2,017","2,956","1,737","2,106","2,283","2,024","2,154","1,760","2,309","2,465","2,010","1,648","2,001","7,993",765,"1,077",431,"32,987","4,767","2,204","1,049","3,715","1,642","3,738","3,998","2,006","1,815","3,086","4,967","86,838","4,660","3,746","2,645","3,197","3,254","5,904","2,680","2,830","6,377","3,286","4,670","2,424","2,773","2,787","4,386","5,291","4,698","4,724","4,449","2,986","5,030","4,041"
2020년11월_계_50~59세,"155,977","41,370","2,544","3,441","2,131","2,710","2,794","2,569","2,390","2,555","2,887","2,739","2,004","1,722","1,321","7,152",601,"1,308",502,"38,304","5,579","2,628","1,235","4,302","1,777","4,488","4,645","2,934","2,565","3,950","4,201","76,303","4,272","2,832","1,468","2,103","2,914","4,781","2,389","2,393","5,019","3,310","4,146","2,396","2,694","2,593","4,580","3,421","3,925","4,768","4,613","2,931","5,238","3,517"
2020년11월_계_60~69세,"113,201","33,482","2,223","2,636","1,692","2,412","2,257","2,107","1,798","2,180","2,569","2,138","1,696","1,372","1,052","5,257",517,"1,032",544,"30,543","4,669","2,314","1,074","3,582","1,304","3,428","3,701","2,316","1,968","3,061","3,126","49,176","2,857","1,392",767,"1,092","2,082","2,498","1,751","1,422","2,724","1,920","2,615","1,620","2,243","2,225","3,707","1,978","2,338","2,768","3,460","1,810","3,483","2,424"
2020년11월_계_70~79세,"57,949","17,201","1,143","1,089",950,"1,425","1,238","1,114","1,065","1,233","1,423","1,172","1,067",803,457,"2,022",215,487,298,"15,234","2,479","1,166",482,"1,802",724,"2,039","1,778","1,166",958,"1,233","1,407","25,514","1,453",937,481,487,"1,017","1,678","1,034",812,"1,559",829,"1,360",815,"1,108","1,188","1,721",867,987,"1,158","2,001",948,"2,147",927
