카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2021년04월_계_총인구수,"46,510","20,791","4,498","3,155","5,902","2,406","2,383","3,514","2,122","1,739"
2021년04월_계_연령구간인구수,"46,510","20,791","4,498","3,155","5,902","2,406","2,383","3,514","2,122","1,739"
2021년04월_계_0~9세,"2,135","1,441",124,68,253,37,30,79,68,35
2021년04월_계_10~19세,"3,554","1,972",205,593,382,81,69,115,67,70
2021년04월_계_20~29세,"3,797","2,285",369,134,382,133,111,194,113,76
2021년04월_계_30~39세,"3,390","2,022",250,122,424,107,88,177,127,73
2021년04월_계_40~49세,"5,039","2,936",411,183,639,164,160,269,152,125
2021년04월_계_50~59세,"8,597","3,656",864,546,"1,176",459,483,688,381,344
2021년04월_계_60~69세,"10,566","3,387","1,179",801,"1,444",743,769,"1,033",660,550
2021년04월_계_70~79세,"5,539","1,793",653,421,712,393,398,539,314,316
2021년04월_계_80~89세,"3,345","1,090",385,244,433,249,236,356,210,142
2021년04월_계_90~99세,521,198,56,40,52,37,38,64,28,8
2021년04월_계_100세 이상,27,11,2,3,5,3,1,0,2,0
2021년04월_남_총인구수,"23,861","10,473","2,367","1,612","3,087","1,243","1,205","1,833","1,128",913
2021년04월_남_연령구간인구수,"23,861","10,473","2,367","1,612","3,087","1,243","1,205","1,833","1,128",913
2021년04월_남_0~9세,"1,132",759,65,38,135,19,11,43,42,20
2021년04월_남_10~19세,"1,860","1,014",109,313,211,36,38,58,34,47
2021년04월_남_20~29세,"2,157","1,253",239,84,214,70,65,119,68,45
2021년04월_남_30~39세,"1,773","1,014",133,61,243,57,47,105,75,38
2021년04월_남_40~49세,"2,804","1,583",236,95,365,96,93,170,91,75
2021년04월_남_50~59세,"4,573","1,912",475,288,640,245,254,366,209,184
2021년04월_남_60~69세,"5,516","1,713",621,426,753,401,418,548,355,281
2021년04월_남_70~79세,"2,695",787,334,209,352,209,199,278,166,161
2021년04월_남_80~89세,"1,232",388,140,93,165,103,73,132,78,60
2021년04월_남_90~99세,115,49,15,5,9,5,7,14,9,2
2021년04월_남_100세 이상,4,1,0,0,0,2,0,0,1,0
2021년04월_여_총인구수,"22,649","10,318","2,131","1,543","2,815","1,163","1,178","1,681",994,826
2021년04월_여_연령구간인구수,"22,649","10,318","2,131","1,543","2,815","1,163","1,178","1,681",994,826
2021년04월_여_0~9세,"1,003",682,59,30,118,18,19,36,26,15
2021년04월_여_10~19세,"1,694",958,96,280,171,45,31,57,33,23
2021년04월_여_20~29세,"1,640","1,032",130,50,168,63,46,75,45,31
2021년04월_여_30~39세,"1,617","1,008",117,61,181,50,41,72,52,35
2021년04월_여_40~49세,"2,235","1,353",175,88,274,68,67,99,61,50
2021년04월_여_50~59세,"4,024","1,744",389,258,536,214,229,322,172,160
2021년04월_여_60~69세,"5,050","1,674",558,375,691,342,351,485,305,269
2021년04월_여_70~79세,"2,844","1,006",319,212,360,184,199,261,148,155
2021년04월_여_80~89세,"2,113",702,245,151,268,146,163,224,132,82
2021년04월_여_90~99세,406,149,41,35,43,32,31,50,19,6
2021년04월_여_100세 이상,23,10,2,3,5,1,1,0,1,0
