카테고리,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020년08월_계_총인구수,"395,788","25,088","19,111","13,016","34,707","22,386","25,837","24,949","19,742","20,384","26,026","35,629","19,489","30,427","17,320","40,225","21,452"
2020년08월_계_연령구간인구수,"395,788","25,088","19,111","13,016","34,707","22,386","25,837","24,949","19,742","20,384","26,026","35,629","19,489","30,427","17,320","40,225","21,452"
2020년08월_계_0~9세,"23,753","1,331","1,097","1,096","1,715","1,218","1,190","1,922",791,"1,318","1,109","2,508","1,143","1,500",848,"3,532","1,435"
2020년08월_계_10~19세,"27,345","1,650","1,223",845,"2,069","1,300","1,561","2,033",845,"1,369","1,249","3,217","1,241","1,922","1,216","3,825","1,780"
2020년08월_계_20~29세,"56,162","3,431","2,522","1,622","5,215","3,119","3,827","3,620","3,965","2,953","3,861","4,977","2,763","4,233","2,356","5,036","2,662"
2020년08월_계_30~39세,"58,610","3,401","2,725","2,296","5,426","3,447","3,701","3,693","4,055","3,289","3,752","5,063","3,150","4,092","2,211","5,318","2,991"
2020년08월_계_40~49세,"58,364","3,790","2,984","2,015","5,152","3,196","3,616","3,603","2,619","2,860","3,609","5,950","2,941","4,148","2,506","6,091","3,284"
2020년08월_계_50~59세,"69,981","4,969","3,294","2,222","6,405","3,974","4,715","4,485","3,148","3,424","5,113","5,610","3,196","5,799","3,359","6,662","3,606"
2020년08월_계_60~69세,"57,147","3,615","2,844","1,681","4,832","3,466","3,983","3,247","2,456","3,026","4,108","4,612","2,926","4,947","2,720","5,478","3,206"
2020년08월_계_70~79세,"31,176","2,048","1,820",895,"2,790","1,918","2,307","1,616","1,338","1,511","2,269","2,579","1,530","2,636","1,459","2,815","1,645"
2020년08월_계_80~89세,"11,457",730,506,310,961,648,822,642,445,559,850,967,524,980,545,"1,229",739
2020년08월_계_90~99세,"1,587",111,86,29,114,88,105,85,69,70,88,123,63,152,85,221,98
2020년08월_계_100세 이상,206,12,10,5,28,12,10,3,11,5,18,23,12,18,15,18,6
2020년08월_남_총인구수,"195,931","12,516","9,554","6,561","17,284","11,235","12,848","12,232","9,609","9,982","13,378","17,290","9,598","15,310","8,717","19,585","10,232"
2020년08월_남_연령구간인구수,"195,931","12,516","9,554","6,561","17,284","11,235","12,848","12,232","9,609","9,982","13,378","17,290","9,598","15,310","8,717","19,585","10,232"
2020년08월_남_0~9세,"12,267",675,583,522,886,665,596,"1,020",409,690,588,"1,290",590,773,439,"1,814",727
2020년08월_남_10~19세,"13,968",817,654,441,"1,022",680,814,"1,069",445,679,666,"1,628",642,957,575,"1,973",906
2020년08월_남_20~29세,"27,965","1,708","1,297",852,"2,668","1,607","1,941","1,801","1,692","1,459","1,906","2,388","1,361","2,177","1,199","2,548","1,361"
2020년08월_남_30~39세,"30,246","1,812","1,428","1,177","2,864","1,765","1,964","1,869","2,059","1,693","2,017","2,521","1,652","2,143","1,205","2,606","1,471"
2020년08월_남_40~49세,"30,144","2,008","1,601","1,092","2,669","1,694","1,903","1,755","1,365","1,499","1,936","2,951","1,472","2,239","1,276","3,081","1,603"
2020년08월_남_50~59세,"34,526","2,541","1,653","1,107","3,189","1,930","2,307","2,166","1,601","1,598","2,716","2,694","1,568","2,906","1,728","3,139","1,683"
2020년08월_남_60~69세,"27,732","1,732","1,327",837,"2,336","1,702","1,909","1,584","1,175","1,446","2,128","2,188","1,371","2,473","1,381","2,649","1,494"
2020년08월_남_70~79세,"14,238",921,796,402,"1,242",922,"1,051",711,653,683,"1,039","1,200",704,"1,237",685,"1,287",705
2020년08월_남_80~89세,"4,435",270,189,126,376,250,331,241,191,222,342,398,217,363,213,449,257
2020년08월_남_90~99세,365,31,25,4,25,18,29,16,17,12,34,25,17,38,13,37,24
2020년08월_남_100세 이상,45,1,1,1,7,2,3,0,2,1,6,7,4,4,3,2,1
2020년08월_여_총인구수,"199,857","12,572","9,557","6,455","17,423","11,151","12,989","12,717","10,133","10,402","12,648","18,339","9,891","15,117","8,603","20,640","11,220"
2020년08월_여_연령구간인구수,"199,857","12,572","9,557","6,455","17,423","11,151","12,989","12,717","10,133","10,402","12,648","18,339","9,891","15,117","8,603","20,640","11,220"
2020년08월_여_0~9세,"11,486",656,514,574,829,553,594,902,382,628,521,"1,218",553,727,409,"1,718",708
2020년08월_여_10~19세,"13,377",833,569,404,"1,047",620,747,964,400,690,583,"1,589",599,965,641,"1,852",874
2020년08월_여_20~29세,"28,197","1,723","1,225",770,"2,547","1,512","1,886","1,819","2,273","1,494","1,955","2,589","1,402","2,056","1,157","2,488","1,301"
2020년08월_여_30~39세,"28,364","1,589","1,297","1,119","2,562","1,682","1,737","1,824","1,996","1,596","1,735","2,542","1,498","1,949","1,006","2,712","1,520"
2020년08월_여_40~49세,"28,220","1,782","1,383",923,"2,483","1,502","1,713","1,848","1,254","1,361","1,673","2,999","1,469","1,909","1,230","3,010","1,681"
2020년08월_여_50~59세,"35,455","2,428","1,641","1,115","3,216","2,044","2,408","2,319","1,547","1,826","2,397","2,916","1,628","2,893","1,631","3,523","1,923"
2020년08월_여_60~69세,"29,415","1,883","1,517",844,"2,496","1,764","2,074","1,663","1,281","1,580","1,980","2,424","1,555","2,474","1,339","2,829","1,712"
2020년08월_여_70~79세,"16,938","1,127","1,024",493,"1,548",996,"1,256",905,685,828,"1,230","1,379",826,"1,399",774,"1,528",940
2020년08월_여_80~89세,"7,022",460,317,184,585,398,491,401,254,337,508,569,307,617,332,780,482
2020년08월_여_90~99세,"1,222",80,61,25,89,70,76,69,52,58,54,98,46,114,72,184,74
2020년08월_여_100세 이상,161,11,9,4,21,10,7,3,9,4,12,16,8,14,12,16,5
