카테고리,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020년02월_계_총인구수,"428,729","16,740","15,546","16,549","18,985","23,730","11,807","20,600","19,067","12,447","15,678","24,797","11,407","10,755","17,010","13,520","14,229","23,068","19,680","12,026","15,987","32,152","28,146","34,803"
2020년02월_계_연령구간인구수,"428,729","16,740","15,546","16,549","18,985","23,730","11,807","20,600","19,067","12,447","15,678","24,797","11,407","10,755","17,010","13,520","14,229","23,068","19,680","12,026","15,987","32,152","28,146","34,803"
2020년02월_계_0~9세,"31,201","1,458","1,030","2,024","1,569","1,978",561,"1,426","1,393","1,231",942,"2,155",602,568,"1,108","1,109",959,"1,113","1,195",411,"1,155","2,435","2,086","2,693"
2020년02월_계_10~19세,"53,631","2,228","1,828","2,052","4,294","2,645","1,282","4,117","2,269","1,818","1,559","4,387",951,733,"1,400","1,039","1,220","2,082","1,975",792,"1,896","4,951","3,534","4,579"
2020년02월_계_20~29세,"55,871","2,071","2,345","2,095","1,828","3,041","1,936","2,438","2,290","1,235","2,173","2,744","1,771","1,363","2,122","1,357","2,202","3,356","2,636","1,473","1,995","4,532","3,864","5,004"
2020년02월_계_30~39세,"44,216","1,631","1,996","2,241","1,329","2,509","1,226","1,527","1,739","1,267","1,621","2,119","1,417","1,348","2,107","1,699","1,878","2,395","2,075","1,002","1,602","2,903","2,960","3,625"
2020년02월_계_40~49세,"74,991","3,050","2,603","3,272","4,738","3,887","1,829","4,655","3,319","2,533","2,361","5,040","1,813","1,722","2,586","2,012","2,377","3,411","2,993","1,450","2,696","5,873","4,784","5,987"
2020년02월_계_50~59세,"75,192","2,903","2,623","2,548","2,670","4,118","2,185","3,295","3,202","1,803","2,990","4,180","1,984","1,885","2,916","2,173","2,685","4,316","3,712","2,311","2,908","5,972","5,122","6,691"
2020년02월_계_60~69세,"50,127","1,689","1,709","1,227","1,307","2,918","1,490","1,645","2,271","1,334","2,083","2,353","1,490","1,625","2,516","2,170","1,729","3,335","2,827","2,354","2,314","3,119","3,230","3,392"
2020년02월_계_70~79세,"28,208","1,131",960,713,826,"1,711",831,"1,001","1,646",843,"1,250","1,157",951,978,"1,479","1,323",803,"2,013","1,401","1,423",943,"1,482","1,605","1,738"
2020년02월_계_80~89세,"13,477",510,408,329,376,820,422,447,834,347,620,565,378,474,667,553,327,912,767,708,418,778,838,979
2020년02월_계_90~99세,"1,716",64,42,40,47,100,43,47,100,30,72,92,50,56,102,78,45,130,97,98,57,101,117,108
2020년02월_계_100세 이상,99,5,2,8,1,3,2,2,4,6,7,5,0,3,7,7,4,5,2,4,3,6,6,7
2020년02월_남_총인구수,"208,070","8,001","7,575","7,914","9,300","11,611","5,961","10,791","8,883","6,042","7,374","11,940","5,482","5,340","8,231","6,574","6,931","11,015","9,357","5,504","7,773","15,604","13,989","16,878"
2020년02월_남_연령구간인구수,"208,070","8,001","7,575","7,914","9,300","11,611","5,961","10,791","8,883","6,042","7,374","11,940","5,482","5,340","8,231","6,574","6,931","11,015","9,357","5,504","7,773","15,604","13,989","16,878"
2020년02월_남_0~9세,"16,051",737,521,993,836,"1,023",301,827,685,651,474,"1,086",304,307,580,563,486,573,626,194,589,"1,241","1,047","1,407"
2020년02월_남_10~19세,"28,465","1,080",966,"1,030","2,246","1,379",724,"2,705","1,084",910,775,"2,263",470,385,722,568,621,"1,183","1,013",407,997,"2,556","1,945","2,436"
2020년02월_남_20~29세,"30,202","1,101","1,211","1,060","1,008","1,676","1,109","1,439","1,215",654,"1,120","1,488",878,731,"1,122",771,"1,191","1,821","1,409",786,"1,105","2,415","2,193","2,699"
2020년02월_남_30~39세,"21,349",734,948,"1,003",578,"1,200",647,651,824,582,807,952,706,714,"1,066",848,924,"1,224","1,009",531,793,"1,396","1,468","1,744"
2020년02월_남_40~49세,"34,307","1,401","1,195","1,536","2,133","1,810",857,"2,036","1,526","1,235","1,015","2,224",878,877,"1,231","1,013","1,116","1,548","1,361",696,"1,230","2,570","2,180","2,639"
2020년02월_남_50~59세,"36,575","1,445","1,279","1,271","1,412","2,010","1,068","1,761","1,550",911,"1,418","2,097",970,944,"1,420",990,"1,278","2,011","1,698","1,058","1,351","2,898","2,497","3,238"
2020년02월_남_60~69세,"23,570",774,834,572,601,"1,390",710,776,980,602,954,"1,114",685,750,"1,182",969,813,"1,498","1,330","1,066","1,101","1,579","1,599","1,691"
2020년02월_남_70~79세,"12,269",487,446,307,331,771,382,426,674,365,540,511,425,428,669,632,372,835,615,566,463,635,715,674
2020년02월_남_80~89세,"4,856",221,165,128,139,325,152,161,318,124,245,185,156,188,224,205,121,296,265,178,131,285,317,327
2020년02월_남_90~99세,399,20,10,11,15,27,10,8,26,7,25,17,10,16,15,14,8,26,30,21,12,26,26,19
