카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2021년03월_계_총인구수,"31,167","10,037","1,432","1,850","2,568","8,417","1,922","1,573","3,368"
2021년03월_계_연령구간인구수,"31,167","10,037","1,432","1,850","2,568","8,417","1,922","1,573","3,368"
2021년03월_계_0~9세,"1,388",587,36,47,66,477,40,29,106
2021년03월_계_10~19세,"2,005",896,43,52,74,762,33,45,100
2021년03월_계_20~29세,"2,469",951,88,116,199,744,126,68,177
2021년03월_계_30~39세,"2,203",795,64,105,165,733,111,68,162
2021년03월_계_40~49세,"3,756","1,511",98,148,241,"1,215",142,138,263
2021년03월_계_50~59세,"5,843","1,845",254,328,549,"1,597",389,282,599
2021년03월_계_60~69세,"6,379","1,702",369,445,610,"1,553",487,360,853
2021년03월_계_70~79세,"4,117","1,073",233,345,380,850,339,314,583
2021년03월_계_80~89세,"2,677",609,221,233,249,438,218,249,460
2021년03월_계_90~99세,322,66,24,30,35,48,37,20,62
2021년03월_계_100세 이상,8,2,2,1,0,0,0,0,3
2021년03월_남_총인구수,"15,993","5,063",710,930,"1,404","4,374","1,027",807,"1,678"
2021년03월_남_연령구간인구수,"15,993","5,063",710,930,"1,404","4,374","1,027",807,"1,678"
2021년03월_남_0~9세,719,314,18,20,29,247,22,16,53
2021년03월_남_10~19세,"1,072",487,24,31,38,399,20,18,55
2021년03월_남_20~29세,"1,442",559,49,66,117,423,77,47,104
2021년03월_남_30~39세,"1,206",406,37,62,107,397,67,44,86
2021년03월_남_40~49세,"2,108",786,55,96,162,656,94,91,168
2021년03월_남_50~59세,"3,297","1,009",142,180,321,891,242,166,346
2021년03월_남_60~69세,"3,357",840,206,235,346,813,275,189,453
2021년03월_남_70~79세,"1,827",446,94,156,182,381,159,150,259
2021년03월_남_80~89세,886,202,76,75,93,154,61,84,141
2021년03월_남_90~99세,76,14,8,8,9,13,10,2,12
2021년03월_남_100세 이상,3,0,1,1,0,0,0,0,1
2021년03월_여_총인구수,"15,174","4,974",722,920,"1,164","4,043",895,766,"1,690"
2021년03월_여_연령구간인구수,"15,174","4,974",722,920,"1,164","4,043",895,766,"1,690"
2021년03월_여_0~9세,669,273,18,27,37,230,18,13,53
2021년03월_여_10~19세,933,409,19,21,36,363,13,27,45
2021년03월_여_20~29세,"1,027",392,39,50,82,321,49,21,73
2021년03월_여_30~39세,997,389,27,43,58,336,44,24,76
2021년03월_여_40~49세,"1,648",725,43,52,79,559,48,47,95
2021년03월_여_50~59세,"2,546",836,112,148,228,706,147,116,253
2021년03월_여_60~69세,"3,022",862,163,210,264,740,212,171,400
2021년03월_여_70~79세,"2,290",627,139,189,198,469,180,164,324
2021년03월_여_80~89세,"1,791",407,145,158,156,284,157,165,319
2021년03월_여_90~99세,246,52,16,22,26,35,27,18,50
2021년03월_여_100세 이상,5,2,1,0,0,0,0,0,2
