,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년03월_계_총인구수,"209,443","4,818","2,018","2,948","8,817","2,971","2,287","3,910","13,397","3,798","3,649","2,259","3,198","1,949","2,657","23,591","6,999","15,388","5,233","9,525","18,378","3,730","9,322","14,516","37,441","6,644"
2021년03월_계_연령구간인구수,"209,443","4,818","2,018","2,948","8,817","2,971","2,287","3,910","13,397","3,798","3,649","2,259","3,198","1,949","2,657","23,591","6,999","15,388","5,233","9,525","18,378","3,730","9,322","14,516","37,441","6,644"
2021년03월_계_0~9세,"14,313",100,38,75,564,35,51,66,"2,023",338,98,52,80,63,90,"1,613",261,"1,234",243,350,"2,030",91,536,986,"2,731",565
2021년03월_계_10~19세,"18,682",209,63,109,404,105,90,119,982,283,174,78,161,72,158,"2,523",525,"2,011",484,676,"2,357",174,741,"1,688","3,813",683
2021년03월_계_20~29세,"24,208",371,113,195,"1,418",176,121,259,"1,562",515,254,126,179,100,256,"2,751",887,"1,847",578,"1,045","2,205",512,"1,096","1,918","4,954",770
2021년03월_계_30~39세,"23,089",296,94,146,"1,389",175,112,160,"3,040",449,172,116,167,118,216,"2,450",601,"1,651",434,844,"2,600",260,998,"1,426","4,370",805
2021년03월_계_40~49세,"30,636",476,165,242,"1,180",212,173,320,"2,120",504,321,181,246,139,333,"3,690",929,"2,832",722,"1,148","3,385",411,"1,405","2,459","5,918","1,125"
2021년03월_계_50~59세,"37,138",998,413,609,"1,479",562,387,784,"1,557",513,704,427,552,337,460,"4,335","1,242","2,659",945,"1,737","2,868",720,"1,713","2,829","7,085","1,223"
2021년03월_계_60~69세,"32,658","1,196",587,785,"1,329",796,640,"1,084","1,198",579,918,580,878,539,549,"3,437","1,276","1,752",889,"1,989","1,760",773,"1,556","1,794","4,983",791
2021년03월_계_70~79세,"17,298",661,325,483,604,490,400,649,532,342,552,380,503,317,344,"1,741",798,877,582,"1,072",747,482,883,899,"2,224",411
