,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년09월_계_총인구수,"413,594","14,676","38,162","26,737","1,832","1,678","2,172","4,021","3,057","24,178","6,362","29,226","2,176","39,020","14,221","16,664","3,243","3,165","13,134","4,314","30,996","18,800","48,222","16,543","46,568","4,427"
2021년09월_계_연령구간인구수,"413,594","14,676","38,162","26,737","1,832","1,678","2,172","4,021","3,057","24,178","6,362","29,226","2,176","39,020","14,221","16,664","3,243","3,165","13,134","4,314","30,996","18,800","48,222","16,543","46,568","4,427"
2021년09월_계_0~9세,"39,354",833,"3,608","5,564",42,10,36,55,66,"1,739",124,"2,231",69,"3,634",985,791,136,279,"1,650",302,"2,740","2,044","4,492",871,"6,462",591
2021년09월_계_10~19세,"44,221","1,117","3,872","2,451",56,52,100,142,185,"2,386",197,"3,346",116,"4,975","1,537","1,845",160,221,"1,099",348,"3,674","2,491","5,898","1,059","6,667",227
2021년09월_계_20~29세,"55,182","1,325","4,596","2,385",92,96,134,268,224,"3,316",723,"3,652",209,"5,082","1,873","2,626",584,384,"1,772",609,"4,695","2,397","7,202","4,309","5,945",684
2021년09월_계_30~39세,"63,683","1,211","4,858","7,713",75,65,97,206,169,"3,327",734,"3,321",144,"4,877","1,575","1,608",504,536,"2,774",663,"4,348","2,866","8,278","4,351","8,329","1,054"
2021년09월_계_40~49세,"72,601","1,891","5,810","4,693",121,135,178,388,333,"3,836",966,"4,833",267,"7,339","2,308","2,610",443,429,"2,159",748,"5,989","3,854","9,493","2,758","10,272",748
2021년09월_계_50~59세,"69,856","2,886","7,908","2,109",353,312,386,794,587,"4,386","1,319","5,950",460,"7,129","2,949","3,797",594,612,"2,195",824,"6,053","3,209","7,103","1,795","5,528",618
2021년09월_계_60~69세,"42,750","2,813","4,706","1,102",490,441,526,939,671,"3,496","1,327","3,959",542,"4,127","1,966","2,402",487,411,"1,061",495,"2,351","1,303","3,726",919,"2,103",387
2021년09월_계_70~79세,"16,318","1,477","1,649",391,309,273,371,665,463,"1,215",667,"1,268",241,"1,238",730,697,245,185,296,232,737,407,"1,335",333,805,89
2021년09월_계_80~89세,"8,350",945,984,282,249,253,299,496,316,437,258,598,112,543,270,254,79,94,110,81,348,194,606,121,399,22
2021년09월_계_90~99세,"1,241",172,168,46,45,40,45,65,41,39,45,68,15,75,27,32,11,11,18,11,58,34,88,25,56,6
2021년09월_계_100세 이상,38,6,3,1,0,1,0,3,2,1,2,0,1,1,1,2,0,3,0,1,3,1,1,2,2,1
2021년09월_남_총인구수,"212,547","7,257","19,304","13,958",914,864,"1,116","2,100","1,557","11,911","3,469","14,282","1,127","19,825","7,038","8,362","1,834","1,714","6,890","2,315","16,143","9,820","24,965","9,031","24,292","2,459"
2021년09월_남_연령구간인구수,"212,547","7,257","19,304","13,958",914,864,"1,116","2,100","1,557","11,911","3,469","14,282","1,127","19,825","7,038","8,362","1,834","1,714","6,890","2,315","16,143","9,820","24,965","9,031","24,292","2,459"
