카테고리,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2021년10월_계_총인구수,"26,980","10,093","1,487","1,971","1,672","1,687","1,395","1,940","2,141","1,248","1,059","2,287"
2021년10월_계_연령구간인구수,"26,980","10,093","1,487","1,971","1,672","1,687","1,395","1,940","2,141","1,248","1,059","2,287"
2021년10월_계_0~9세,"1,328",802,41,54,57,36,51,57,101,35,44,50
2021년10월_계_10~19세,"2,145","1,300",83,94,86,68,71,110,139,37,43,114
2021년10월_계_20~29세,"1,902","1,019",98,96,86,81,66,104,110,68,59,115
2021년10월_계_30~39세,"1,799",926,86,96,92,104,88,90,117,62,52,86
2021년10월_계_40~49세,"3,127","1,572",125,200,187,128,119,170,186,113,111,216
2021년10월_계_50~59세,"4,392","1,555",269,321,249,300,232,369,374,199,142,382
2021년10월_계_60~69세,"5,023","1,357",311,406,321,428,294,459,480,268,209,490
2021년10월_계_70~79세,"4,026",937,250,385,321,281,234,328,368,245,210,467
2021년10월_계_80~89세,"2,813",534,198,282,241,229,214,214,224,190,171,316
2021년10월_계_90~99세,404,88,24,33,30,30,25,39,42,25,17,51
2021년10월_계_100세 이상,21,3,2,4,2,2,1,0,0,6,1,0
2021년10월_남_총인구수,"13,213","4,920",724,969,838,848,707,958,"1,034",606,503,"1,106"
2021년10월_남_연령구간인구수,"13,213","4,920",724,969,838,848,707,958,"1,034",606,503,"1,106"
2021년10월_남_0~9세,698,429,19,31,29,22,30,25,53,10,25,25
2021년10월_남_10~19세,"1,105",662,44,46,43,37,43,62,70,20,22,56
2021년10월_남_20~29세,"1,078",564,60,52,55,49,38,63,67,42,26,62
2021년10월_남_30~39세,889,424,39,55,56,64,45,42,52,38,27,47
2021년10월_남_40~49세,"1,763",795,69,132,119,89,80,102,101,67,72,137
2021년10월_남_50~59세,"2,395",825,153,177,144,153,137,182,204,122,86,212
2021년10월_남_60~69세,"2,584",654,166,234,167,240,152,252,248,130,100,241
2021년10월_남_70~79세,"1,680",374,114,146,140,121,104,140,150,101,90,200
2021년10월_남_80~89세,909,171,56,90,78,65,74,73,75,64,52,111
2021년10월_남_90~99세,109,22,4,6,7,7,4,17,14,10,3,15
2021년10월_남_100세 이상,3,0,0,0,0,1,0,0,0,2,0,0
2021년10월_여_총인구수,"13,767","5,173",763,"1,002",834,839,688,982,"1,107",642,556,"1,181"
2021년10월_여_연령구간인구수,"13,767","5,173",763,"1,002",834,839,688,982,"1,107",642,556,"1,181"
2021년10월_여_0~9세,630,373,22,23,28,14,21,32,48,25,19,25
2021년10월_여_10~19세,"1,040",638,39,48,43,31,28,48,69,17,21,58
2021년10월_여_20~29세,824,455,38,44,31,32,28,41,43,26,33,53
2021년10월_여_30~39세,910,502,47,41,36,40,43,48,65,24,25,39
2021년10월_여_40~49세,"1,364",777,56,68,68,39,39,68,85,46,39,79
2021년10월_여_50~59세,"1,997",730,116,144,105,147,95,187,170,77,56,170
2021년10월_여_60~69세,"2,439",703,145,172,154,188,142,207,232,138,109,249
2021년10월_여_70~79세,"2,346",563,136,239,181,160,130,188,218,144,120,267
2021년10월_여_80~89세,"1,904",363,142,192,163,164,140,141,149,126,119,205
2021년10월_여_90~99세,295,66,20,27,23,23,21,22,28,15,14,36
2021년10월_여_100세 이상,18,3,2,4,2,1,1,0,0,4,1,0
