,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2020년09월_계_총인구수,"1,188,926","274,911","23,705","43,382","29,890","30,251","43,040","20,336","19,777","28,966","19,195","16,369","369,755","10,540","23,683","19,506","41,060","38,311","24,976","45,839","46,508","24,880","49,867","27,640","16,945","174,879","6,004","10,757","9,089","23,305","26,912","11,433","20,663","17,335","38,419","10,962","369,381","18,547","15,261","36,517","22,094","39,156","36,212","26,947","32,941","31,750","28,423","53,311","28,222"
2020년09월_계_연령구간인구수,"1,188,926","274,911","23,705","43,382","29,890","30,251","43,040","20,336","19,777","28,966","19,195","16,369","369,755","10,540","23,683","19,506","41,060","38,311","24,976","45,839","46,508","24,880","49,867","27,640","16,945","174,879","6,004","10,757","9,089","23,305","26,912","11,433","20,663","17,335","38,419","10,962","369,381","18,547","15,261","36,517","22,094","39,156","36,212","26,947","32,941","31,750","28,423","53,311","28,222"
2020년09월_계_0~9세,"99,091","18,735","1,412","3,166","2,568","2,044","3,753",868,"1,170","1,573","1,463",718,"33,177",914,"1,131",992,"3,203","2,496","1,480","5,027","7,221","1,358","5,858","1,741","1,756","9,695",251,430,359,"1,546","2,045",459,935,"1,223","2,171",276,"37,484","1,217",965,"3,005","1,408","4,595","3,723","2,677","2,708","3,583","4,405","5,789","3,409"
2020년09월_계_10~19세,"119,489","29,103","1,905","4,300","3,572","3,231","7,051","1,244","1,777","2,850","2,097","1,076","33,704",625,"1,642","1,571","3,639","3,229","2,109","5,005","4,501","1,738","5,463","2,334","1,848","14,048",328,491,592,"2,226","3,067",723,"1,490","1,857","2,800",474,"42,634","1,966","1,555","4,508","2,318","3,532","4,991","2,199","4,354","4,132","3,255","6,871","2,953"
2020년09월_계_20~29세,"186,673","44,119","3,415","10,206","4,151","4,350","6,248","2,723","3,046","4,379","2,998","2,603","54,675","1,522","3,564","2,786","6,348","5,898","3,977","6,274","5,119","4,964","6,862","5,313","2,048","28,754",922,"1,945","1,118","3,162","4,143","1,368","3,243","3,651","7,677","1,525","59,125","3,169","2,500","6,514","3,773","6,518","4,959","5,770","6,431","4,549","3,426","8,423","3,093"
2020년09월_계_30~39세,"180,350","33,030","2,965","5,878","3,509","3,747","4,491","2,478","2,722","3,328","2,069","1,843","58,934","1,734","3,593","2,623","5,818","5,385","3,332","6,746","9,437","4,473","8,114","5,375","2,304","24,659",896,"1,674","1,092","2,709","3,497","1,235","2,929","2,240","7,088","1,299","63,727","2,450","1,984","5,594","3,203","7,680","5,584","6,839","4,490","5,060","5,916","9,643","5,284"
2020년09월_계_40~49세,"203,757","45,867","3,761","6,565","5,479","5,123","9,171","3,000","3,079","4,543","2,948","2,198","61,796","1,487","3,720","3,120","6,210","6,104","3,770","8,125","8,268","3,737","8,993","5,006","3,256","27,458",872,"1,457","1,333","3,890","4,558","1,669","3,080","2,769","6,330","1,500","68,636","3,097","2,477","6,847","3,793","7,223","7,236","4,276","6,166","5,925","5,447","10,796","5,353"
2020년09월_계_50~59세,"196,578","49,412","4,423","6,819","5,320","5,467","7,468","3,988","3,703","5,516","3,854","2,854","62,372","1,902","4,300","3,473","7,615","6,836","4,898","7,656","5,978","4,261","8,010","4,617","2,826","30,681","1,103","1,960","1,755","4,155","5,147","2,154","3,764","2,739","5,707","2,197","54,113","3,296","2,794","5,557","3,779","4,732","5,692","3,092","5,334","5,150","3,641","7,089","3,957"
2020년09월_계_60~69세,"117,938","30,199","3,282","3,684","2,964","3,334","2,715","3,457","2,468","3,683","2,002","2,610","39,138","1,331","3,332","2,812","4,931","4,931","3,220","4,072","3,679","2,724","4,322","2,015","1,769","22,078",884,"1,587","1,494","3,106","2,556","2,016","2,874","1,664","3,925","1,972","26,523","2,060","1,734","2,691","2,298","2,954","2,373","1,180","2,121","2,137","1,509","2,946","2,520"
2020년09월_계_70~79세,"56,208","15,708","1,677","1,727","1,471","1,965","1,338","1,775","1,199","1,991","1,012","1,553","17,325",674,"1,628","1,478","2,182","2,385","1,436","1,901","1,549","1,087","1,488",752,765,"11,870",512,827,940,"1,754","1,223","1,226","1,633",784,"1,816","1,155","11,305",898,839,"1,165",982,"1,294","1,053",591,801,821,539,"1,192","1,130"
2020년09월_계_80~89세,"24,616","7,419",737,889,725,855,698,677,519,943,637,739,"7,386",289,665,552,932,909,658,893,668,461,634,403,322,"4,827",206,328,343,654,588,498,627,352,773,458,"4,984",328,350,557,468,528,521,277,457,328,246,473,451
2020년09월_계_90~99세,"3,918","1,232",120,137,123,129,106,105,89,154,113,156,"1,157",51,98,86,165,128,90,138,83,74,115,79,50,718,23,52,50,91,84,74,82,55,114,93,811,60,57,75,69,97,75,43,78,62,37,89,69
2020년09월_계_100세 이상,308,87,8,11,8,6,1,21,5,6,2,19,91,11,10,13,17,10,6,2,5,3,8,5,1,91,7,6,13,12,4,11,6,1,18,13,39,6,6,4,3,3,5,3,1,3,2,0,3
2020년09월_남_총인구수,"598,549","138,475","11,955","22,945","14,712","14,828","21,515","10,386","9,831","14,567","9,288","8,448","186,646","5,264","12,214","9,806","20,810","19,511","12,591","22,659","23,135","12,677","24,556","14,852","8,571","88,094","3,169","5,724","4,660","11,328","13,234","5,822","10,270","8,646","19,390","5,851","185,334","9,339","7,578","18,928","10,897","19,844","17,875","14,210","16,785","15,972","14,210","26,046","13,650"
2020년09월_남_연령구간인구수,"598,549","138,475","11,955","22,945","14,712","14,828","21,515","10,386","9,831","14,567","9,288","8,448","186,646","5,264","12,214","9,806","20,810","19,511","12,591","22,659","23,135","12,677","24,556","14,852","8,571","88,094","3,169","5,724","4,660","11,328","13,234","5,822","10,270","8,646","19,390","5,851","185,334","9,339","7,578","18,928","10,897","19,844","17,875","14,210","16,785","15,972","14,210","26,046","13,650"
2020년09월_남_0~9세,"51,074","9,668",725,"1,620","1,304","1,019","1,999",460,601,812,754,374,"17,058",477,586,460,"1,664","1,237",740,"2,566","3,768",700,"3,063",907,890,"4,925",128,222,193,763,"1,058",242,485,601,"1,090",143,"19,423",613,502,"1,585",755,"2,384","1,921","1,361","1,366","1,877","2,306","3,024","1,729"
2020년09월_남_10~19세,"61,851","15,199","1,001","2,279","1,908","1,655","3,636",643,955,"1,498","1,058",566,"17,557",332,869,822,"1,898","1,717","1,088","2,639","2,236",931,"2,872","1,202",951,"7,193",179,247,293,"1,094","1,547",389,767,"1,018","1,414",245,"21,902","1,012",819,"2,301","1,204","1,822","2,599","1,138","2,294","2,099","1,666","3,423","1,525"
2020년09월_남_20~29세,"98,382","24,161","1,871","6,282","2,211","2,263","3,225","1,407","1,544","2,298","1,560","1,500","28,482",771,"1,897","1,486","3,424","3,121","2,078","3,206","2,540","2,492","3,555","2,832","1,080","14,971",494,"1,075",600,"1,609","2,134",764,"1,723","1,998","3,804",770,"30,768","1,758","1,244","3,662","2,010","3,374","2,556","3,231","3,474","2,445","1,690","3,838","1,486"
