,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020년04월_계_총인구수,"71,382","5,813","1,109","3,164",822,"2,538","3,053","2,453","2,744","1,897","3,569","2,598","5,891","7,100","9,193","3,132","16,306"
2020년04월_계_연령구간인구수,"71,382","5,813","1,109","3,164",822,"2,538","3,053","2,453","2,744","1,897","3,569","2,598","5,891","7,100","9,193","3,132","16,306"
2020년04월_계_0~9세,"4,093",223,42,97,20,63,94,49,52,82,84,65,371,423,682,113,"1,633"
2020년04월_계_10~19세,"5,874",332,59,157,39,352,128,193,113,66,144,91,438,610,901,147,"2,104"
2020년04월_계_20~29세,"6,105",416,70,153,29,147,198,320,144,100,204,121,533,601,892,213,"1,964"
2020년04월_계_30~39세,"5,968",377,50,158,50,108,156,112,119,96,222,140,620,656,866,251,"1,987"
2020년04월_계_40~49세,"8,864",619,113,258,76,171,252,199,236,174,312,199,719,888,"1,344",321,"2,983"
2020년04월_계_50~59세,"12,127","1,059",225,546,167,365,497,375,494,358,617,504,997,"1,172","1,603",559,"2,589"
2020년04월_계_60~69세,"12,960","1,215",254,695,193,550,689,525,588,463,749,620,"1,120","1,359","1,495",666,"1,779"
2020년04월_계_70~79세,"9,244","1,004",168,601,149,388,559,373,542,323,720,473,720,938,900,523,863
2020년04월_계_80~89세,"5,313",482,110,423,85,337,405,272,397,207,454,315,333,402,445,301,345
2020년04월_계_90~99세,776,75,18,73,13,56,73,34,54,28,56,63,37,43,59,36,58
2020년04월_계_100세 이상,58,11,0,3,1,1,2,1,5,0,7,7,3,8,6,2,1
2020년04월_남_총인구수,"34,989","2,820",559,"1,532",418,"1,346","1,519","1,167","1,361",963,"1,688","1,199","2,901","3,451","4,574","1,548","7,943"
2020년04월_남_연령구간인구수,"34,989","2,820",559,"1,532",418,"1,346","1,519","1,167","1,361",963,"1,688","1,199","2,901","3,451","4,574","1,548","7,943"
2020년04월_남_0~9세,"2,137",102,22,48,10,34,49,30,31,45,39,32,210,223,366,53,843
2020년04월_남_10~19세,"3,178",180,30,92,25,235,76,83,63,35,80,46,237,323,520,86,"1,067"
2020년04월_남_20~29세,"3,429",263,42,96,12,82,116,144,93,56,115,72,313,349,533,120,"1,023"
2020년04월_남_30~39세,"3,201",217,28,88,23,66,90,66,73,55,133,86,339,363,440,146,988
2020년04월_남_40~49세,"4,753",340,66,144,41,111,167,120,148,111,198,126,396,465,711,202,"1,407"
2020년04월_남_50~59세,"6,236",557,129,284,92,210,278,206,290,184,340,249,467,583,773,308,"1,286"
2020년04월_남_60~69세,"6,235",554,129,367,119,287,339,272,306,265,362,299,500,598,674,314,850
2020년04월_남_70~79세,"3,986",427,74,261,66,186,256,149,234,135,287,196,314,411,386,231,373
2020년04월_남_80~89세,"1,663",161,37,133,29,122,134,90,111,73,120,77,115,128,157,86,90
2020년04월_남_90~99세,156,15,2,19,1,13,14,7,10,4,10,14,10,6,13,2,16
2020년04월_남_100세 이상,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020년04월_여_총인구수,"36,393","2,993",550,"1,632",404,"1,192","1,534","1,286","1,383",934,"1,881","1,399","2,990","3,649","4,619","1,584","8,363"
2020년04월_여_연령구간인구수,"36,393","2,993",550,"1,632",404,"1,192","1,534","1,286","1,383",934,"1,881","1,399","2,990","3,649","4,619","1,584","8,363"
2020년04월_여_0~9세,"1,956",121,20,49,10,29,45,19,21,37,45,33,161,200,316,60,790
2020년04월_여_10~19세,"2,696",152,29,65,14,117,52,110,50,31,64,45,201,287,381,61,"1,037"
2020년04월_여_20~29세,"2,676",153,28,57,17,65,82,176,51,44,89,49,220,252,359,93,941
2020년04월_여_30~39세,"2,767",160,22,70,27,42,66,46,46,41,89,54,281,293,426,105,999
2020년04월_여_40~49세,"4,111",279,47,114,35,60,85,79,88,63,114,73,323,423,633,119,"1,576"
2020년04월_여_50~59세,"5,891",502,96,262,75,155,219,169,204,174,277,255,530,589,830,251,"1,303"
2020년04월_여_60~69세,"6,725",661,125,328,74,263,350,253,282,198,387,321,620,761,821,352,929
2020년04월_여_70~79세,"5,258",577,94,340,83,202,303,224,308,188,433,277,406,527,514,292,490
2020년04월_여_80~89세,"3,650",321,73,290,56,215,271,182,286,134,334,238,218,274,288,215,255
2020년04월_여_90~99세,620,60,16,54,12,43,59,27,44,24,46,49,27,37,46,34,42
2020년04월_여_100세 이상,43,7,0,3,1,1,2,1,3,0,3,5,3,6,5,2,1
