카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2021년10월_계_총인구수,"50,634","24,085","1,766","1,836","2,678","1,585","1,645",853,"1,431","1,101","1,016","3,545","1,726","3,054","4,313"
2021년10월_계_연령구간인구수,"50,634","24,085","1,766","1,836","2,678","1,585","1,645",853,"1,431","1,101","1,016","3,545","1,726","3,054","4,313"
2021년10월_계_0~9세,"2,325","1,667",40,23,97,20,33,11,41,23,26,139,18,56,131
2021년10월_계_10~19세,"4,114","2,665",81,100,176,67,60,28,57,69,29,310,50,145,277
2021년10월_계_20~29세,"3,689","2,186",77,91,212,67,66,42,94,54,47,234,71,167,281
2021년10월_계_30~39세,"3,495","2,173",88,83,168,68,63,32,70,38,37,213,59,152,251
2021년10월_계_40~49세,"6,037","3,600",168,128,286,123,119,49,119,77,66,365,162,252,523
2021년10월_계_50~59세,"8,975","4,314",287,288,474,271,290,107,248,161,170,640,334,561,830
2021년10월_계_60~69세,"10,167","3,913",470,457,598,385,430,214,339,282,259,802,414,733,871
2021년10월_계_70~79세,"6,770","2,254",320,392,383,319,289,192,219,180,194,511,335,553,629
2021년10월_계_80~89세,"4,370","1,146",206,237,241,226,242,158,200,183,159,289,244,376,463
2021년10월_계_90~99세,676,163,28,37,42,38,53,20,43,33,27,42,37,58,55
2021년10월_계_100세 이상,16,4,1,0,1,1,0,0,1,1,2,0,2,1,2
2021년10월_남_총인구수,"25,379","12,080",911,899,"1,373",786,834,381,704,540,514,"1,715",857,"1,577","2,208"
2021년10월_남_연령구간인구수,"25,379","12,080",911,899,"1,373",786,834,381,704,540,514,"1,715",857,"1,577","2,208"
2021년10월_남_0~9세,"1,171",853,19,12,49,11,16,7,15,12,11,65,9,27,65
2021년10월_남_10~19세,"2,244","1,470",48,56,91,38,33,13,30,36,15,154,23,84,153
2021년10월_남_20~29세,"2,172","1,266",52,56,130,47,34,22,63,33,31,123,44,101,170
2021년10월_남_30~39세,"1,938","1,134",61,47,101,37,47,16,42,23,24,113,38,98,157
2021년10월_남_40~49세,"3,346","1,880",102,82,172,75,68,26,74,51,41,189,90,180,316
2021년10월_남_50~59세,"4,902","2,258",166,167,243,144,172,61,143,89,102,334,199,334,490
2021년10월_남_60~69세,"5,083","1,853",247,219,308,206,237,104,177,149,154,403,222,374,430
2021년10월_남_70~79세,"3,043",983,150,176,184,142,137,85,97,80,79,238,152,264,276
2021년10월_남_80~89세,"1,361",355,61,75,87,78,73,45,57,60,51,91,76,110,142
2021년10월_남_90~99세,117,27,5,9,8,8,17,2,6,7,5,5,4,5,9
2021년10월_남_100세 이상,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년10월_여_총인구수,"25,255","12,005",855,937,"1,305",799,811,472,727,561,502,"1,830",869,"1,477","2,105"
2021년10월_여_연령구간인구수,"25,255","12,005",855,937,"1,305",799,811,472,727,561,502,"1,830",869,"1,477","2,105"
2021년10월_여_0~9세,"1,154",814,21,11,48,9,17,4,26,11,15,74,9,29,66
2021년10월_여_10~19세,"1,870","1,195",33,44,85,29,27,15,27,33,14,156,27,61,124
2021년10월_여_20~29세,"1,517",920,25,35,82,20,32,20,31,21,16,111,27,66,111
2021년10월_여_30~39세,"1,557","1,039",27,36,67,31,16,16,28,15,13,100,21,54,94
2021년10월_여_40~49세,"2,691","1,720",66,46,114,48,51,23,45,26,25,176,72,72,207
2021년10월_여_50~59세,"4,073","2,056",121,121,231,127,118,46,105,72,68,306,135,227,340
2021년10월_여_60~69세,"5,084","2,060",223,238,290,179,193,110,162,133,105,399,192,359,441
2021년10월_여_70~79세,"3,727","1,271",170,216,199,177,152,107,122,100,115,273,183,289,353
2021년10월_여_80~89세,"3,009",791,145,162,154,148,169,113,143,123,108,198,168,266,321
2021년10월_여_90~99세,559,136,23,28,34,30,36,18,37,26,22,37,33,53,46
2021년10월_여_100세 이상,14,3,1,0,1,1,0,0,1,1,1,0,2,1,2
