카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년09월_계_총인구수,"2,118,098","657,703","255,494","402,209","103,329","98,620","322,893","176,491","114,942","43,191","166,714","50,629","64,036","50,968","30,359","99,399","77,016","61,808"
2021년09월_계_연령구간인구수,"2,118,098","657,703","255,494","402,209","103,329","98,620","322,893","176,491","114,942","43,191","166,714","50,629","64,036","50,968","30,359","99,399","77,016","61,808"
2021년09월_계_0~9세,"165,314","59,535","19,158","40,377","5,448","5,721","31,892","14,973","6,899","3,807","14,771","2,384","2,738","2,181","1,178","7,467","3,406","2,914"
2021년09월_계_10~19세,"201,008","67,698","25,697","42,001","7,956","8,080","35,266","17,124","9,561","6,258","15,778","4,153","4,466","3,353","1,960","9,508","5,504","4,343"
2021년09월_계_20~29세,"239,126","95,609","34,768","60,841","10,879","9,138","37,423","18,985","10,869","4,844","15,772","3,749","5,075","3,650","2,475","9,371","6,505","4,782"
2021년09월_계_30~39세,"260,929","102,555","31,910","70,645","9,044","8,998","48,413","21,738","10,289","4,590","21,892","3,423","4,158","3,236","1,936","10,117","5,816","4,724"
2021년09월_계_40~49세,"325,499","111,388","41,865","69,523","12,936","13,420","57,755","27,796","14,846","8,264","26,915","5,996","6,828","5,516","2,970","14,213","9,161","7,495"
2021년09월_계_50~59세,"338,834","103,429","43,257","60,172","17,908","16,603","47,813","28,580","19,228","7,158","26,358","8,872","10,331","8,250","5,056","15,696","13,020","10,532"
2021년09월_계_60~69세,"296,974","68,880","33,564","35,316","19,376","17,868","34,553","23,543","20,825","4,833","22,445","10,339","13,559","10,499","6,469","15,446","15,574","12,765"
2021년09월_계_70~79세,"171,751","30,525","15,683","14,842","11,393","11,316","18,255","13,993","12,901","2,104","13,317","6,814","9,334","8,000","4,468","10,102","10,342","8,887"
2021년09월_계_80~89세,"103,055","15,703","8,311","7,392","7,230","6,473","10,085","8,432","8,269","1,137","8,229","4,317","6,482","5,377","3,365","6,525","6,760","4,671"
2021년09월_계_90~99세,"15,088","2,295","1,233","1,062","1,117",962,"1,382","1,286","1,211",194,"1,186",572,"1,027",884,473,928,897,674
2021년09월_계_100세 이상,520,86,48,38,42,41,56,41,44,2,51,10,38,22,9,26,31,21
2021년09월_남_총인구수,"1,082,596","336,088","129,472","206,616","51,631","50,024","167,891","92,022","57,426","21,492","88,678","25,563","31,820","25,168","15,434","49,496","38,709","31,154"
2021년09월_남_연령구간인구수,"1,082,596","336,088","129,472","206,616","51,631","50,024","167,891","92,022","57,426","21,492","88,678","25,563","31,820","25,168","15,434","49,496","38,709","31,154"
2021년09월_남_0~9세,"84,617","30,478","9,887","20,591","2,834","2,900","16,364","7,639","3,507","1,911","7,502","1,212","1,457","1,103",604,"3,881","1,770","1,455"
2021년09월_남_10~19세,"104,332","35,044","13,377","21,667","4,103","4,165","18,144","9,086","4,933","3,287","8,305","2,160","2,364","1,727","1,026","4,881","2,848","2,259"
2021년09월_남_20~29세,"132,241","50,305","18,398","31,907","5,959","5,393","20,862","11,329","6,064","2,708","9,224","2,179","2,935","2,103","1,455","5,189","3,721","2,815"
2021년09월_남_30~39세,"140,621","54,632","16,807","37,825","4,851","4,883","25,869","12,074","5,478","2,291","12,543","1,804","2,260","1,808","1,095","5,216","3,214","2,603"
2021년09월_남_40~49세,"173,549","57,820","21,640","36,180","6,837","7,365","31,313","14,864","7,875","4,016","15,131","3,290","3,720","2,997","1,741","7,380","4,986","4,214"
2021년09월_남_50~59세,"179,653","53,101","21,997","31,104","9,215","8,872","25,930","15,333","10,150","3,577","14,883","4,907","5,461","4,530","2,788","8,274","7,026","5,606"
2021년09월_남_60~69세,"149,145","34,844","16,885","17,959","9,715","8,800","17,361","11,845","10,516","2,325","11,576","5,307","6,812","5,147","3,326","7,614","7,790","6,167"
2021년09월_남_70~79세,"78,628","13,894","7,243","6,651","5,260","5,121","8,173","6,594","5,816",967,"6,278","3,135","4,241","3,605","2,073","4,562","4,675","4,234"
2021년09월_남_80~89세,"36,197","5,448","2,950","2,498","2,557","2,299","3,560","2,991","2,778",370,"2,933","1,432","2,313","1,933","1,196","2,274","2,465","1,648"
2021년09월_남_90~99세,"3,523",503,277,226,292,219,305,265,301,39,295,136,253,214,126,221,208,146
2021년09월_남_100세 이상,90,19,11,8,8,7,10,2,8,1,8,1,4,1,4,4,6,7
2021년09월_여_총인구수,"1,035,502","321,615","126,022","195,593","51,698","48,596","155,002","84,469","57,516","21,699","78,036","25,066","32,216","25,800","14,925","49,903","38,307","30,654"
2021년09월_여_연령구간인구수,"1,035,502","321,615","126,022","195,593","51,698","48,596","155,002","84,469","57,516","21,699","78,036","25,066","32,216","25,800","14,925","49,903","38,307","30,654"
2021년09월_여_0~9세,"80,697","29,057","9,271","19,786","2,614","2,821","15,528","7,334","3,392","1,896","7,269","1,172","1,281","1,078",574,"3,586","1,636","1,459"
2021년09월_여_10~19세,"96,676","32,654","12,320","20,334","3,853","3,915","17,122","8,038","4,628","2,971","7,473","1,993","2,102","1,626",934,"4,627","2,656","2,084"
2021년09월_여_20~29세,"106,885","45,304","16,370","28,934","4,920","3,745","16,561","7,656","4,805","2,136","6,548","1,570","2,140","1,547","1,020","4,182","2,784","1,967"
2021년09월_여_30~39세,"120,308","47,923","15,103","32,820","4,193","4,115","22,544","9,664","4,811","2,299","9,349","1,619","1,898","1,428",841,"4,901","2,602","2,121"
2021년09월_여_40~49세,"151,950","53,568","20,225","33,343","6,099","6,055","26,442","12,932","6,971","4,248","11,784","2,706","3,108","2,519","1,229","6,833","4,175","3,281"
2021년09월_여_50~59세,"159,181","50,328","21,260","29,068","8,693","7,731","21,883","13,247","9,078","3,581","11,475","3,965","4,870","3,720","2,268","7,422","5,994","4,926"
2021년09월_여_60~69세,"147,829","34,036","16,679","17,357","9,661","9,068","17,192","11,698","10,309","2,508","10,869","5,032","6,747","5,352","3,143","7,832","7,784","6,598"
2021년09월_여_70~79세,"93,123","16,631","8,440","8,191","6,133","6,195","10,082","7,399","7,085","1,137","7,039","3,679","5,093","4,395","2,395","5,540","5,667","4,653"
2021년09월_여_80~89세,"66,858","10,255","5,361","4,894","4,673","4,174","6,525","5,441","5,491",767,"5,296","2,885","4,169","3,444","2,169","4,251","4,295","3,023"
2021년09월_여_90~99세,"11,565","1,792",956,836,825,743,"1,077","1,021",910,155,891,436,774,670,347,707,689,528
2021년09월_여_100세 이상,430,67,37,30,34,34,46,39,36,1,43,9,34,21,5,22,25,14
