,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2021년02월_계_총인구수,"90,320","30,793","4,009","19,185","5,123","5,138","3,524","3,192","12,815","3,598","2,943"
2021년02월_계_연령구간인구수,"90,320","30,793","4,009","19,185","5,123","5,138","3,524","3,192","12,815","3,598","2,943"
2021년02월_계_0~9세,"6,543","2,769",153,"1,455",185,295,104,97,"1,214",167,104
2021년02월_계_10~19세,"8,738","3,293",245,"2,515",350,449,166,173,"1,169",188,190
2021년02월_계_20~29세,"9,362","3,434",558,"2,204",448,482,263,195,"1,296",265,217
2021년02월_계_30~39세,"9,064","3,637",298,"1,879",362,431,218,181,"1,562",287,209
2021년02월_계_40~49세,"14,468","5,165",531,"3,660",686,738,419,403,"2,089",436,341
2021년02월_계_50~59세,"15,599","5,070",710,"3,471",931,924,583,513,"2,187",632,578
2021년02월_계_60~69세,"14,086","4,523",727,"2,232","1,102",889,801,703,"1,764",733,612
2021년02월_계_70~79세,"8,076","1,956",475,"1,185",715,645,621,580,943,529,427
2021년02월_계_80~89세,"3,817",821,264,513,296,260,304,311,515,308,225
2021년02월_계_90~99세,533,124,46,71,44,18,41,30,73,48,38
2021년02월_계_100세 이상,34,1,2,0,4,7,4,6,3,5,2
2021년02월_남_총인구수,"45,855","15,348","2,189","9,931","2,502","2,599","1,777","1,586","6,592","1,794","1,537"
2021년02월_남_연령구간인구수,"45,855","15,348","2,189","9,931","2,502","2,599","1,777","1,586","6,592","1,794","1,537"
2021년02월_남_0~9세,"3,363","1,429",75,743,104,146,50,57,624,82,53
2021년02월_남_10~19세,"4,561","1,659",141,"1,350",187,228,89,95,608,99,105
2021년02월_남_20~29세,"5,530","1,991",384,"1,318",250,286,163,103,747,152,136
2021년02월_남_30~39세,"4,845","1,903",178,"1,001",186,232,138,106,818,156,127
2021년02월_남_40~49세,"7,535","2,550",316,"1,801",373,423,254,239,"1,129",248,202
2021년02월_남_50~59세,"8,068","2,420",390,"1,860",459,486,315,292,"1,159",340,347
2021년02월_남_60~69세,"6,807","2,177",366,"1,093",517,411,362,327,876,366,312
2021년02월_남_70~79세,"3,653",906,224,556,309,288,291,229,447,230,173
2021년02월_남_80~89세,"1,376",287,104,195,108,92,103,127,174,110,76
2021년02월_남_90~99세,107,26,10,14,7,5,11,11,10,8,5
2021년02월_남_100세 이상,10,0,1,0,2,2,1,0,0,3,1
2021년02월_여_총인구수,"44,465","15,445","1,820","9,254","2,621","2,539","1,747","1,606","6,223","1,804","1,406"
2021년02월_여_연령구간인구수,"44,465","15,445","1,820","9,254","2,621","2,539","1,747","1,606","6,223","1,804","1,406"
2021년02월_여_0~9세,"3,180","1,340",78,712,81,149,54,40,590,85,51
2021년02월_여_10~19세,"4,177","1,634",104,"1,165",163,221,77,78,561,89,85
2021년02월_여_20~29세,"3,832","1,443",174,886,198,196,100,92,549,113,81
2021년02월_여_30~39세,"4,219","1,734",120,878,176,199,80,75,744,131,82
2021년02월_여_40~49세,"6,933","2,615",215,"1,859",313,315,165,164,960,188,139
2021년02월_여_50~59세,"7,531","2,650",320,"1,611",472,438,268,221,"1,028",292,231
2021년02월_여_60~69세,"7,279","2,346",361,"1,139",585,478,439,376,888,367,300
2021년02월_여_70~79세,"4,423","1,050",251,629,406,357,330,351,496,299,254
2021년02월_여_80~89세,"2,441",534,160,318,188,168,201,184,341,198,149
2021년02월_여_90~99세,426,98,36,57,37,13,30,19,63,40,33
2021년02월_여_100세 이상,24,1,1,0,2,5,3,6,3,2,1
