카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2021년02월_계_총인구수,"213,231","16,349","3,427","1,597","4,143","4,302","3,541","4,591","6,552","15,401","5,024","3,408","26,241","7,886","10,458","13,076","4,830","10,128","16,600","18,052","28,705","8,920"
2021년02월_계_연령구간인구수,"213,231","16,349","3,427","1,597","4,143","4,302","3,541","4,591","6,552","15,401","5,024","3,408","26,241","7,886","10,458","13,076","4,830","10,128","16,600","18,052","28,705","8,920"
2021년02월_계_0~9세,"13,369",617,130,27,205,103,118,194,381,"1,341",165,100,"1,832",370,423,601,287,910,"1,422",929,"2,477",737
2021년02월_계_10~19세,"18,853",959,195,38,261,187,160,225,465,"1,571",287,161,"3,018",630,747,"1,165",406,"1,058","1,544","1,541","3,485",750
2021년02월_계_20~29세,"24,968","1,426",288,96,347,417,259,426,498,"1,706",596,323,"3,614",939,"1,269","1,686",564,"1,136","2,478","1,986","3,454","1,460"
2021년02월_계_30~39세,"21,508","1,167",203,79,329,294,215,398,567,"2,010",436,286,"2,593",752,890,"1,274",551,"1,328","2,155","1,627","3,307","1,047"
2021년02월_계_40~49세,"32,260","2,011",376,108,498,441,324,576,948,"2,656",651,412,"4,581","1,047","1,431","1,861",713,"1,668","2,707","2,567","5,199","1,485"
2021년02월_계_50~59세,"36,609","2,959",681,317,703,756,675,846,"1,154","2,459",793,589,"4,522","1,448","1,999","2,481",940,"1,648","2,520","3,149","4,597","1,373"
2021년02월_계_60~69세,"34,179","3,496",745,482,922,960,861,"1,006","1,317","1,973","1,010",690,"3,216","1,440","1,985","2,288",754,"1,424","2,130","2,969","3,395","1,116"
2021년02월_계_70~79세,"19,648","2,305",437,278,493,672,565,540,761,"1,073",677,569,"1,793",804,"1,150","1,128",366,588,"1,042","2,083","1,714",610
2021년02월_계_80~89세,"10,050","1,180",315,149,303,393,314,325,396,510,320,249,936,385,494,494,214,307,523,"1,036",925,282
2021년02월_계_90~99세,"1,678",208,52,23,76,72,47,53,59,96,82,28,128,64,65,97,35,58,77,152,146,60
2021년02월_계_100세 이상,109,21,5,0,6,7,3,2,6,6,7,1,8,7,5,1,0,3,2,13,6,0
2021년02월_남_총인구수,"105,704","7,992","1,743",852,"2,114","2,272","1,813","2,373","3,264","7,513","2,381","1,751","12,842","3,918","5,151","6,455","2,359","4,905","8,234","9,031","14,175","4,566"
2021년02월_남_연령구간인구수,"105,704","7,992","1,743",852,"2,114","2,272","1,813","2,373","3,264","7,513","2,381","1,751","12,842","3,918","5,151","6,455","2,359","4,905","8,234","9,031","14,175","4,566"
2021년02월_남_0~9세,"6,904",324,72,21,116,62,63,104,184,682,79,53,949,191,229,305,124,442,716,461,"1,334",393
2021년02월_남_10~19세,"9,892",522,102,16,140,98,94,125,243,800,140,96,"1,561",328,390,626,211,556,788,839,"1,838",379
2021년02월_남_20~29세,"13,691",820,178,53,205,271,159,258,273,886,304,183,"1,947",492,657,900,335,606,"1,346","1,142","1,855",821
