카테고리,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2021년03월_계_총인구수,"207,419","29,564","12,464","10,083","10,674","16,298","20,954","7,364","16,568","16,505","16,801","14,353","35,791"
2021년03월_계_연령구간인구수,"207,419","29,564","12,464","10,083","10,674","16,298","20,954","7,364","16,568","16,505","16,801","14,353","35,791"
2021년03월_계_0~9세,"14,356","2,531","1,073",475,723,"1,220","1,969",223,691,753,"1,036","1,226","2,436"
2021년03월_계_10~19세,"16,382","3,573","1,570",685,976,"1,238","1,318",378,900,688,"1,009","1,120","2,927"
2021년03월_계_20~29세,"25,711","3,201","1,319","1,150","1,233","1,823","2,524",805,"2,350","3,423","1,815","1,578","4,490"
2021년03월_계_30~39세,"26,630","3,029","1,270","1,075","1,136","2,106","3,610",724,"1,992","3,119","2,309","1,848","4,412"
2021년03월_계_40~49세,"31,640","5,553","2,318","1,324","1,633","2,488","3,065",938,"2,240","2,333","2,252","2,219","5,277"
2021년03월_계_50~59세,"33,768","4,749","1,970","1,627","1,855","2,607","3,121","1,291","2,775","2,351","2,602","2,447","6,373"
2021년03월_계_60~69세,"32,777","3,671","1,649","1,816","1,779","2,785","2,893","1,582","3,177","2,155","3,037","2,306","5,927"
2021년03월_계_70~79세,"18,180","2,250",903,"1,244",911,"1,462","1,687","1,015","1,727","1,207","1,883","1,173","2,718"
2021년03월_계_80~89세,"7,107",900,359,611,372,519,672,370,638,444,771,381,"1,070"
2021년03월_계_90~99세,826,103,31,76,55,47,87,35,77,30,85,47,153
2021년03월_계_100세 이상,42,4,2,0,1,3,8,3,1,2,2,8,8
2021년03월_남_총인구수,"99,948","14,297","5,956","4,777","5,262","7,973","10,072","3,512","7,959","7,851","8,121","7,022","17,146"
2021년03월_남_연령구간인구수,"99,948","14,297","5,956","4,777","5,262","7,973","10,072","3,512","7,959","7,851","8,121","7,022","17,146"
2021년03월_남_0~9세,"7,276","1,321",501,255,367,633,997,115,324,378,529,636,"1,220"
2021년03월_남_10~19세,"8,444","1,871",761,363,532,666,644,190,457,365,527,573,"1,495"
2021년03월_남_20~29세,"13,047","1,693",689,563,684,977,"1,273",417,"1,116","1,423",977,853,"2,382"
2021년03월_남_30~39세,"13,348","1,419",605,545,615,"1,074","1,771",397,"1,032","1,568","1,191",897,"2,234"
2021년03월_남_40~49세,"15,484","2,573","1,090",668,769,"1,222","1,526",467,"1,147","1,207","1,191","1,122","2,502"
2021년03월_남_50~59세,"15,994","2,336",966,770,880,"1,199","1,468",611,"1,354","1,135","1,257","1,171","2,847"
2021년03월_남_60~69세,"15,061","1,675",784,812,840,"1,287","1,310",719,"1,442","1,018","1,319","1,080","2,775"
2021년03월_남_70~79세,"8,325",989,419,545,427,684,802,451,809,562,822,545,"1,270"
2021년03월_남_80~89세,"2,771",393,134,230,140,215,258,137,255,191,288,136,394
2021년03월_남_90~99세,187,26,6,26,7,15,20,8,22,4,20,7,26
2021년03월_남_100세 이상,11,1,1,0,1,1,3,0,1,0,0,2,1
2021년03월_여_총인구수,"107,471","15,267","6,508","5,306","5,412","8,325","10,882","3,852","8,609","8,654","8,680","7,331","18,645"
2021년03월_여_연령구간인구수,"107,471","15,267","6,508","5,306","5,412","8,325","10,882","3,852","8,609","8,654","8,680","7,331","18,645"
2021년03월_여_0~9세,"7,080","1,210",572,220,356,587,972,108,367,375,507,590,"1,216"
2021년03월_여_10~19세,"7,938","1,702",809,322,444,572,674,188,443,323,482,547,"1,432"
2021년03월_여_20~29세,"12,664","1,508",630,587,549,846,"1,251",388,"1,234","2,000",838,725,"2,108"
2021년03월_여_30~39세,"13,282","1,610",665,530,521,"1,032","1,839",327,960,"1,551","1,118",951,"2,178"
2021년03월_여_40~49세,"16,156","2,980","1,228",656,864,"1,266","1,539",471,"1,093","1,126","1,061","1,097","2,775"
2021년03월_여_50~59세,"17,774","2,413","1,004",857,975,"1,408","1,653",680,"1,421","1,216","1,345","1,276","3,526"
2021년03월_여_60~69세,"17,716","1,996",865,"1,004",939,"1,498","1,583",863,"1,735","1,137","1,718","1,226","3,152"
2021년03월_여_70~79세,"9,855","1,261",484,699,484,778,885,564,918,645,"1,061",628,"1,448"
2021년03월_여_80~89세,"4,336",507,225,381,232,304,414,233,383,253,483,245,676
2021년03월_여_90~99세,639,77,25,50,48,32,67,27,55,26,65,40,127
2021년03월_여_100세 이상,31,3,1,0,0,2,5,3,0,2,2,6,7
