카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2021년08월_계_총인구수,"99,465","37,915","8,311","28,894","3,507","3,404","2,875","2,265","2,082","3,234","3,507","3,471"
2021년08월_계_연령구간인구수,"99,465","37,915","8,311","28,894","3,507","3,404","2,875","2,265","2,082","3,234","3,507","3,471"
2021년08월_계_0~9세,"7,490","2,366",278,"4,291",91,112,69,37,24,71,73,78
2021년08월_계_10~19세,"9,524","4,219",515,"3,761",123,228,109,57,55,143,146,168
2021년08월_계_20~29세,"9,434","4,788",536,"2,708",234,206,145,124,104,193,198,198
2021년08월_계_30~39세,"10,168","3,515",446,"4,964",203,184,135,87,98,143,196,197
2021년08월_계_40~49세,"14,222","5,902",764,"5,531",314,348,215,170,115,279,266,318
2021년08월_계_50~59세,"15,683","6,722","1,397","3,576",617,573,434,348,346,503,535,632
2021년08월_계_60~69세,"15,423","5,415","1,859","2,273",831,735,658,555,530,838,876,853
2021년08월_계_70~79세,"10,085","3,156","1,512","1,061",585,528,554,466,417,598,634,574
2021년08월_계_80~89세,"6,496","1,599",874,639,441,436,507,345,346,400,510,399
2021년08월_계_90~99세,915,224,125,89,67,52,49,76,46,62,72,53
2021년08월_계_100세 이상,25,9,5,1,1,2,0,0,1,4,1,1
2021년08월_남_총인구수,"49,537","18,801","4,104","14,465","1,803","1,707","1,381","1,144","1,028","1,587","1,757","1,760"
2021년08월_남_연령구간인구수,"49,537","18,801","4,104","14,465","1,803","1,707","1,381","1,144","1,028","1,587","1,757","1,760"
2021년08월_남_0~9세,"3,886","1,207",149,"2,230",49,65,36,20,10,35,44,41
2021년08월_남_10~19세,"4,892","2,165",289,"1,921",68,112,51,28,25,67,82,84
2021년08월_남_20~29세,"5,221","2,640",317,"1,392",151,137,85,76,68,115,121,119
2021년08월_남_30~39세,"5,246","1,842",248,"2,411",131,103,81,58,68,81,118,105
2021년08월_남_40~49세,"7,393","2,882",442,"2,800",196,192,134,110,77,182,180,198
2021년08월_남_50~59세,"8,259","3,463",726,"1,882",340,311,240,207,181,264,292,353
2021년08월_남_60~69세,"7,601","2,568",923,"1,105",436,388,327,279,268,417,434,456
2021년08월_남_70~79세,"4,550","1,424",666,494,256,251,231,222,191,269,281,265
2021년08월_남_80~89세,"2,267",555,307,217,159,135,182,126,131,142,184,129
2021년08월_남_90~99세,218,52,37,13,17,13,14,18,9,14,21,10
2021년08월_남_100세 이상,4,3,0,0,0,0,0,0,0,1,0,0
2021년08월_여_총인구수,"49,928","19,114","4,207","14,429","1,704","1,697","1,494","1,121","1,054","1,647","1,750","1,711"
2021년08월_여_연령구간인구수,"49,928","19,114","4,207","14,429","1,704","1,697","1,494","1,121","1,054","1,647","1,750","1,711"
2021년08월_여_0~9세,"3,604","1,159",129,"2,061",42,47,33,17,14,36,29,37
2021년08월_여_10~19세,"4,632","2,054",226,"1,840",55,116,58,29,30,76,64,84
2021년08월_여_20~29세,"4,213","2,148",219,"1,316",83,69,60,48,36,78,77,79
2021년08월_여_30~39세,"4,922","1,673",198,"2,553",72,81,54,29,30,62,78,92
2021년08월_여_40~49세,"6,829","3,020",322,"2,731",118,156,81,60,38,97,86,120
2021년08월_여_50~59세,"7,424","3,259",671,"1,694",277,262,194,141,165,239,243,279
2021년08월_여_60~69세,"7,822","2,847",936,"1,168",395,347,331,276,262,421,442,397
2021년08월_여_70~79세,"5,535","1,732",846,567,329,277,323,244,226,329,353,309
2021년08월_여_80~89세,"4,229","1,044",567,422,282,301,325,219,215,258,326,270
2021년08월_여_90~99세,697,172,88,76,50,39,35,58,37,48,51,43
2021년08월_여_100세 이상,21,6,5,1,1,2,0,0,1,3,1,1
