카테고리,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020년01월_계_총인구수,"229,744","11,305","5,533","4,931","9,033","9,907","13,919","5,547","8,128","5,750","6,466","3,176","4,775","3,456","9,850","18,283","10,459","18,252","12,513","17,213","5,163","11,259","10,241","24,585"
2020년01월_계_연령구간인구수,"229,744","11,305","5,533","4,931","9,033","9,907","13,919","5,547","8,128","5,750","6,466","3,176","4,775","3,456","9,850","18,283","10,459","18,252","12,513","17,213","5,163","11,259","10,241","24,585"
2020년01월_계_0~9세,"20,152",554,252,191,658,"1,414","1,161",554,251,233,503,80,155,172,841,"2,163",975,"1,676",992,"1,432",514,"1,151",993,"3,237"
2020년01월_계_10~19세,"25,775",828,381,310,993,"1,141","1,695",502,472,376,655,158,241,271,"1,088","2,524","1,362","2,126","1,246","2,052",572,"1,663","1,150","3,969"
2020년01월_계_20~29세,"27,800","1,188",589,478,"1,074","1,336","1,855",565,809,554,778,223,617,341,"1,180","1,942","1,128","1,931","2,156","2,707",548,"1,488","1,437","2,876"
2020년01월_계_30~39세,"28,208","1,126",544,426,"1,074","1,777","1,608",880,675,500,745,262,343,311,"1,122","2,449","1,232","2,190","1,858","2,057",687,"1,405","1,431","3,506"
2020년01월_계_40~49세,"38,430","1,549",749,665,"1,375","1,712","2,429",861,"1,058",776,988,469,619,489,"1,596","3,382","1,738","3,052","2,269","2,837",861,"2,065","1,748","5,143"
2020년01월_계_50~59세,"36,900","1,868",941,876,"1,516","1,190","2,378",847,"1,498",963,982,599,795,572,"1,710","2,543","1,610","2,927","1,988","3,203",796,"1,839","1,819","3,440"
2020년01월_계_60~69세,"27,580","2,084","1,049",882,"1,212",754,"1,531",680,"1,524","1,104",984,658,859,563,"1,307","1,681","1,323","2,347","1,167","1,787",637,945,962,"1,540"
2020년01월_계_70~79세,"17,292","1,500",769,767,771,406,877,436,"1,268",919,617,513,769,508,715,"1,067",746,"1,359",568,763,372,480,474,628
2020년01월_계_80~89세,"6,643",535,221,297,312,156,340,199,488,297,199,177,336,196,260,462,299,554,231,326,157,200,202,199
2020년01월_계_90~99세,891,68,34,36,45,19,38,19,78,26,15,31,32,28,31,66,44,84,36,48,19,22,25,47
2020년01월_계_100세 이상,73,5,4,3,3,2,7,4,7,2,0,6,9,5,0,4,2,6,2,1,0,1,0,0
