,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년08월_계_총인구수,"347,407","8,142","4,018","8,747","2,203","1,889","2,581","1,574","1,481","1,447","3,202","21,022","4,677","1,582","4,007","1,041","2,205","27,700","10,522","10,907","13,917","19,395","24,382","11,626","26,845","27,511","11,649","11,959","21,084","27,437","32,655"
2021년08월_계_연령구간인구수,"347,407","8,142","4,018","8,747","2,203","1,889","2,581","1,574","1,481","1,447","3,202","21,022","4,677","1,582","4,007","1,041","2,205","27,700","10,522","10,907","13,917","19,395","24,382","11,626","26,845","27,511","11,649","11,959","21,084","27,437","32,655"
2021년08월_계_0~9세,"27,301",618,326,991,36,43,97,21,29,39,50,"2,089",218,17,125,24,52,"1,508",422,311,528,924,"1,275",695,"3,244","2,001",623,637,"2,302","2,402","5,654"
2021년08월_계_10~19세,"34,736",634,447,522,102,46,183,43,51,69,131,"2,714",413,49,191,41,91,"2,439",707,640,"1,032","1,556","2,387","1,027","4,002","3,400","1,080","1,230","2,983","2,566","3,960"
2021년08월_계_20~29세,"44,859",779,426,"1,109",135,117,206,66,54,102,199,"2,295",418,74,322,96,138,"4,300","1,433","1,035","1,787","2,866","3,693","1,502","3,315","4,083","1,575","1,517","2,337","5,490","3,390"
2021년08월_계_30~39세,"40,964",894,396,"1,716",121,123,166,61,78,61,148,"2,375",358,56,225,45,107,"2,691","1,123",804,"1,224","1,983","2,490","1,355","3,586","3,004","1,150","1,077","2,372","4,222","6,953"
2021년08월_계_40~49세,"53,493","1,003",647,"1,194",181,136,268,97,144,137,253,"3,692",625,97,414,88,199,"3,877","1,510","1,313","1,816","2,722","3,537","1,681","5,273","4,563","1,575","1,720","4,055","4,095","6,581"
2021년08월_계_50~59세,"56,990","1,374",684,"1,283",362,336,492,258,202,247,569,"3,341",868,283,740,177,381,"4,520","1,710","1,840","2,558","3,493","4,882","2,037","4,113","5,114","2,030","2,317","3,258","3,978","3,543"
2021년08월_계_60~69세,"48,381","1,446",567,"1,141",493,493,521,443,372,316,738,"2,597",851,379,"1,016",256,553,"4,216","1,912","2,443","2,587","3,299","3,759","1,938","2,031","3,081","1,980","2,003","2,291","2,847","1,812"
2021년08월_계_70~79세,"25,807",818,308,481,406,290,355,313,294,249,579,"1,229",545,327,563,154,337,"2,703","1,121","1,675","1,600","1,802","1,617",982,865,"1,386","1,037",991,994,"1,257",529
2021년08월_계_80~89세,"12,950",487,187,259,307,261,264,239,227,189,463,616,329,261,354,134,308,"1,272",493,739,686,680,649,360,362,752,528,403,439,509,193
2021년08월_계_90~99세,"1,850",87,29,47,59,42,27,33,30,37,69,72,52,38,54,24,38,167,84,94,97,69,89,48,49,125,69,60,52,71,38
2021년08월_계_100세 이상,76,2,1,4,1,2,2,0,0,1,3,2,0,1,3,2,1,7,7,13,2,1,4,1,5,2,2,4,1,0,2
2021년08월_남_총인구수,"171,691","4,130","2,018","4,463","1,045",936,"1,262",788,732,728,"1,601","10,544","2,338",775,"1,957",501,"1,069","13,568","5,181","5,247","6,885","9,624","12,154","5,901","13,594","13,173","5,523","5,900","10,041","13,874","16,139"
2021년08월_남_연령구간인구수,"171,691","4,130","2,018","4,463","1,045",936,"1,262",788,732,728,"1,601","10,544","2,338",775,"1,957",501,"1,069","13,568","5,181","5,247","6,885","9,624","12,154","5,901","13,594","13,173","5,523","5,900","10,041","13,874","16,139"
2021년08월_남_0~9세,"14,115",337,179,498,19,24,51,16,13,18,28,"1,093",113,7,63,12,30,803,221,165,296,466,682,335,"1,740","1,007",329,331,"1,164","1,285","2,790"
2021년08월_남_10~19세,"18,304",341,234,268,54,22,97,28,32,30,75,"1,450",210,33,93,19,47,"1,342",370,355,552,802,"1,292",502,"2,264","1,755",558,703,"1,427","1,326","2,023"
2021년08월_남_20~29세,"24,626",434,230,625,87,71,121,45,33,68,128,"1,310",243,46,173,57,78,"2,336",750,581,942,"1,585","2,060",834,"1,846","2,191",825,869,"1,237","3,114","1,707"
2021년08월_남_30~39세,"21,064",468,185,912,67,72,85,43,47,38,87,"1,206",182,28,125,25,51,"1,444",619,457,669,"1,098","1,366",733,"1,662","1,497",599,561,"1,081","2,281","3,376"
2021년08월_남_40~49세,"26,635",543,327,647,116,88,153,63,101,88,166,"1,787",327,67,230,52,135,"1,936",804,731,"1,003","1,393","1,692",910,"2,473","2,017",752,801,"1,915","1,972","3,346"
2021년08월_남_50~59세,"28,182",728,354,613,195,189,267,158,124,145,332,"1,648",473,165,380,100,221,"2,175",849,957,"1,301","1,666","2,339","1,036","2,088","2,395",931,"1,102","1,604","1,915","1,732"
2021년08월_남_60~69세,"23,065",764,300,591,259,251,271,230,186,165,372,"1,276",451,210,518,137,285,"1,892",876,"1,059","1,178","1,509","1,770",952,"1,029","1,490",856,929,"1,077","1,317",865
2021년08월_남_70~79세,"11,297",367,149,234,156,130,147,135,133,121,275,559,229,146,252,64,138,"1,153",492,705,694,824,740,447,373,556,459,472,400,503,244
2021년08월_남_80~89세,"4,051",135,55,69,87,79,62,63,57,49,125,208,97,65,113,32,78,446,181,216,231,266,199,142,108,238,200,120,127,152,51
