,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2021년05월_계_총인구수,"54,018","21,228","2,248","2,629","2,759","2,515","2,419","2,744","1,788","3,253","2,490","3,140","1,952","2,228","2,625"
2021년05월_계_연령구간인구수,"54,018","21,228","2,248","2,629","2,759","2,515","2,419","2,744","1,788","3,253","2,490","3,140","1,952","2,228","2,625"
2021년05월_계_0~9세,"2,593","1,766",45,77,81,58,62,78,39,75,64,88,43,46,71
2021년05월_계_10~19세,"4,208","2,687",101,102,212,118,153,100,50,139,101,149,67,112,117
2021년05월_계_20~29세,"4,146","2,273",140,154,165,130,156,143,70,170,148,214,120,138,125
2021년05월_계_30~39세,"3,727","2,054",118,136,120,139,110,128,92,151,155,169,106,116,133
2021년05월_계_40~49세,"6,042","3,117",192,240,246,209,234,223,138,271,245,311,178,202,236
2021년05월_계_50~59세,"8,873","3,415",403,479,444,399,413,410,289,569,486,532,284,352,398
2021년05월_계_60~69세,"9,904","2,891",495,560,537,557,485,625,408,707,525,684,433,457,540
2021년05월_계_70~79세,"8,286","1,826",412,503,570,498,476,610,348,652,451,538,394,426,582
2021년05월_계_80~89세,"5,362","1,011",295,327,343,351,290,369,306,456,273,393,279,317,352
2021년05월_계_90~99세,845,180,45,49,39,53,40,56,47,62,41,59,48,59,67
2021년05월_계_100세 이상,32,8,2,2,2,3,0,2,1,1,1,3,0,3,4
2021년05월_남_총인구수,"26,800","10,545","1,158","1,335","1,358","1,233","1,178","1,345",877,"1,616","1,254","1,540","1,002","1,079","1,280"
2021년05월_남_연령구간인구수,"26,800","10,545","1,158","1,335","1,358","1,233","1,178","1,345",877,"1,616","1,254","1,540","1,002","1,079","1,280"
2021년05월_남_0~9세,"1,368",927,23,36,45,35,37,42,18,43,37,44,20,24,37
2021년05월_남_10~19세,"2,319","1,492",60,59,124,51,93,45,31,77,49,70,48,54,66
2021년05월_남_20~29세,"2,377","1,259",86,91,100,85,88,78,49,105,78,128,75,81,74
2021년05월_남_30~39세,"2,010","1,021",75,79,60,85,59,80,55,91,94,101,61,60,89
2021년05월_남_40~49세,"3,425","1,564",122,152,156,124,140,153,86,177,172,178,123,127,151
2021년05월_남_50~59세,"4,889","1,710",241,295,261,231,231,252,184,308,269,292,165,204,246
2021년05월_남_60~69세,"4,939","1,379",280,279,257,273,238,292,197,381,266,360,235,240,262
2021년05월_남_70~79세,"3,616",793,182,222,237,230,206,292,155,274,196,230,176,181,242
2021년05월_남_80~89세,"1,714",364,86,113,112,110,77,105,90,147,88,128,91,102,101
2021년05월_남_90~99세,141,35,3,8,6,9,9,6,12,13,5,9,8,6,12
2021년05월_남_100세 이상,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"27,218","10,683","1,090","1,294","1,401","1,282","1,241","1,399",911,"1,637","1,236","1,600",950,"1,149","1,345"
2021년05월_여_연령구간인구수,"27,218","10,683","1,090","1,294","1,401","1,282","1,241","1,399",911,"1,637","1,236","1,600",950,"1,149","1,345"
2021년05월_여_0~9세,"1,225",839,22,41,36,23,25,36,21,32,27,44,23,22,34
2021년05월_여_10~19세,"1,889","1,195",41,43,88,67,60,55,19,62,52,79,19,58,51
2021년05월_여_20~29세,"1,769","1,014",54,63,65,45,68,65,21,65,70,86,45,57,51
2021년05월_여_30~39세,"1,717","1,033",43,57,60,54,51,48,37,60,61,68,45,56,44
2021년05월_여_40~49세,"2,617","1,553",70,88,90,85,94,70,52,94,73,133,55,75,85
2021년05월_여_50~59세,"3,984","1,705",162,184,183,168,182,158,105,261,217,240,119,148,152
2021년05월_여_60~69세,"4,965","1,512",215,281,280,284,247,333,211,326,259,324,198,217,278
2021년05월_여_70~79세,"4,670","1,033",230,281,333,268,270,318,193,378,255,308,218,245,340
2021년05월_여_80~89세,"3,648",647,209,214,231,241,213,264,216,309,185,265,188,215,251
2021년05월_여_90~99세,704,145,42,41,33,44,31,50,35,49,36,50,40,53,55
2021년05월_여_100세 이상,30,7,2,1,2,3,0,2,1,1,1,3,0,3,4
