,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2021년06월_계_총인구수,"296,442","24,647","29,398","19,518","15,868","19,395","23,281","28,259","20,244","35,120","21,149","33,662","25,901"
2021년06월_계_연령구간인구수,"296,442","24,647","29,398","19,518","15,868","19,395","23,281","28,259","20,244","35,120","21,149","33,662","25,901"
2021년06월_계_0~9세,"17,995","1,252","1,839",771,602,862,"1,479","1,763","1,007","2,655","1,424","1,662","2,679"
2021년06월_계_10~19세,"26,079","2,184","2,683","1,218",938,"1,472","2,504","2,703","1,401","3,655","1,764","2,663","2,894"
2021년06월_계_20~29세,"43,370","3,482","4,194","2,929","2,441","3,300","3,810","4,220","2,947","5,236","2,971","5,001","2,839"
2021년06월_계_30~39세,"37,789","2,703","3,457","2,478","2,114","2,853","2,604","3,507","2,805","4,786","2,532","4,297","3,653"
2021년06월_계_40~49세,"45,219","3,510","4,353","2,679","2,021","2,511","3,869","4,374","2,686","5,882","3,190","4,979","5,165"
2021년06월_계_50~59세,"59,866","5,045","5,937","4,207","3,376","4,203","5,144","5,633","4,089","7,015","4,191","7,033","3,993"
2021년06월_계_60~69세,"41,724","4,032","4,430","3,283","2,799","2,916","2,612","3,942","3,324","3,701","3,081","4,670","2,934"
2021년06월_계_70~79세,"15,646","1,582","1,720","1,290","1,056",767,642,"1,378","1,321","1,315","1,263","2,126","1,186"
2021년06월_계_80~89세,"7,544",747,699,593,436,438,495,647,581,740,624,"1,066",478
2021년06월_계_90~99세,"1,180",105,83,68,83,72,119,91,81,130,108,160,80
2021년06월_계_100세 이상,30,5,3,2,2,1,3,1,2,5,1,5,0
2021년06월_남_총인구수,"147,719","12,388","14,895","10,267","7,880","9,299","11,760","13,897","10,015","17,478","10,457","16,644","12,739"
2021년06월_남_연령구간인구수,"147,719","12,388","14,895","10,267","7,880","9,299","11,760","13,897","10,015","17,478","10,457","16,644","12,739"
2021년06월_남_0~9세,"9,165",638,952,423,289,446,751,886,495,"1,342",746,840,"1,357"
2021년06월_남_10~19세,"13,363","1,143","1,385",631,493,769,"1,284","1,366",716,"1,827",908,"1,342","1,499"
2021년06월_남_20~29세,"22,740","1,880","2,306","1,580","1,240","1,691","1,970","2,225","1,505","2,768","1,513","2,649","1,413"
2021년06월_남_30~39세,"19,707","1,398","1,841","1,408","1,165","1,450","1,346","1,776","1,525","2,495","1,287","2,268","1,748"
2021년06월_남_40~49세,"22,578","1,751","2,182","1,470","1,037","1,121","1,898","2,132","1,394","2,850","1,596","2,460","2,687"
2021년06월_남_50~59세,"29,130","2,502","2,889","2,238","1,609","1,869","2,542","2,691","1,935","3,446","2,032","3,440","1,937"
2021년06월_남_60~69세,"21,285","2,049","2,256","1,709","1,401","1,472","1,500","1,981","1,629","1,942","1,575","2,401","1,370"
2021년06월_남_70~79세,"7,067",747,818,610,485,341,302,624,589,562,557,891,541
2021년06월_남_80~89세,"2,428",252,251,185,145,122,148,189,210,221,224,316,165
2021년06월_남_90~99세,249,27,15,13,16,17,18,26,16,24,19,36,22
2021년06월_남_100세 이상,7,1,0,0,0,1,1,1,1,1,0,1,0
2021년06월_여_총인구수,"148,723","12,259","14,503","9,251","7,988","10,096","11,521","14,362","10,229","17,642","10,692","17,018","13,162"
2021년06월_여_연령구간인구수,"148,723","12,259","14,503","9,251","7,988","10,096","11,521","14,362","10,229","17,642","10,692","17,018","13,162"
2021년06월_여_0~9세,"8,830",614,887,348,313,416,728,877,512,"1,313",678,822,"1,322"
2021년06월_여_10~19세,"12,716","1,041","1,298",587,445,703,"1,220","1,337",685,"1,828",856,"1,321","1,395"
2021년06월_여_20~29세,"20,630","1,602","1,888","1,349","1,201","1,609","1,840","1,995","1,442","2,468","1,458","2,352","1,426"
2021년06월_여_30~39세,"18,082","1,305","1,616","1,070",949,"1,403","1,258","1,731","1,280","2,291","1,245","2,029","1,905"
2021년06월_여_40~49세,"22,641","1,759","2,171","1,209",984,"1,390","1,971","2,242","1,292","3,032","1,594","2,519","2,478"
2021년06월_여_50~59세,"30,736","2,543","3,048","1,969","1,767","2,334","2,602","2,942","2,154","3,569","2,159","3,593","2,056"
2021년06월_여_60~69세,"20,439","1,983","2,174","1,574","1,398","1,444","1,112","1,961","1,695","1,759","1,506","2,269","1,564"
2021년06월_여_70~79세,"8,579",835,902,680,571,426,340,754,732,753,706,"1,235",645
2021년06월_여_80~89세,"5,116",495,448,408,291,316,347,458,371,519,400,750,313
2021년06월_여_90~99세,931,78,68,55,67,55,101,65,65,106,89,124,58
2021년06월_여_100세 이상,23,4,3,2,2,0,2,0,1,4,1,4,0
