,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020년12월_계_총인구수,"270,745","33,017","10,175","24,678","19,427","15,191","39,185","10,787","28,203","17,707","14,945","27,825","14,511","15,094"
2020년12월_계_연령구간인구수,"270,745","33,017","10,175","24,678","19,427","15,191","39,185","10,787","28,203","17,707","14,945","27,825","14,511","15,094"
2020년12월_계_0~9세,"19,635","2,643",351,"2,627","1,036",886,"2,617",816,"2,566","1,539",813,"1,902",997,842
2020년12월_계_10~19세,"24,970","2,781",654,"3,167","1,147","1,451","2,911","1,019","4,145","1,790",993,"2,823","1,054","1,035"
2020년12월_계_20~29세,"32,682","3,975","1,125","2,480","2,914","1,757","5,617","1,302","3,193","1,845","1,731","3,244","1,633","1,866"
2020년12월_계_30~39세,"33,078","4,386",906,"3,102","3,110","1,454","5,416","1,413","2,785","2,009","1,690","3,143","1,815","1,849"
2020년12월_계_40~49세,"43,184","5,041","1,263","4,933","3,048","2,159","5,695","1,764","5,714","3,207","2,075","4,381","1,961","1,943"
2020년12월_계_50~59세,"44,392","5,388","1,797","3,587","3,017","2,501","6,654","1,673","4,597","2,571","2,592","4,831","2,470","2,714"
2020년12월_계_60~69세,"41,028","4,956","2,053","2,606","2,701","2,551","5,981","1,452","3,233","2,597","2,829","4,461","2,660","2,948"
2020년12월_계_70~79세,"22,291","2,695","1,330","1,499","1,645","1,598","3,061",919,"1,444","1,558","1,597","2,172","1,372","1,401"
2020년12월_계_80~89세,"8,253",998,592,578,685,719,"1,092",383,450,521,549,764,490,432
2020년12월_계_90~99세,"1,093",135,82,92,96,108,125,44,71,65,70,93,52,60
2020년12월_계_100세 이상,139,19,22,7,28,7,16,2,5,5,6,11,7,4
2020년12월_남_총인구수,"131,735","16,112","4,947","12,045","9,172","7,368","19,179","5,155","13,628","8,782","7,357","13,555","7,058","7,377"
2020년12월_남_연령구간인구수,"131,735","16,112","4,947","12,045","9,172","7,368","19,179","5,155","13,628","8,782","7,357","13,555","7,058","7,377"
2020년12월_남_0~9세,"10,177","1,351",181,"1,362",510,436,"1,351",423,"1,316",878,438,980,512,439
2020년12월_남_10~19세,"13,001","1,505",353,"1,737",566,778,"1,519",459,"2,025","1,001",531,"1,467",499,561
2020년12월_남_20~29세,"17,101","2,120",604,"1,262","1,319",978,"2,849",697,"1,722",968,904,"1,774",873,"1,031"
2020년12월_남_30~39세,"16,579","2,195",515,"1,440","1,551",754,"2,783",691,"1,308",969,894,"1,582",921,976
2020년12월_남_40~49세,"21,064","2,512",664,"2,373","1,485","1,030","2,801",861,"2,615","1,617","1,080","2,067","1,006",953
2020년12월_남_50~59세,"21,109","2,488",871,"1,749","1,470","1,178","3,139",810,"2,275","1,271","1,232","2,272","1,139","1,215"
2020년12월_남_60~69세,"19,047","2,294",959,"1,193","1,271","1,175","2,826",640,"1,547","1,167","1,304","2,081","1,253","1,337"
2020년12월_남_70~79세,"10,262","1,226",564,685,713,735,"1,420",410,679,701,742,"1,036",656,695
2020년12월_남_80~89세,"3,120",375,219,225,261,276,454,156,130,202,212,272,183,155
2020년12월_남_90~99세,253,38,17,19,23,25,36,7,10,8,18,24,14,14
2020년12월_남_100세 이상,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2020년12월_여_총인구수,"139,010","16,905","5,228","12,633","10,255","7,823","20,006","5,632","14,575","8,925","7,588","14,270","7,453","7,717"
2020년12월_여_연령구간인구수,"139,010","16,905","5,228","12,633","10,255","7,823","20,006","5,632","14,575","8,925","7,588","14,270","7,453","7,717"
2020년12월_여_0~9세,"9,458","1,292",170,"1,265",526,450,"1,266",393,"1,250",661,375,922,485,403
2020년12월_여_10~19세,"11,969","1,276",301,"1,430",581,673,"1,392",560,"2,120",789,462,"1,356",555,474
2020년12월_여_20~29세,"15,581","1,855",521,"1,218","1,595",779,"2,768",605,"1,471",877,827,"1,470",760,835
2020년12월_여_30~39세,"16,499","2,191",391,"1,662","1,559",700,"2,633",722,"1,477","1,040",796,"1,561",894,873
2020년12월_여_40~49세,"22,120","2,529",599,"2,560","1,563","1,129","2,894",903,"3,099","1,590",995,"2,314",955,990
2020년12월_여_50~59세,"23,283","2,900",926,"1,838","1,547","1,323","3,515",863,"2,322","1,300","1,360","2,559","1,331","1,499"
2020년12월_여_60~69세,"21,981","2,662","1,094","1,413","1,430","1,376","3,155",812,"1,686","1,430","1,525","2,380","1,407","1,611"
2020년12월_여_70~79세,"12,029","1,469",766,814,932,863,"1,641",509,765,857,855,"1,136",716,706
2020년12월_여_80~89세,"5,133",623,373,353,424,443,638,227,320,319,337,492,307,277
2020년12월_여_90~99세,840,97,65,73,73,83,89,37,61,57,52,69,38,46
2020년12월_여_100세 이상,117,11,22,7,25,4,15,1,4,5,4,11,5,3
