,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 원평동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년07월_계_총인구수,"414,207","14,752","38,273","26,752","1,841","1,685","2,188","4,037","3,091","24,277",0,0,"6,420","29,336","2,191","38,986","14,349","16,665","3,257","3,181","13,198","4,370","31,010","18,838","48,118","16,456","46,550","4,386"
2021년07월_계_연령구간인구수,"414,207","14,752","38,273","26,752","1,841","1,685","2,188","4,037","3,091","24,277",0,0,"6,420","29,336","2,191","38,986","14,349","16,665","3,257","3,181","13,198","4,370","31,010","18,838","48,118","16,456","46,550","4,386"
2021년07월_계_0~9세,"39,810",839,"3,635","5,606",44,12,39,58,68,"1,750",0,0,137,"2,241",68,"3,671","1,022",795,140,279,"1,669",322,"2,751","2,074","4,535",903,"6,574",578
2021년07월_계_10~19세,"44,311","1,128","3,871","2,388",55,51,107,147,190,"2,412",0,0,202,"3,370",121,"4,974","1,553","1,857",161,223,"1,092",353,"3,705","2,509","5,913","1,067","6,641",221
2021년07월_계_20~29세,"55,617","1,371","4,718","2,446",101,100,142,273,236,"3,361",0,0,731,"3,737",209,"5,119","1,905","2,647",589,392,"1,820",626,"4,699","2,392","7,134","4,256","5,928",685
2021년07월_계_30~39세,"64,049","1,220","4,884","7,800",76,70,96,212,175,"3,357",0,0,726,"3,349",148,"4,892","1,611","1,600",506,532,"2,794",675,"4,347","2,899","8,308","4,298","8,425","1,049"
2021년07월_계_40~49세,"72,724","1,911","5,826","4,603",123,138,183,402,339,"3,829",0,0,980,"4,883",271,"7,317","2,353","2,628",440,434,"2,168",761,"6,034","3,873","9,482","2,769","10,245",732
2021년07월_계_50~59세,"69,709","2,904","7,923","2,099",355,311,390,795,597,"4,421",0,0,"1,344","5,943",459,"7,124","2,956","3,787",603,618,"2,187",820,"6,025","3,173","7,045","1,777","5,425",628
2021년07월_계_60~69세,"42,236","2,796","4,637","1,092",489,436,519,928,663,"3,476",0,0,"1,326","3,899",543,"4,045","1,949","2,373",484,415,"1,051",489,"2,303","1,286","3,688",905,"2,065",379
2021년07월_계_70~79세,"16,200","1,464","1,625",391,299,274,374,664,467,"1,207",0,0,677,"1,255",243,"1,236",700,694,241,180,292,232,743,407,"1,324",334,790,87
2021년07월_계_80~89세,"8,308",950,986,284,255,256,298,492,317,422,0,0,249,592,113,531,272,250,81,95,109,81,344,193,602,119,397,20
2021년07월_계_90~99세,"1,204",163,164,42,44,36,40,63,37,41,0,0,46,67,15,76,27,32,12,10,16,10,58,31,85,26,57,6
2021년07월_계_100세 이상,39,6,4,1,0,1,0,3,2,1,0,0,2,0,1,1,1,2,0,3,0,1,1,1,2,2,3,1
2021년07월_남_총인구수,"212,803","7,290","19,385","13,974",919,870,"1,121","2,110","1,575","11,973",0,0,"3,489","14,334","1,136","19,824","7,090","8,365","1,832","1,728","6,939","2,351","16,153","9,829","24,908","8,930","24,249","2,429"
2021년07월_남_연령구간인구수,"212,803","7,290","19,385","13,974",919,870,"1,121","2,110","1,575","11,973",0,0,"3,489","14,334","1,136","19,824","7,090","8,365","1,832","1,728","6,939","2,351","16,153","9,829","24,908","8,930","24,249","2,429"
2021년07월_남_0~9세,"20,446",426,"1,899","2,825",21,6,18,30,44,873,0,0,69,"1,177",31,"1,885",526,422,69,144,858,174,"1,355","1,059","2,415",460,"3,349",311
2021년07월_남_10~19세,"23,132",572,"2,082","1,253",27,22,66,72,95,"1,221",0,0,111,"1,653",61,"2,626",834,"1,017",81,129,553,173,"1,927","1,352","3,105",548,"3,443",109
2021년07월_남_20~29세,"31,046",826,"2,692","1,189",62,69,94,164,136,"1,817",0,0,420,"2,122",129,"2,835","1,069","1,519",380,216,"1,004",365,"2,680","1,357","3,912","2,181","3,398",410
2021년07월_남_30~39세,"34,146",628,"2,489","4,115",44,46,61,142,98,"1,793",0,0,432,"1,706",96,"2,448",816,863,332,328,"1,565",419,"2,384","1,487","4,419","2,553","4,279",603
2021년07월_남_40~49세,"36,741",986,"2,770","2,576",78,93,113,259,192,"1,828",0,0,570,"2,239",149,"3,572","1,049","1,169",258,242,"1,132",417,"2,912","1,926","4,852","1,580","5,354",425
2021년07월_남_50~59세,"35,553","1,445","3,919","1,147",208,173,236,473,330,"2,072",0,0,777,"2,766",243,"3,565","1,406","1,783",327,336,"1,098",409,"3,232","1,715","3,639",976,"2,948",330
2021년07월_남_60~69세,"21,711","1,439","2,503",602,263,238,262,506,350,"1,642",0,0,709,"1,910",275,"2,143",956,"1,199",250,222,544,247,"1,223",702,"1,844",442,"1,040",200
2021년07월_남_70~79세,"7,204",653,705,176,129,135,167,272,222,578,0,0,307,549,117,574,346,312,101,76,151,115,323,162,535,153,311,35
2021년07월_남_80~89세,"2,594",291,298,79,75,82,93,177,102,144,0,0,84,196,35,167,83,74,33,32,31,29,105,63,170,31,114,6
2021년07월_남_90~99세,227,24,28,12,12,6,11,15,6,4,0,0,10,16,0,9,5,7,1,3,3,3,11,6,17,6,12,0
2021년07월_남_100세 이상,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2021년07월_여_총인구수,"201,404","7,462","18,888","12,778",922,815,"1,067","1,927","1,516","12,304",0,0,"2,931","15,002","1,055","19,162","7,259","8,300","1,425","1,453","6,259","2,019","14,857","9,009","23,210","7,526","22,301","1,957"
2021년07월_여_연령구간인구수,"201,404","7,462","18,888","12,778",922,815,"1,067","1,927","1,516","12,304",0,0,"2,931","15,002","1,055","19,162","7,259","8,300","1,425","1,453","6,259","2,019","14,857","9,009","23,210","7,526","22,301","1,957"
2021년07월_여_0~9세,"19,364",413,"1,736","2,781",23,6,21,28,24,877,0,0,68,"1,064",37,"1,786",496,373,71,135,811,148,"1,396","1,015","2,120",443,"3,225",267
2021년07월_여_10~19세,"21,179",556,"1,789","1,135",28,29,41,75,95,"1,191",0,0,91,"1,717",60,"2,348",719,840,80,94,539,180,"1,778","1,157","2,808",519,"3,198",112
2021년07월_여_20~29세,"24,571",545,"2,026","1,257",39,31,48,109,100,"1,544",0,0,311,"1,615",80,"2,284",836,"1,128",209,176,816,261,"2,019","1,035","3,222","2,075","2,530",275
