카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2021년07월_계_총인구수,"46,421","15,151","2,752","3,139","1,221","3,683","1,908","2,672","2,621","1,843","2,440","4,587","4,404"
2021년07월_계_연령구간인구수,"46,421","15,151","2,752","3,139","1,221","3,683","1,908","2,672","2,621","1,843","2,440","4,587","4,404"
2021년07월_계_0~9세,"2,280","1,127",125,105,27,132,55,56,88,64,96,206,199
2021년07월_계_10~19세,"3,004","1,247",100,162,50,260,109,102,115,75,117,315,352
2021년07월_계_20~29세,"4,670","1,741",215,268,84,299,167,516,207,163,181,429,400
2021년07월_계_30~39세,"3,641","1,595",206,215,72,239,114,129,184,112,182,288,305
2021년07월_계_40~49세,"5,194","2,054",290,302,106,343,173,200,247,176,241,555,507
2021년07월_계_50~59세,"8,186","2,457",505,586,242,685,388,419,450,322,440,867,825
2021년07월_계_60~69세,"8,619","2,261",587,693,293,743,408,512,532,412,520,892,766
2021년07월_계_70~79세,"6,228","1,610",432,497,174,552,280,407,428,311,401,567,569
2021년07월_계_80~89세,"3,976",906,244,272,146,387,183,289,311,180,234,400,424
2021년07월_계_90~99세,599,147,48,36,26,41,30,41,54,26,26,67,57
2021년07월_계_100세 이상,24,6,0,3,1,2,1,1,5,2,2,1,0
2021년07월_남_총인구수,"23,553","7,657","1,398","1,578",616,"1,867",995,"1,488","1,331",919,"1,226","2,303","2,175"
2021년07월_남_연령구간인구수,"23,553","7,657","1,398","1,578",616,"1,867",995,"1,488","1,331",919,"1,226","2,303","2,175"
2021년07월_남_0~9세,"1,127",542,59,49,9,71,29,29,42,38,44,114,101
2021년07월_남_10~19세,"1,559",668,52,82,24,125,68,51,59,34,56,176,164
2021년07월_남_20~29세,"2,767","1,002",117,145,47,173,95,436,113,86,100,231,222
2021년07월_남_30~39세,"1,867",807,106,118,34,125,60,74,106,49,85,153,150
2021년07월_남_40~49세,"2,984","1,121",195,173,62,208,98,116,164,111,148,302,286
2021년07월_남_50~59세,"4,521","1,305",283,314,138,379,213,236,265,174,251,480,483
2021년07월_남_60~69세,"4,486","1,144",297,375,165,399,239,259,262,207,268,465,406
2021년07월_남_70~79세,"2,804",721,187,226,79,242,126,189,204,147,199,249,235
2021년07월_남_80~89세,"1,303",315,92,86,52,135,62,88,105,64,71,113,120
2021년07월_남_90~99세,135,32,10,10,6,10,5,10,11,9,4,20,8
2021년07월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"22,868","7,494","1,354","1,561",605,"1,816",913,"1,184","1,290",924,"1,214","2,284","2,229"
2021년07월_여_연령구간인구수,"22,868","7,494","1,354","1,561",605,"1,816",913,"1,184","1,290",924,"1,214","2,284","2,229"
2021년07월_여_0~9세,"1,153",585,66,56,18,61,26,27,46,26,52,92,98
2021년07월_여_10~19세,"1,445",579,48,80,26,135,41,51,56,41,61,139,188
2021년07월_여_20~29세,"1,903",739,98,123,37,126,72,80,94,77,81,198,178
2021년07월_여_30~39세,"1,774",788,100,97,38,114,54,55,78,63,97,135,155
2021년07월_여_40~49세,"2,210",933,95,129,44,135,75,84,83,65,93,253,221
2021년07월_여_50~59세,"3,665","1,152",222,272,104,306,175,183,185,148,189,387,342
2021년07월_여_60~69세,"4,133","1,117",290,318,128,344,169,253,270,205,252,427,360
2021년07월_여_70~79세,"3,424",889,245,271,95,310,154,218,224,164,202,318,334
2021년07월_여_80~89세,"2,673",591,152,186,94,252,121,201,206,116,163,287,304
2021년07월_여_90~99세,464,115,38,26,20,31,25,31,43,17,22,47,49
2021년07월_여_100세 이상,24,6,0,3,1,2,1,1,5,2,2,1,0
