카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020년10월_계_총인구수,"89,205","4,853","5,849","11,373","6,389","4,243","10,106","4,186","5,626","11,117","12,086","8,808","4,569"
2020년10월_계_연령구간인구수,"89,205","4,853","5,849","11,373","6,389","4,243","10,106","4,186","5,626","11,117","12,086","8,808","4,569"
2020년10월_계_0~9세,"4,144",176,166,992,202,178,410,123,188,458,390,483,378
2020년10월_계_10~19세,"5,190",270,281,712,416,318,612,242,360,647,634,435,263
2020년10월_계_20~29세,"10,581",679,634,"1,739",664,511,"1,217",371,584,"1,325","1,311","1,112",434
2020년10월_계_30~39세,"10,456",522,557,"2,331",521,393,"1,159",317,455,"1,157","1,177","1,188",679
2020년10월_계_40~49세,"12,003",697,778,"1,723",843,584,"1,308",502,710,"1,465","1,436","1,245",712
2020년10월_계_50~59세,"14,842",799,"1,021","1,586","1,051",724,"1,675",717,981,"1,870","2,164","1,629",625
2020년10월_계_60~69세,"16,038",858,"1,206","1,270","1,237",738,"1,882",820,"1,083","2,030","2,573","1,579",762
2020년10월_계_70~79세,"10,701",592,818,671,934,550,"1,247",738,851,"1,472","1,578",784,466
2020년10월_계_80~89세,"4,560",227,322,284,444,219,526,318,356,623,726,309,206
2020년10월_계_90~99세,589,28,57,57,64,23,54,36,56,55,84,36,39
2020년10월_계_100세 이상,101,5,9,8,13,5,16,2,2,15,13,8,5
2020년10월_남_총인구수,"43,684","2,418","2,895","5,576","3,096","2,068","4,834","2,094","2,687","5,377","5,960","4,442","2,237"
2020년10월_남_연령구간인구수,"43,684","2,418","2,895","5,576","3,096","2,068","4,834","2,094","2,687","5,377","5,960","4,442","2,237"
2020년10월_남_0~9세,"2,190",75,96,520,110,94,205,70,105,257,207,255,196
2020년10월_남_10~19세,"2,679",146,145,382,225,159,302,143,183,317,309,232,136
2020년10월_남_20~29세,"5,346",348,323,742,361,277,604,209,329,695,697,557,204
2020년10월_남_30~39세,"5,613",277,317,"1,206",292,217,635,189,246,602,650,629,353
2020년10월_남_40~49세,"6,404",392,443,879,440,307,676,285,373,777,795,651,386
2020년10월_남_50~59세,"7,551",429,542,804,536,358,812,398,476,917,"1,125",839,315
2020년10월_남_60~69세,"7,596",400,547,627,572,325,862,401,488,954,"1,242",790,388
2020년10월_남_70~79세,"4,563",270,351,300,386,234,546,288,359,616,678,351,184
2020년10월_남_80~89세,"1,560",71,108,98,156,89,170,100,115,229,233,124,67
2020년10월_남_90~99세,151,8,19,13,13,8,19,11,13,7,21,12,7
2020년10월_남_100세 이상,31,2,4,5,5,0,3,0,0,6,3,2,1
2020년10월_여_총인구수,"45,521","2,435","2,954","5,797","3,293","2,175","5,272","2,092","2,939","5,740","6,126","4,366","2,332"
2020년10월_여_연령구간인구수,"45,521","2,435","2,954","5,797","3,293","2,175","5,272","2,092","2,939","5,740","6,126","4,366","2,332"
2020년10월_여_0~9세,"1,954",101,70,472,92,84,205,53,83,201,183,228,182
2020년10월_여_10~19세,"2,511",124,136,330,191,159,310,99,177,330,325,203,127
2020년10월_여_20~29세,"5,235",331,311,997,303,234,613,162,255,630,614,555,230
2020년10월_여_30~39세,"4,843",245,240,"1,125",229,176,524,128,209,555,527,559,326
2020년10월_여_40~49세,"5,599",305,335,844,403,277,632,217,337,688,641,594,326
2020년10월_여_50~59세,"7,291",370,479,782,515,366,863,319,505,953,"1,039",790,310
2020년10월_여_60~69세,"8,442",458,659,643,665,413,"1,020",419,595,"1,076","1,331",789,374
2020년10월_여_70~79세,"6,138",322,467,371,548,316,701,450,492,856,900,433,282
2020년10월_여_80~89세,"3,000",156,214,186,288,130,356,218,241,394,493,185,139
2020년10월_여_90~99세,438,20,38,44,51,15,35,25,43,48,63,24,32
2020년10월_여_100세 이상,70,3,5,3,8,5,13,2,2,9,10,6,4
