카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020년11월_계_총인구수,"28,036","7,819","1,893","1,651","2,365","1,342","1,927","1,173","4,247","2,485","1,710","1,424"
2020년11월_계_연령구간인구수,"28,036","7,819","1,893","1,651","2,365","1,342","1,927","1,173","4,247","2,485","1,710","1,424"
2020년11월_계_0~9세,"1,091",470,68,25,64,22,42,31,205,71,52,41
2020년11월_계_10~19세,"1,945",675,131,86,129,44,95,51,385,215,81,53
2020년11월_계_20~29세,"2,375",756,105,98,157,82,142,75,532,207,111,110
2020년11월_계_30~39세,"1,736",624,101,67,119,62,85,47,353,111,96,71
2020년11월_계_40~49세,"3,029","1,053",175,144,203,95,170,89,508,323,156,113
2020년11월_계_50~59세,"4,877","1,293",315,272,427,252,351,203,745,452,300,267
2020년11월_계_60~69세,"4,994","1,231",384,348,430,264,397,228,648,399,321,344
2020년11월_계_70~79세,"4,289","1,004",332,314,408,264,355,240,493,355,313,211
2020년11월_계_80~89세,"3,175",605,252,249,370,224,240,184,323,302,240,186
2020년11월_계_90~99세,511,103,29,48,57,30,50,25,53,50,39,27
2020년11월_계_100세 이상,14,5,1,0,1,3,0,0,2,0,1,1
2020년11월_남_총인구수,"13,692","3,774",931,807,"1,124",649,939,571,"2,092","1,243",846,716
2020년11월_남_연령구간인구수,"13,692","3,774",931,807,"1,124",649,939,571,"2,092","1,243",846,716
2020년11월_남_0~9세,557,246,30,10,38,11,28,17,95,38,22,22
2020년11월_남_10~19세,"1,018",349,72,50,68,20,52,20,197,119,44,27
2020년11월_남_20~29세,"1,288",398,63,60,86,52,77,47,275,114,59,57
2020년11월_남_30~39세,926,303,63,45,64,40,44,28,182,61,57,39
2020년11월_남_40~49세,"1,697",551,99,92,113,57,95,55,271,187,110,67
2020년11월_남_50~59세,"2,689",685,176,144,241,140,189,120,401,275,170,148
2020년11월_남_60~69세,"2,609",608,206,188,213,140,208,121,333,218,176,198
2020년11월_남_70~79세,"1,814",420,131,129,181,112,162,102,221,136,125,95
2020년11월_남_80~89세,989,196,84,78,110,69,78,58,101,85,73,57
2020년11월_남_90~99세,102,18,7,11,9,8,6,3,15,10,9,6
2020년11월_남_100세 이상,3,0,0,0,1,0,0,0,1,0,1,0
2020년11월_여_총인구수,"14,344","4,045",962,844,"1,241",693,988,602,"2,155","1,242",864,708
2020년11월_여_연령구간인구수,"14,344","4,045",962,844,"1,241",693,988,602,"2,155","1,242",864,708
2020년11월_여_0~9세,534,224,38,15,26,11,14,14,110,33,30,19
2020년11월_여_10~19세,927,326,59,36,61,24,43,31,188,96,37,26
2020년11월_여_20~29세,"1,087",358,42,38,71,30,65,28,257,93,52,53
2020년11월_여_30~39세,810,321,38,22,55,22,41,19,171,50,39,32
2020년11월_여_40~49세,"1,332",502,76,52,90,38,75,34,237,136,46,46
2020년11월_여_50~59세,"2,188",608,139,128,186,112,162,83,344,177,130,119
2020년11월_여_60~69세,"2,385",623,178,160,217,124,189,107,315,181,145,146
2020년11월_여_70~79세,"2,475",584,201,185,227,152,193,138,272,219,188,116
2020년11월_여_80~89세,"2,186",409,168,171,260,155,162,126,222,217,167,129
2020년11월_여_90~99세,409,85,22,37,48,22,44,22,38,40,30,21
2020년11월_여_100세 이상,11,5,1,0,0,3,0,0,1,0,0,1
